SAL_CODE,Suburb_Name,Area_sqkm
SAL10001,Aarons Pass,82.7639
SAL10002,Abbotsbury,4.9788
SAL10003,Abbotsford (NSW),1.018
SAL10004,Abercrombie,2.9775
SAL10005,Abercrombie River,127.1701
SAL10006,Aberdare,3.2961
SAL10007,Aberdeen (NSW),41.6327
SAL10008,Aberfoyle,340.4792
SAL10009,Aberglasslyn,6.2154
SAL10010,Abermain,15.3822
SAL10011,Abernethy,8.4025
SAL10012,Abington (NSW),174.3142
SAL10013,Acacia Creek,6.261
SAL10014,Acacia Gardens,1.0013
SAL10015,Adaminaby,356.4961
SAL10016,Adamstown,3.051
SAL10017,Adamstown Heights,2.394
SAL10018,Adelong,20.2697
SAL10019,Adjungbilly,438.1006
SAL10020,Afterlee,34.7839
SAL10021,Agnes Banks,15.475
SAL10022,Airds,2.3806
SAL10023,Akolele,5.9502
SAL10024,Albert,690.5799
SAL10025,Albion Park,9.0983
SAL10026,Albion Park Rail,7.1632
SAL10027,Albury,5.6834
SAL10028,Aldavilla,15.0762
SAL10029,Alectown,277.1442
SAL10030,Alexandria,3.537
SAL10031,Alfords Point,2.5665
SAL10032,Alfredtown,75.0792
SAL10033,Alice,13.2753
SAL10034,Alison (Central Coast - NSW),1.3958
SAL10035,Alison (Dungog - NSW),19.2707
SAL10036,Allambie Heights,6.6746
SAL10037,Allandale (NSW),10.4827
SAL10038,Allawah,0.5837
SAL10039,Alleena,269.6334
SAL10040,Allgomera,120.3883
SAL10041,Allworth,18.2505
SAL10042,Allynbrook,34.1815
SAL10043,Alma Park,87.6845
SAL10044,Alpine,23.0329
SAL10045,Alstonvale,10.2583
SAL10046,Alstonville,28.8249
SAL10047,Alumy Creek,9.0532
SAL10048,Amaroo (NSW),16.7796
SAL10049,Ambarvale,2.848
SAL10050,Amosfield,58.0841
SAL10051,Anabranch North,1661.3937
SAL10052,Anabranch South,2279.4634
SAL10053,Anambah,11.5924
SAL10054,Ando,112.1626
SAL10055,Anembo,171.8203
SAL10056,Angledale,26.8133
SAL10057,Angledool,689.3144
SAL10058,Anglers Reach,11.1265
SAL10059,Angourie,3.5357
SAL10060,Angus,6.0899
SAL10061,Anna Bay,22.2502
SAL10062,Annandale (NSW),1.4931
SAL10063,Annangrove,10.2464
SAL10064,Appin (NSW),102.055
SAL10065,Apple Tree Flat,17.0216
SAL10066,Appleby,18.1519
SAL10067,Appletree Flat,28.5322
SAL10068,Apsley (NSW),28.2301
SAL10069,Arable,116.3272
SAL10070,Arakoon,24.794
SAL10071,Araluen (NSW),121.2736
SAL10072,Aratula (NSW),163.3817
SAL10073,Arcadia (NSW),22.4088
SAL10074,Arcadia Vale,1.3455
SAL10075,Ardglen,72.2728
SAL10076,Arding,54.771
SAL10077,Ardlethan,538.8725
SAL10078,Argalong,132.3034
SAL10079,Argenton,1.5233
SAL10080,Argents Hill,76.2545
SAL10081,Argoon,247.1246
SAL10082,Ariah Park,489.991
SAL10083,Arkell,66.8602
SAL10084,Arkstone,79.3706
SAL10085,Armatree,484.98
SAL10086,Armidale,274.5996
SAL10087,Arncliffe,2.9429
SAL10088,Arndell Park,2.0008
SAL10089,Arrawarra,2.818
SAL10090,Arrawarra Headland,2.6804
SAL10091,Artarmon,2.5348
SAL10092,Arthurville,72.5398
SAL10093,Arumpo,5396.4077
SAL10094,Ashbury,1.0312
SAL10095,Ashby (NSW),14.03
SAL10096,Ashby Heights,32.3489
SAL10097,Ashby Island,2.4098
SAL10098,Ashcroft,1.1539
SAL10099,Ashfield (NSW),3.4144
SAL10100,Ashford (NSW),681.0473
SAL10101,Ashley,332.7669
SAL10102,Ashmont,2.4289
SAL10103,Ashtonfield,6.8336
SAL10104,Asquith,3.5033
SAL10105,Atholwood,454.4564
SAL10106,Attunga,218.7213
SAL10107,Auburn (NSW),8.5637
SAL10108,Auburn Vale,63.6472
SAL10109,Austinmer,3.3572
SAL10110,Austral,17.6611
SAL10111,Austral Eden,13.6185
SAL10112,Avalon Beach,5.1524
SAL10113,Avisford,18.3025
SAL10114,Avoca (NSW),24.6252
SAL10115,Avoca Beach,4.4418
SAL10116,Avon (NSW),265.8204
SAL10117,Avondale (NSW),18.3129
SAL10118,Avonside,57.3648
SAL10119,Awaba,23.1193
SAL10120,Aylmerton,2.7956
SAL10121,Baan Baa,254.9381
SAL10122,Babinda (NSW),476.2417
SAL10123,Babyl Creek,25.8859
SAL10124,Back Creek (Bland - NSW),449.795
SAL10125,Back Creek (Gwydir - NSW),119.9515
SAL10126,Back Creek (Mid-Coast - NSW),31.5289
SAL10127,Back Creek (Queanbeyan-Palerang Regional - NSW),39.2653
SAL10128,Back Creek (Tenterfield - NSW),200.4098
SAL10129,Back Creek (Tweed - NSW),7.4364
SAL10130,Back Forest,5.979
SAL10131,Backmede,29.4886
SAL10132,Backwater,126.3462
SAL10133,Badgerys Creek,26.981
SAL10134,Badja,130.2836
SAL10135,Baerami,151.2264
SAL10136,Baerami Creek,367.2391
SAL10137,Bagnoo,37.7957
SAL10138,Bago,63.0427
SAL10139,Bagotville,9.9221
SAL10140,Bakers Creek (Mid-Coast - NSW),40.4685
SAL10141,Bakers Creek (Nambucca Valley - NSW),57.2165
SAL10142,Bakers Creek (Uralla - NSW),161.5919
SAL10143,Bakers Swamp,136.4942
SAL10144,Balaclava (NSW),2.376
SAL10145,Balala,357.1643
SAL10146,Balcolyn,0.7391
SAL10147,Bald Blair,101.2316
SAL10148,Bald Hills (NSW),10.7141
SAL10149,Bald Nob,77.4933
SAL10150,Bald Ridge,135.8045
SAL10151,Baldersleigh,164.3569
SAL10152,Baldry,473.5339
SAL10153,Balfours Peak,170.9276
SAL10154,Balgowlah,1.959
SAL10155,Balgowlah Heights,1.6838
SAL10156,Balgownie,3.7153
SAL10157,Balickera,27.4725
SAL10158,Balladoran,243.1277
SAL10159,Ballalaba,43.7739
SAL10160,Balldale,191.2906
SAL10161,Ballengarra,23.3563
SAL10162,Ballimore,229.3129
SAL10163,Ballina,20.468
SAL10164,Ballyroe,82.9191
SAL10165,Balmain,1.5378
SAL10166,Balmain East,0.343
SAL10167,Balmoral (Lake Macquarie - NSW),0.8572
SAL10168,Balmoral (Wingecarribee - NSW),26.3216
SAL10169,Balranald,5203.5484
SAL10170,Bamarang,11.8092
SAL10171,Banda Banda,70.5119
SAL10172,Bandon Grove,50.4499
SAL10173,Bangadang,17.9611
SAL10174,Bangalee (NSW),6.5613
SAL10175,Bangalow,24.4046
SAL10176,Bangheet,183.8029
SAL10177,Bango,108.4104
SAL10178,Bangor (NSW),3.9221
SAL10179,Banksia,0.9568
SAL10180,Banksmeadow,4.1582
SAL10181,Bankstown,6.3542
SAL10182,Bankstown Aerodrome,3.7302
