Suburb_Name,SAL_CODE_2021,Value_Score,Undervalued_Score,Quality_Index,Price_Index,Education_Index,Employment_Index,Demographics_Index,Density_Index,Tertiary_Pct,Median_tot_prsnl_inc_weekly,Median_age_persons,Average_household_size,Density_per_sqkm,Total_Population,Median_mortgage_repay_monthly,Median_rent_weekly,Mortgage_to_Income_Ratio,Median_tot_hhd_inc_weekly,Region,mean,median,Neighbor_Premium,Neighbor_Premium_Pct
Dover Heights,SAL11286,79995.998964215,71.9753930280246,5420.371413070838,5.775803144224199,96.51401230348598,9589.883800410116,10000.0,96.3471283783784,70.68819031435854,1404,41,3.0,4269.425675675676,4044,4333,798,0.7121959237343852,3877,Eastern Suburbs,28807.53771574804,24038.139102028028,51188.46124846696,177.7
Vaucluse,SAL14089,66144.86064629654,73.34244702665755,5414.338883593471,7.18557758031443,93.09637730690362,9576.213260423789,10000.0,90.3066151617576,67.07490237841675,1393,43,2.7,3061.323032351521,9510,4200,700,0.6957866254348667,3418,Eastern Suburbs,28807.53771574804,24038.139102028028,37337.3229305485,129.6
Point Piper,SAL13245,47579.37740907633,70.88174982911825,5305.279450951894,10.150375939849624,92.27614490772386,9986.32946001367,9071.428571428572,92.27084412221647,66.36050516647532,1835,52,2.2,3454.168824443294,1334,5000,900,0.6287989939216097,4530,Eastern Suburbs,28807.53771574804,24038.139102028028,18771.839693328293,65.2
Clovelly,SAL10937,41088.15989738634,82.77511961722487,5508.284894514276,12.406015037593988,97.47095010252906,9883.8004101162,10000.0,92.68990965771728,71.88311688311688,1633,37,2.6,6218.348390380455,4887,4333,700,0.6123227660276038,3474,Eastern Suburbs,28807.53771574804,24038.139102028028,12280.622181638297,42.6
North Bondi,SAL12994,37826.76818236768,81.3397129186603,5452.432586669649,13.414217361585784,92.41285030758716,9706.083390293916,10000.0,85.89142992798924,66.64954631056325,1493,35,2.6,7351.428345335126,9290,3966,700,0.6130145808645473,3292,Eastern Suburbs,28807.53771574804,24038.139102028028,9019.230466619643,31.3
Watsons Bay,SAL14205,36331.16426892118,72.45386192754614,5249.269653564291,13.448393711551605,87.73069036226931,9213.943950786055,9785.714285714286,82.25793194147624,60.0,1225,40,2.4,1451.5863882952492,883,3384,674,0.6374882260596547,2924,Eastern Suburbs,28807.53771574804,24038.139102028028,7523.626553173141,26.1
Bronte,SAL10591,32500.83777267087,84.688995215311,5478.934805108555,15.857826384142172,92.82296650717704,9788.106630211894,10000.0,97.70617395223071,66.9844020797227,1562,38,2.5,5382.304341294878,7166,3975,675,0.5872648478282281,3365,Eastern Suburbs,28807.53771574804,24038.139102028028,3693.3000569228316,12.8
Bellevue Hill,SAL10271,29335.46095024864,86.67122351332878,5484.207277647134,17.6948051948052,96.92412850307586,9801.777170198222,10000.0,97.31258691163455,71.1572700296736,1575,39,2.5,4462.517382326914,10590,3900,650,0.5714285714285714,3315,Eastern Suburbs,28807.53771574804,24038.139102028028,527.9232345005985,1.8
Woollahra,SAL14422,28723.480818213506,81.06630211893369,5350.165509478654,17.626452494873547,98.15447710184552,9890.635680109364,9357.14285714286,94.9516535305111,72.81831187410587,1638,42,2.2,5841.391078248152,7189,4000,670,0.5635390250774867,3013,Eastern Suburbs,28807.53771574804,24038.139102028028,-84.05689753453407,-0.3
Tamarama,SAL13757,27558.434509568924,89.81544771018454,5535.7981774928985,19.0874914559125,96.85577580314424,9972.658920027345,10000.0,99.6251249583472,71.14624505928853,1788,36,2.5,4925.024991669444,1478,4109,850,0.5303304078471863,4522,Eastern Suburbs,28807.53771574804,24038.139102028028,-1249.1032061791157,-4.3
Maroubra,SAL12511,26281.432117944438,58.50991114149009,4917.753553963005,17.7118933697881,85.09911141490089,8103.212576896787,9785.714285714286,98.8765069395198,57.38748627881449,1026,39,2.4,5187.248843413366,30722,3000,540,0.6747638326585695,2141,Eastern Suburbs,28807.53771574804,24038.139102028028,-2526.105597803602,-8.8
Paddington (NSW),SAL13126,25603.358415287385,81.95488721804512,5311.515581566505,19.74538619275461,99.1114149008886,9945.317840054684,9142.857142857143,83.15012910365179,74.40962259986757,1698,38,2.1,7808.311816058035,12701,4000,650,0.5436259853220984,3131,Eastern Suburbs,28807.53771574804,24038.139102028028,-3204.179300460655,-11.1
Darling Point,SAL11212,22472.919788768668,80.041011619959,5215.08450641552,22.206083390293912,95.01025290498974,9979.494190020509,8714.285714285716,94.41163310961969,68.70283866331297,1799,49,1.9,5931.394481730053,3977,3900,825,0.500277932184547,3219,Eastern Suburbs,28807.53771574804,24038.139102028028,-6334.617926979372,-22.0
Bondi Junction,SAL10465,22008.097933743014,76.96514012303486,5142.944990832581,22.36842105263159,89.40533151059466,9398.496240601504,9142.857142857143,72.40155656443991,61.97202413603949,1307,35,2.1,9599.740572593348,10361,3100,660,0.5473485963156965,2379,Eastern Suburbs,28807.53771574804,24038.139102028028,-6799.439782005025,-23.6
Rose Bay (NSW),SAL13412,21870.657978330302,85.03075871496925,5308.904147535502,23.2740943267259,89.81544771018454,9583.04853041695,9571.428571428572,94.5854082681211,62.63492063492063,1398,40,2.3,3917.08165362422,9911,3250,630,0.5364806866952789,2539,Eastern Suburbs,28807.53771574804,24038.139102028028,-6936.8797374177375,-24.1
Coogee (NSW),SAL11015,19184.599061833,88.03827751196172,5314.186392893458,26.700273410799724,92.95967190704032,9781.271360218729,9357.14285714286,84.20912646675359,67.00222630916659,1555,35,2.2,7631.812255541069,14634,3226,650,0.4787534009398961,2976,Eastern Suburbs,28807.53771574804,24038.139102028028,-9622.93865391504,-33.4
Bondi,SAL10462,18759.399671010626,80.99794941900204,5137.100676826374,26.384142173615857,90.70403280929597,9555.707450444292,8952.380952380954,33.87995836706372,64.1001353179973,1386,34,2.1,12040.013877645426,10411,3033,656,0.504995004995005,2546,Eastern Suburbs,28807.53771574804,24038.139102028028,-10048.138044737414,-34.9
South Coogee,SAL13595,18105.35804392081,60.76555023923444,4766.17672143214,25.32467532467533,84.34723171565277,7419.685577580314,10000.0,99.77919095566156,56.17103984450923,958,42,2.6,4955.838191132309,5611,4000,207,0.9635458487233018,2105,Eastern Suburbs,28807.53771574804,24038.139102028028,-10702.17967182723,-37.2
Randwick,SAL13325,17595.678454442546,86.1244019138756,5215.320607108627,28.63978127136022,91.79767600820232,9446.343130553658,9357.14285714286,97.2843390290311,65.19319777419523,1336,36,2.2,5452.61016182815,28943,3000,572,0.5181943804698296,2422,Eastern Suburbs,28807.53771574804,24038.139102028028,-11211.859261305493,-38.9
Bondi Beach,SAL10463,17309.944974066566,82.63841421736159,5124.713921132915,28.6056049213944,93.57484620642516,9829.118250170884,8547.619047619048,73.34153543307087,67.42054517319367,1583,33,2.0,9443.07742782152,11513,3033,675,0.4421497643228533,2795,Eastern Suburbs,28807.53771574804,24038.139102028028,-11497.592741681474,-39.9
