Suburb_Name,SAL_CODE_2021,Value_Score,Undervalued_Score,Quality_Index,Price_Index,Education_Index,Employment_Index,Demographics_Index,Density_Index,Tertiary_Pct,Median_tot_prsnl_inc_weekly,Median_age_persons,Average_household_size,Density_per_sqkm,Total_Population,Median_mortgage_repay_monthly,Median_rent_weekly,Mortgage_to_Income_Ratio,Median_tot_hhd_inc_weekly,Region,mean,median,Neighbor_Premium,Neighbor_Premium_Pct
Bella Vista,SAL10263,56162.43526367687,56.25427204374572,5105.867875765779,8.091250854408742,93.02802460697195,8550.922761449077,10000.0,84.55093299309654,67.0073589533933,1081,40,3.4,1910.186598619307,8384,3400,740,0.7258236675442966,3518,Hills District,26786.83125898034,25580.39699312587,29375.604004696528,109.7
West Pennant Hills,SAL14266,34841.395618802446,56.59603554340397,4986.391944405234,13.311688311688314,91.52426520847573,8154.477101845524,10000.0,83.94356192690172,64.89057066884844,1032,43,3.1,1788.7123853803434,16620,3033,641,0.6782200357781754,3078,Hills District,26786.83125898034,25580.39699312587,8054.564359822107,30.1
Castle Hill (NSW),SAL10846,31353.597563111794,39.78127136021873,4631.888613339269,13.773069036226929,87.96992481203007,6975.393028024607,10000.0,85.86484992185092,60.42037460801762,931,42,3.0,2172.9699843701824,40874,3000,560,0.7436172849706684,2551,Hills District,26786.83125898034,25580.39699312587,4566.766304131455,17.0
Beaumont Hills,SAL10243,30796.456813202563,62.1326042378674,5020.580268101764,15.302460697197546,86.67122351332878,8270.676691729323,10000.0,89.172623526461,58.93942569691889,1046,38,3.5,2834.5247052921995,9041,3000,650,0.6618620385350786,3308,Hills District,26786.83125898034,25580.39699312587,4009.6255542222243,15.0
Kellyville,SAL12096,29963.020389933343,63.36295283663704,5030.633423362497,15.789473684210536,86.05604921394395,8304.853041695147,10000.0,89.07130726513091,58.26263997285375,1049,38,3.3,2814.261453026183,27011,3000,630,0.6599692014372662,3044,Hills District,26786.83125898034,25580.39699312587,3176.1891309530038,11.9
North Kellyville,SAL13003,29169.141439527702,73.47915242652084,5191.429287781426,16.79767600820233,86.73957621326042,9159.261790840736,9619.04761904762,85.7798193554782,58.97297297297297,1212,33,3.3,2155.963871095638,17401,3250,600,0.6188118811881188,3120,Hills District,26786.83125898034,25580.39699312587,2382.3101805473634,8.9
Norwest,SAL13036,21991.65254672403,71.77033492822966,5039.515703726566,21.91558441558442,80.9295967190704,8342.447026657554,10000.0,83.35144475718816,52.311273694712334,1053,37,2.5,1670.288951437631,4688,2823,579,0.6186719263642341,2207,Hills District,26786.83125898034,25580.39699312587,-4795.178712256307,-17.9
Winston Hills,SAL14353,20115.888502212598,44.49760765550239,4530.61233145698,21.52255639097744,77.51196172248804,6647.300068352699,10000.0,87.79148289615296,49.29622014866361,907,41,2.9,2558.296579230591,12123,2681,530,0.6821304384700195,2309,Hills District,26786.83125898034,25580.39699312587,-6670.942756767741,-24.9
Box Hill (NSW),SAL10537,18752.785556969822,81.203007518797,5144.902984864354,26.43540669856461,85.91934381408065,9330.143540669857,9238.09523809524,70.40206663575546,58.16471929324594,1271,31,3.3,712.0619990726635,6450,3000,580,0.5446952732554621,2881,Hills District,26786.83125898034,25580.39699312587,-8034.045702010517,-30.0
Baulkham Hills,SAL10233,16660.60320789154,67.39576213260425,4821.439635103979,27.939166097060838,86.1244019138756,7607.655502392345,10000.0,88.70442541408133,58.26870273134544,973,39,3.0,2740.885082816266,37415,2600,520,0.6166495375128469,2474,Hills District,26786.83125898034,25580.39699312587,-10126.228051088798,-37.8
Rouse Hill,SAL13444,16449.565496758994,81.88653451811346,5073.785836117554,29.844497607655512,80.65618591934381,8619.275461380725,9809.52380952381,76.16926364387878,51.9715578539108,1089,34,3.0,885.0779093163633,11349,2730,500,0.5785123966942148,2643,Hills District,26786.83125898034,25580.39699312587,-10337.265762221345,-38.6
Kellyville Ridge,SAL12097,15185.432708952383,88.5850991114149,5182.093784762832,33.125427204374574,85.50922761449077,8807.245386192753,10000.0,95.1160041377272,57.74522065392175,1131,35,3.4,4023.200827545442,10890,2600,580,0.5305039787798409,3073,Hills District,26786.83125898034,25580.39699312587,-11601.398550027956,-43.3
