Suburb_Name,SAL_CODE_2021,Value_Score,Undervalued_Score,Quality_Index,Price_Index,Education_Index,Employment_Index,Demographics_Index,Density_Index,Tertiary_Pct,Median_tot_prsnl_inc_weekly,Median_age_persons,Average_household_size,Density_per_sqkm,Total_Population,Median_mortgage_repay_monthly,Median_rent_weekly,Mortgage_to_Income_Ratio,Median_tot_hhd_inc_weekly,Region,mean,median,Neighbor_Premium,Neighbor_Premium_Pct
Haberfield,SAL11835,52476.45842933756,46.889952153110045,4896.308241897965,8.330485304169514,86.26110731373889,7857.142857142857,10000.0,88.58035040657222,58.3215995494227,996,46,2.8,2716.0700813144435,6480,3674,530,0.8512511584800742,2761,Inner West,19869.97574012379,17027.035519438894,32606.482689213768,164.1
Balmain East,SAL10166,44259.863500145824,72.86397812713602,5313.301316835688,11.004784688995215,97.4025974025974,9767.6008202324,9357.14285714286,96.76384839650146,71.73414820473644,1550,46,2.2,5539.35860058309,1900,4333,617,0.6451116625310174,3020,Inner West,19869.97574012379,17027.035519438894,24389.887760022033,122.7
Balmain,SAL10165,29543.07043627024,79.35748462064251,5326.13297533729,17.02836637047163,96.1038961038961,9815.447710184551,9357.14285714286,89.21186110027313,70.06425233644859,1577,42,2.2,6798.02314995448,10454,3986,625,0.5832886200673137,3039,Inner West,19869.97574012379,17027.035519438894,9673.09469614645,48.7
Birchgrove,SAL10373,28772.952134222323,86.05604921394395,5465.0908674352,17.99384825700615,99.17976760082024,9914.55912508544,9785.714285714286,96.93752133834072,74.5958429561201,1661,46,2.4,5510.413110276545,3228,4000,700,0.5557356550734034,3603,Inner West,19869.97574012379,17027.035519438894,8902.976394098532,44.8
Lilyfield,SAL12334,27939.88546600669,83.04853041695146,5380.862904630695,18.258714969241268,89.67874231032125,9466.848940533151,10000.0,92.69733185102837,62.41340782122905,1348,41,2.5,3539.46637020567,7641,3600,520,0.6162976489385985,2858,Inner West,19869.97574012379,17027.035519438894,8069.909725882899,40.6
Five Dock,SAL11533,26088.866462258997,70.12987012987013,5100.168320258633,18.54921394395077,82.50170881749828,8537.252221462748,10000.0,94.94760783039558,54.17120058034095,1079,41,2.5,3989.521566079116,9823,3000,570,0.6416197333713552,2328,Inner West,19869.97574012379,17027.035519438894,6218.890722135206,31.3
Leichhardt (NSW),SAL12306,24994.740015472828,83.45864661654136,5349.694423133976,20.40328092959672,91.45591250854407,9538.61927546138,9785.714285714286,94.95530209617756,64.83715963694607,1377,37,2.4,5840.782983970406,15158,3400,600,0.5698005698005698,2673,Inner West,19869.97574012379,17027.035519438894,5124.764275349036,25.8
Annandale (NSW),SAL10062,22597.53073831793,84.62064251537936,5321.231939168982,22.547846889952154,94.66848940533151,9620.64251537936,9571.428571428572,91.8766325095439,68.46564166928145,1442,38,2.3,6353.894581742683,9487,3467,570,0.5548383655179772,2683,Inner West,19869.97574012379,17027.035519438894,2727.5549981941404,13.7
Rozelle,SAL13450,20920.34945810403,90.1572112098428,5405.329252843894,24.83766233766235,94.9419002050581,9897.47095010253,9571.428571428572,98.32169929650432,68.63514719000892,1652,40,2.3,4664.339859300867,8553,3500,650,0.4889178617992177,3196,Inner West,19869.97574012379,17027.035519438894,1050.3737179802374,5.3
Drummoyne,SAL11296,20654.294189395136,85.85099111414901,5303.05709252392,24.675324675324678,88.7218045112782,9562.542720437456,9571.428571428572,98.80394788104412,61.234632487575205,1388,42,2.3,5199.342019825982,12011,3200,600,0.5320328086898691,2776,Inner West,19869.97574012379,17027.035519438894,784.3184492713444,3.9
Strathfield (NSW),SAL13690,19716.16850615907,18.045112781954884,3968.906497543662,19.13021189336979,89.33697881066303,5235.816814764184,9428.57142857143,94.78334885567278,61.91060903732809,815,32,2.8,3956.669771134556,25915,2765,480,0.7829164700330344,2262,Inner West,19869.97574012379,17027.035519438894,-153.8072339647224,-0.8
Croydon (NSW),SAL11135,18951.62154918253,28.22966507177033,4190.665980361103,21.11244019138755,88.03827751196172,5498.974709501026,10000.0,97.08056171470804,60.494441679110665,835,42,2.7,4416.112342941611,10755,2700,480,0.7461999078765545,2157,Inner West,19869.97574012379,17027.035519438894,-918.3541909412597,-4.6
Glebe (NSW),SAL11645,18007.95418041209,59.33014354066985,4748.2285474127575,25.3673957621326,92.54955570745044,8250.170881749827,8928.57142857143,88.46372688477952,66.75535284429242,1045,38,2.0,6922.71218587008,11680,3000,420,0.6624953993375047,1756,Inner West,19869.97574012379,17027.035519438894,-1862.0215597117021,-9.4
Newtown (NSW),SAL12969,17146.124344656277,81.81818181818183,5099.653510656379,28.74231032125768,95.96719070403282,9405.331510594668,8952.380952380954,74.45774781019597,69.84203429011751,1309,34,2.1,9257.042031634004,14690,3000,550,0.5288828818240583,2330,Inner West,19869.97574012379,17027.035519438894,-2723.8513954675145,-13.7
Enmore (Inner West - NSW),SAL11428,16907.94669422151,84.48393711551606,5154.496763743175,29.485645933014357,93.43814080656186,9251.537935748462,9357.14285714286,78.12150993969175,67.33917015607156,1245,35,2.2,8646.415010051374,3871,2994,500,0.5549582947173308,2309,Inner West,19869.97574012379,17027.035519438894,-2962.02904590228,-14.9
Stanmore (NSW),SAL13665,16534.77081072956,88.4483937115516,5237.103279751103,30.67327409432673,94.19002050580998,9340.396445659602,9571.428571428572,92.4679802955665,68.04606675775912,1283,36,2.3,6255.336617405583,7619,3000,490,0.5396006954853408,2395,Inner West,19869.97574012379,17027.035519438894,-3335.2049293942327,-16.8
Petersham,SAL13202,14874.956612283771,87.5598086124402,5138.418026463412,33.54408749145591,91.11414900888585,9193.43814080656,9357.14285714286,91.77750155376008,64.47492015780576,1223,36,2.2,6370.416407706651,8200,2900,450,0.5472042266809233,2217,Inner West,19869.97574012379,17027.035519438894,-4995.01912784002,-25.1
Lewisham (NSW),SAL12322,14481.503181617236,89.95215311004785,5169.540289894401,34.697539302802454,93.71155160628844,9453.178400546822,9166.666666666666,92.04425054534124,67.54703328509407,1344,34,2.2,6325.958242443128,4060,2817,520,0.4836881868131868,2405,Inner West,19869.97574012379,17027.035519438894,-5388.472558506555,-27.1
Marrickville,SAL12514,13807.53705747087,83.11688311688312,4991.47655430977,35.150375939849624,89.47368421052632,8523.581681476418,9571.428571428572,98.01867831028866,62.184189079054605,1077,37,2.3,4603.735662057733,26570,2600,480,0.5571030640668524,2170,Inner West,19869.97574012379,17027.035519438894,-6062.438682652921,-30.5
Burwood (NSW),SAL10716,13419.226263148488,7.313738892686262,3382.3696381868226,24.2053998632946,87.01298701298701,3287.7648667122357,9428.57142857143,85.28949950932287,59.07409078603014,707,32,2.5,7451.750081779522,18224,2449,500,0.7993689478837994,1671,Inner West,19869.97574012379,17027.035519438894,-6450.749476975303,-32.5
