Suburb_Name,SAL_CODE_2021,Value_Score,Undervalued_Score,Quality_Index,Price_Index,Education_Index,Employment_Index,Demographics_Index,Density_Index,Tertiary_Pct,Median_tot_prsnl_inc_weekly,Median_age_persons,Average_household_size,Density_per_sqkm,Total_Population,Median_mortgage_repay_monthly,Median_rent_weekly,Mortgage_to_Income_Ratio,Median_tot_hhd_inc_weekly,Region,mean,median,Neighbor_Premium,Neighbor_Premium_Pct
Willoughby East,SAL14321,158057.32152606887,55.43403964456596,5226.803291477251,2.306903622693099,96.17224880382776,8947.368421052632,10000.0,91.60727013542407,70.10923535253227,1155,42,3.2,3321.454027084818,1864,4219,873,0.842957042957043,4536,Lower North Shore,52440.98571109013,32311.411619194238,105616.33581497875,201.4
Chatswood West,SAL10892,132170.86681666717,48.25700615174299,5059.623647346149,2.828092959671892,92.7546138072454,8397.129186602871,10000.0,84.3900481540931,66.95371367061357,1057,42,3.0,1878.00963081862,1521,4000,750,0.8732988865439197,3121,Lower North Shore,52440.98571109013,32311.411619194238,79729.88110557705,152.0
Northbridge (NSW),SAL13032,121086.9704094517,67.60082023239919,5400.909264571951,3.4603554340396414,97.88106630211894,9528.366370471633,10000.0,86.90022359884169,72.22368075610397,1375,44,2.9,2380.044719768337,6493,4649,740,0.7802517482517483,3874,Lower North Shore,52440.98571109013,32311.411619194238,68645.98469836157,130.9
Castle Cove,SAL10844,101566.67233127414,62.67942583732058,5293.893778961932,4.212235133287763,92.89131920710868,9179.767600820232,10000.0,80.64068635820387,66.9859514687101,1219,46,2.9,1128.1372716407718,2643,4000,1000,0.7572411181927179,3439,Lower North Shore,52440.98571109013,32311.411619194238,49125.68662018401,93.7
Castlecrag,SAL10848,76500.3782575939,73.00068352699932,5431.892886807148,6.100478468899524,99.65823650034176,9630.895420369105,10000.0,84.84526497542835,75.98204264870931,1446,47,3.0,1969.0529950856687,2965,4333,1010,0.6915097350781998,4675,Lower North Shore,52440.98571109013,32311.411619194238,24059.39254650377,45.9
Middle Cove,SAL12613,60412.03347715705,73.2740943267259,5394.138026740272,7.928913192071079,98.5645933014354,9507.860560492138,10000.0,81.40320401466899,73.5330836454432,1369,45,3.0,1280.6408029337963,1327,4000,930,0.6742709445412148,4446,Lower North Shore,52440.98571109013,32311.411619194238,7971.04776606692,15.2
Northwood (NSW),SAL13034,50543.53918987057,77.85372522214628,5463.055264589364,9.808612440191396,99.93164730006836,9733.424470266576,10000.0,86.98952879581152,77.08333333333334,1526,46,3.1,2397.905759162304,916,4200,1200,0.6351446718419195,5012,Lower North Shore,52440.98571109013,32311.411619194238,-1897.4465212195573,-3.6
North Willoughby,SAL13026,40415.34639865285,60.21872863978127,5079.681405184068,11.568694463431314,91.66097060833904,8458.646616541353,10000.0,97.26086026107426,65.04895700297999,1067,40,2.7,4452.172052214852,4161,3275,590,0.7083123062504505,2488,Lower North Shore,52440.98571109013,32311.411619194238,-12025.639312437277,-22.9
Willoughby (NSW),SAL14320,34715.89787747405,77.10184552289815,5336.234528151993,14.371155160628843,92.61790840738207,9313.055365686943,10000.0,96.88363949130677,66.76363636363635,1264,40,2.7,4376.727898261351,7124,3500,583,0.6389970788704966,2995,Lower North Shore,52440.98571109013,32311.411619194238,-17725.087833616075,-33.8
Mosman,SAL12749,29906.92536091442,80.24606971975393,5343.1798707011685,16.866028708133967,96.30895420369104,9692.412850307586,9571.428571428572,91.37457660427962,70.31581236071098,1487,45,2.3,3274.915320855924,28329,3870,590,0.6005897263462832,2892,Lower North Shore,52440.98571109013,32311.411619194238,-22534.060350175707,-43.0
Chatswood,SAL10891,26709.107733350414,45.72795625427205,4678.2928244769055,16.51572112098428,95.76213260423788,7115.516062884484,10000.0,99.39577220192824,69.72979703648362,938,37,2.5,5100.704633011957,25553,2858,577,0.7031326882073151,2158,Lower North Shore,52440.98571109013,32311.411619194238,-25731.877977739714,-49.1
Cremorne (NSW),SAL11113,18427.997427027,85.9876965140123,5241.58753883031,27.443609022556387,95.62542720437456,9712.91866028708,9142.857142857143,88.73351245725452,69.61318795430945,1502,40,2.1,6877.747923790914,11263,3200,600,0.4916521560995595,2481,Lower North Shore,52440.98571109013,32311.411619194238,-34012.98828406313,-64.9
Cammeray,SAL10777,16757.8640655608,92.95967190704032,5342.127575458814,30.87833219412167,97.2658920027341,9863.294600136704,9357.14285714286,97.82475687512076,71.6724286949006,1612,40,2.2,4564.951375024151,7088,3033,580,0.4341954571483107,2870,Lower North Shore,52440.98571109013,32311.411619194238,-35683.12164552933,-68.0
Cremorne Point,SAL11114,16132.081377418746,92.13943950786056,5303.90417152789,31.87799043062201,96.99248120300751,9914.55912508544,9142.857142857143,98.16269284712484,71.40221402214021,1661,47,2.1,5306.217858812529,2270,2996,650,0.4162460056499791,2951,Lower North Shore,52440.98571109013,32311.411619194238,-36308.90433367138,-69.2
