Suburb_Name,SAL_CODE_2021,Value_Score,Undervalued_Score,Quality_Index,Price_Index,Education_Index,Employment_Index,Demographics_Index,Density_Index,Tertiary_Pct,Median_tot_prsnl_inc_weekly,Median_age_persons,Average_household_size,Density_per_sqkm,Total_Population,Median_mortgage_repay_monthly,Median_rent_weekly,Mortgage_to_Income_Ratio,Median_tot_hhd_inc_weekly,Region,mean,median,Neighbor_Premium,Neighbor_Premium_Pct
Clontarf (NSW),SAL10934,273888.7534640131,64.4565960355434,5406.635133315593,0.9740259740259772,97.33424470266576,9548.872180451128,10000.0,85.15470512969641,71.7287488061127,1385,47,3.0,2030.9410259392807,1746,5317,1250,0.8859205776173285,4609,Northern Beaches,63621.16451802923,48830.49623310633,210267.58894598388,330.5
Balgowlah Heights,SAL10155,217503.99957219252,63.499658236500345,5371.441903310523,1.46958304853041,96.03554340396444,9432.672590567328,10000.0,85.5297541275686,69.89949748743719,1333,43,3.3,2105.950825513719,3546,4878,1320,0.8444803508569451,4687,Northern Beaches,63621.16451802923,48830.49623310633,153882.8350541633,241.9
Seaforth (NSW),SAL13524,138332.13347338708,62.95283663704716,5330.940317996976,2.8537252221462808,90.22556390977444,9302.802460697198,10000.0,86.879404099231,63.25446644133269,1263,42,3.1,2375.8808198461984,7384,4333,875,0.7917047323223095,4184,Northern Beaches,63621.16451802923,48830.49623310633,74710.96895535785,117.4
North Curl Curl,SAL12998,110452.21661292564,53.24675324675325,5153.052662279736,3.6654135338345952,85.37252221462748,8711.551606288449,10000.0,93.16949152542372,57.4304068522484,1110,40,3.2,3633.898305084746,4288,4000,700,0.8316008316008316,3611,Northern Beaches,63621.16451802923,48830.49623310633,46831.052094896404,73.6
North Balgowlah,SAL12991,87749.77453503684,64.93506493506493,5323.466328678874,5.066643882433354,90.08885850991112,9275.46138072454,10000.0,92.00837939026565,62.9812438302073,1254,39,3.3,3401.675878053129,3816,4005,825,0.7370261317629738,4212,Northern Beaches,63621.16451802923,48830.49623310633,24128.610017007602,37.9
Palm Beach (NSW),SAL13143,69036.14115787444,47.23171565276829,4954.982913385236,6.17737525632262,81.3397129186603,9377.990430622009,8428.57142857143,66.9400878678546,52.72727272727272,1295,58,2.3,608.202636035638,1652,4000,895,0.7128007128007128,2807,Northern Beaches,63621.16451802923,48830.49623310633,5414.976639845212,8.5
Collaroy Plateau,SAL10971,65686.37485876864,53.1784005468216,5079.357202852014,6.73274094326726,71.36021872863978,8479.152426520848,10000.0,94.68939518111785,44.38247011952191,1071,40,3.2,3937.87903622357,4805,3467,800,0.7470372764490412,3278,Northern Beaches,63621.16451802923,48830.49623310633,2065.2103407394097,3.2
North Manly,SAL13007,60884.90112995938,61.58578263841422,5197.065244777395,7.535885167464116,83.04853041695146,8861.927546138073,10000.0,90.48281207258138,54.52550740537575,1141,40,3.1,3096.562414516276,3396,3600,675,0.7281062495786422,3169,Northern Beaches,63621.16451802923,48830.49623310633,-2736.263388069856,-4.3
Allambie Heights,SAL10036,57751.661081682265,46.616541353383454,4909.878062433114,7.501708817498297,77.44360902255639,7915.242652084757,10000.0,80.48122733946603,49.269889224572005,1006,43,3.0,1096.2454678932072,7317,3467,600,0.7953050925217924,2890,Northern Beaches,63621.16451802923,48830.49623310633,-5869.503436346968,-9.2
Beacon Hill,SAL10238,57569.99235275524,43.882433356117566,4850.163641448289,7.424812030075188,76.0082023239918,7713.602187286398,10000.0,88.53683043448132,48.47182425978988,982,41,3.2,2707.3660868962647,7814,3250,730,0.7637474541751528,2937,Northern Beaches,63621.16451802923,48830.49623310633,-6051.172165273994,-9.5
