Suburb_Name,SAL_CODE_2021,Value_Score,Undervalued_Score,Quality_Index,Price_Index,Education_Index,Employment_Index,Demographics_Index,Density_Index,Tertiary_Pct,Median_tot_prsnl_inc_weekly,Median_age_persons,Average_household_size,Density_per_sqkm,Total_Population,Median_mortgage_repay_monthly,Median_rent_weekly,Mortgage_to_Income_Ratio,Median_tot_hhd_inc_weekly,Region,mean,median,Neighbor_Premium,Neighbor_Premium_Pct
Lilli Pilli (Sutherland Shire - NSW),SAL12331,110521.30566105936,59.6719070403281,5260.149359657944,3.759398496240607,79.97265892002734,9077.238550922762,10000.0,86.57331136738055,51.51133501259446,1186,44,3.2,2314.662273476112,1405,4000,900,0.778311064988974,3625,Sutherland Shire,25764.296693725984,15690.264990625808,84757.00896733339,329.0
Caringbah South,SAL10815,59732.57977620399,50.78605604921395,5001.735943597997,7.373547505126453,67.3274094326726,8226.24743677375,10000.0,91.08993157380256,42.20157657657658,1041,42,2.9,3217.986314760509,13168,3380,730,0.7492795389048992,2721,Sutherland Shire,25764.296693725984,15690.264990625808,33968.283082478,131.8
Port Hacking,SAL13256,45176.00101154736,72.04374572795625,5303.625463935966,10.739917976760085,76.28161312371839,9224.196855775805,10000.0,89.87948844072798,48.61538461538461,1231,40,3.2,2975.8976881455974,1210,3500,795,0.656126976191964,3394,Sutherland Shire,25764.296693725984,15690.264990625808,19411.70431782138,75.3
Oyster Bay,SAL13123,35772.93181457823,64.73000683526999,5125.823442440218,13.32877648667123,75.52973342447027,8632.946001367054,10000.0,88.53814668506972,47.73541870316064,1096,40,3.1,2707.6293370139447,5689,3190,620,0.6716732172936553,3137,Sutherland Shire,25764.296693725984,15690.264990625808,10008.635120852246,38.8
Sylvania Waters,SAL13733,35059.07681659507,35.95352016404648,4592.1878949857255,12.09842788790158,66.30211893369788,6862.611073137388,10000.0,90.09291576266388,41.760856632956575,920,43,2.9,3018.58315253278,3200,3000,600,0.7525083612040134,2371,Sutherland Shire,25764.296693725984,15690.264990625808,9294.780122869088,36.1
Gymea Bay,SAL11834,34893.91362612833,59.12508544087491,5026.703189524726,13.405673274094326,72.65892002734108,8304.853041695147,10000.0,89.6640067198656,45.18421052631579,1049,42,3.1,2932.8013439731208,6983,3033,680,0.6672288626530761,3047,Sutherland Shire,25764.296693725984,15690.264990625808,9129.616932402343,35.4
Como (NSW),SAL10996,23482.11143472907,78.60560492139439,5208.518503846042,21.18079289131921,81.61312371838687,8902.93916609706,10000.0,87.68544600938968,52.84444444444445,1149,40,3.1,2537.0892018779346,4053,3000,590,0.6025306286402892,3152,Sutherland Shire,25764.296693725984,15690.264990625808,-2282.185258996913,-8.9
Sylvania,SAL13732,22151.710798306747,25.153793574846205,4209.354996912694,18.002392344497622,61.107313738892685,5591.25085440875,10000.0,90.98364312267658,38.97270114942529,840,46,2.6,3196.728624535316,10749,2730,530,0.75,1961,Sutherland Shire,25764.296693725984,15690.264990625808,-3612.585895419237,-14.0
Bundeena,SAL10669,19818.004985139574,21.941216678058783,4091.002457646669,19.64285714285714,69.99316473000684,5191.387559808612,10000.0,83.92160190055999,43.593875906527,812,50,2.5,1784.320380111997,2103,2600,554,0.7389162561576355,1832,Sutherland Shire,25764.296693725984,15690.264990625808,-5946.29170858641,-23.1
Engadine,SAL11425,16499.35658170373,60.08202323991798,4704.290233032179,27.51196172248804,53.11004784688996,7252.22146274778,10000.0,84.60519902518278,34.17458756691795,946,39,2.9,1921.039805036556,17736,2600,500,0.6342494714587739,2303,Sutherland Shire,25764.296693725984,15690.264990625808,-9264.940112022254,-36.0
