Suburb_Name,SAL_CODE_2021,Value_Score,Undervalued_Score,Quality_Index,Price_Index,Education_Index,Employment_Index,Demographics_Index,Density_Index,Tertiary_Pct,Median_tot_prsnl_inc_weekly,Median_age_persons,Average_household_size,Density_per_sqkm,Total_Population,Median_mortgage_repay_monthly,Median_rent_weekly,Mortgage_to_Income_Ratio,Median_tot_hhd_inc_weekly,Region,mean,median,Neighbor_Premium,Neighbor_Premium_Pct
St Ives Chase,SAL13655,215167.3437687388,42.03691045796309,4964.438611697744,1.307245386192761,96.44565960355436,8079.28913192071,10000.0,78.1211616030966,70.66811515480717,1025,42,3.2,943.6348480928976,3283,4223,950,0.9507692307692308,3306,Upper North Shore,67287.43198882251,50594.342940409624,147879.91177991626,219.8
East Killara,SAL11358,151270.00613186572,22.624743677375257,4524.141570949961,1.9907723855092316,98.97470950102527,6609.706083390294,10000.0,76.91555388376905,74.18967587034814,905,43,3.2,907.4666165130714,2895,3900,1000,0.994475138121547,3005,Upper North Shore,67287.43198882251,50594.342940409624,83982.57414304321,124.8
East Lindfield,SAL11360,130605.8059272634,54.27204374572796,5189.415925189209,2.9733424470266527,98.90635680109364,8824.333561175667,10000.0,82.95966530787385,74.15730337078652,1132,43,3.1,1591.9330615747697,3710,4000,990,0.8154389779831477,3457,Upper North Shore,67287.43198882251,50594.342940409624,63318.373938440884,94.1
North Wahroonga,SAL13025,127193.95440630244,45.79630895420369,4999.513566735779,2.9306220095693902,93.6431989063568,8205.741626794259,10000.0,64.65412683729058,67.54530477759472,1039,45,3.1,539.6238051187172,2100,3884,950,0.8626638039535056,3189,Upper North Shore,67287.43198882251,50594.342940409624,59906.52241747992,89.0
Roseville Chase,SAL13427,108916.8010032328,61.03896103896104,5276.844056807342,3.84483937115516,97.19753930280244,9118.250170881747,10000.0,81.39829167984814,71.58234660925726,1197,45,3.1,1279.65833596963,1618,4000,925,0.771158665895508,4026,Upper North Shore,67287.43198882251,50594.342940409624,41629.36901441029,61.9
North Turramurra,SAL13023,98129.20517110212,13.19207108680793,4167.305206616931,3.246753246753244,84.89405331510595,6336.295283663704,8928.57142857143,58.70365586953901,56.88736681887367,886,56,2.4,361.1096760861704,4194,3629,760,0.9452161833651676,2064,Upper North Shore,67287.43198882251,50594.342940409624,30841.773182279605,45.8
South Turramurra,SAL13614,74245.48424353884,51.60628844839371,5062.4458514793,5.818523581681475,93.98496240601504,8407.382091592617,10000.0,80.23823519806669,67.83947223749313,1058,42,3.1,1047.6470396133373,3208,3500,795,0.7634142794823323,3447,Upper North Shore,67287.43198882251,50594.342940409624,6958.052254716327,10.3
West Pymble,SAL14267,60209.8576233026,58.09979494190021,5149.733072046374,7.552973342447018,96.78742310321256,8694.463431305538,10000.0,82.38543815832338,71.0594315245478,1107,41,3.2,1477.087631664676,5441,3467,800,0.7227433812799666,3503,Upper North Shore,67287.43198882251,50594.342940409624,-7077.574365519911,-10.5
St Ives (NSW),SAL13654,59128.14546991148,55.16062884483938,5097.63020377303,7.6213260423786835,94.46343130553656,8523.581681476418,10000.0,81.44446625629233,68.30777757251062,1077,43,2.9,1288.8932512584656,18384,3467,688,0.742875508892222,2888,Upper North Shore,67287.43198882251,50594.342940409624,-8159.286518911038,-12.1
Wahroonga,SAL14103,54765.51999350603,51.8796992481203,5011.625301934788,8.151059466848949,93.5064935064935,8236.5003417635,10000.0,84.15500902527076,67.35606484069312,1042,44,2.9,1831.0018050541516,17853,3467,600,0.7678281411486786,2998,Upper North Shore,67287.43198882251,50594.342940409624,-12521.911995316485,-18.6
Pymble,SAL13294,50930.27898219756,69.71975393028025,5304.686200483436,9.41558441558442,99.86329460013673,9207.108680792891,10000.0,83.96405243685196,76.7590027700831,1224,41,2.9,1792.8104873703924,11775,3689,630,0.6955128205128205,3379,Upper North Shore,67287.43198882251,50594.342940409624,-16357.153006624954,-24.3
Warrawee,SAL14183,50258.406898621695,65.07177033492823,5221.82442968216,9.38995215311006,99.04306220095694,8930.280246069718,10000.0,86.84958133971293,74.24008243173623,1153,42,2.9,2369.916267942584,3170,3500,650,0.7005137100540396,3388,Upper North Shore,67287.43198882251,50594.342940409624,-17029.02509020082,-25.3
Roseville,SAL13426,48356.27228841522,68.89952153110048,5284.484493145477,9.928229665071784,98.76965140123036,9138.755980861244,10000.0,88.17868977823095,73.94745172522951,1203,40,2.9,2635.737955646189,10340,3651,600,0.7003644734318051,3200,Upper North Shore,67287.43198882251,50594.342940409624,-18931.159700407297,-28.1
Turramurra,SAL13998,43674.20704126175,66.23376623376623,5205.678895321413,10.919343814080662,97.06083390293917,8879.015721120983,10000.0,85.70619209491434,71.45961145194273,1144,43,2.8,2141.23841898287,12850,3484,590,0.7027972027972028,3046,Upper North Shore,67287.43198882251,50594.342940409624,-23613.224947560768,-35.1
Killara (NSW),SAL12137,40786.46304879919,65.00341763499658,5168.143896094599,11.671223513328783,98.01777170198224,8752.563226247436,10000.0,86.46397806515685,72.77558457333738,1117,42,2.8,2292.7956130313696,10620,3300,620,0.6817712278768681,2802,Upper North Shore,67287.43198882251,50594.342940409624,-26500.968940023326,-39.4
Lindfield,SAL12348,40213.19933413714,70.26657552973342,5253.553512463179,12.064251537935746,99.45317840054685,9036.226930963774,10000.0,85.66319769254756,74.85336140773049,1174,40,2.8,2132.6395385095107,10943,3450,600,0.6781548945092387,2833,Upper North Shore,67287.43198882251,50594.342940409624,-27074.232654685373,-40.2
Dural (Hornsby - NSW),SAL11331,40139.82310289889,31.57894736842105,4537.47364645073,10.304169514695827,76.07655502392345,6688.311688311688,10000.0,54.38115633364484,48.50813743218807,909,45,3.0,231.43469000934527,7900,3033,600,0.76999238385377,2489,Upper North Shore,67287.43198882251,50594.342940409624,-27147.608885923626,-40.3
Gordon (NSW),SAL11724,28876.09160705616,67.87423103212576,5092.396455966184,16.635338345864668,98.35953520164048,8499.658236500341,10000.0,86.60749637059523,72.94557097118464,1075,39,2.7,2321.4992741190445,8795,3033,577,0.6510912343470483,2460,Upper North Shore,67287.43198882251,50594.342940409624,-38411.34038176635,-57.1
Hornsby Heights,SAL11944,25261.53778194525,52.15311004784689,4785.187946350303,17.94258373205743,81.88653451811346,7501.708817498292,10000.0,67.39560496920348,53.25574951510114,967,41,3.0,621.868149076104,6354,2800,620,0.6682045978840189,2699,Upper North Shore,67287.43198882251,50594.342940409624,-42025.89420687726,-62.5
Asquith,SAL10104,11851.128550478286,89.54203691045797,5007.203069656284,41.25085440874915,89.20027341079972,8226.24743677375,10000.0,83.79171067279422,61.86071817192601,1041,36,2.7,1758.3421345588447,6160,2400,490,0.5320328086898692,2300,Upper North Shore,67287.43198882251,50594.342940409624,-55436.30343834423,-82.4
