Suburb_Name,SAL_CODE_2021,Value_Score,Undervalued_Score,Quality_Index,Price_Index,Education_Index,Employment_Index,Demographics_Index,Density_Index,Tertiary_Pct,Median_tot_prsnl_inc_weekly,Median_age_persons,Average_household_size,Density_per_sqkm,Total_Population,Median_mortgage_repay_monthly,Median_rent_weekly,Mortgage_to_Income_Ratio,Median_tot_hhd_inc_weekly,Wage_Pct,Investment_Pct,Govt_Benefit_Pct,Wealth_Score,House_Pct,Outright_Pct,Retiree_Score,Contrarian_Score
Palm Beach (NSW),SAL13143,69036.14115787444,47.23171565276829,4954.982913385236,6.17737525632262,81.3397129186603,9377.990430622009,8428.57142857143,66.9400878678546,52.72727272727272,1295,58,2.3,608.202636035638,1652,4000,895,0.7128007128007128,2807,27.110047846889955,72.88995215311004,12,72.88995215311004,50.0,30.0,30.0,51.94251537935749
Clareville,SAL10922,42738.37586401211,53.588516746411486,4991.88904145071,10.68010936431989,83.18523581681477,9193.43814080656,8785.714285714286,83.15638023417344,54.77477477477477,1223,57,2.4,1631.2760468346894,822,3467,1125,0.6541920875526762,2802,30.032809295967184,69.96719070403282,13,69.96719070403282,50.0,30.0,30.0,50.25741626794259
Bayview (NSW),SAL10237,109103.6614054564,9.227614490772384,3999.473247556135,2.6657552973342438,71.56527682843472,6196.172248803828,8428.57142857143,80.06088482399234,44.5518453427065,876,58,2.3,1012.1769647984686,3807,3691,850,0.9723393045310852,1885,43.01913875598086,56.98086124401914,12,56.98086124401914,50.0,30.0,30.0,49.463021189336985
Church Point,SAL10914,65583.56584108481,53.930280246069714,5093.821316830118,6.766917293233078,79.01572112098428,9002.050580997948,9428.57142857143,82.39046034387133,50.595238095238095,1161,54,2.6,1478.0920687742653,1066,3600,1073,0.7155635062611807,3182,36.98974709501026,63.01025290498974,16,63.01025290498974,50.0,30.0,30.0,49.04866712235133
Burradoo,SAL10698,27658.055644331467,28.57142857142857,4350.614043356117,14.73000683526999,74.36773752563226,7317.156527682843,8500.0,54.37842529049678,46.48370497427101,950,59,2.4,231.35275871490333,2879,3000,550,0.728744939271255,2180,35.414217361585784,64.58578263841422,11,64.58578263841422,50.0,30.0,30.0,48.771155160628844
North Turramurra,SAL13023,98129.20517110212,13.19207108680793,4167.305206616931,3.246753246753244,84.89405331510595,6336.295283663704,8928.57142857143,58.70365586953901,56.88736681887367,886,56,2.4,361.1096760861704,4194,3629,760,0.9452161833651676,2064,46.318523581681475,53.681476418318525,14,53.681476418318525,50.0,30.0,30.0,48.28694463431306
Point Piper,SAL13245,47579.37740907633,70.88174982911825,5305.279450951894,10.150375939849624,92.27614490772386,9986.32946001367,9071.428571428572,92.27084412221647,66.36050516647532,1835,52,2.2,3454.168824443294,1334,5000,900,0.6287989939216097,4530,36.068352699931644,63.931647300068356,18,63.931647300068356,50.0,30.0,30.0,48.156254272043746
Clontarf (NSW),SAL10934,273888.7534640131,64.4565960355434,5406.635133315593,0.9740259740259772,97.33424470266576,9548.872180451128,10000.0,85.15470512969641,71.7287488061127,1385,47,3.0,2030.9410259392807,1746,5317,1250,0.8859205776173285,4609,48.255639097744364,51.744360902255636,23,51.744360902255636,50.0,30.0,30.0,46.55406698564593
Cabarita (NSW),SAL10734,58614.64124497909,63.08954203691046,5213.61808968498,7.89473684210526,85.03075871496925,8913.192071086809,10000.0,94.34160496297778,57.361702127659576,1150,50,2.6,3868.3209925955575,1933,3500,900,0.7023411371237459,2695,45.43403964456596,54.56596035543404,20,54.56596035543404,50.0,30.0,30.0,46.33424470266576
Taren Point,SAL13781,34988.93366822312,3.144224196855776,3390.195688406676,8.689336978810658,45.86466165413533,4190.020505809979,8428.57142857143,81.91520683056088,30.333951762523192,757,58,2.3,1383.0413661121745,1879,3000,650,0.9145412051620768,1463,53.0498974709501,46.9501025290499,12,46.9501025290499,50.0,30.0,30.0,46.25215311004785
Woolwich,SAL14430,29585.765646102915,74.36773752563226,5222.60554130848,16.65242652084757,94.0533151059467,9357.484620642514,9500.0,80.9610705596107,67.90352504638219,1288,52,2.4,1192.2141119221412,833,3500,550,0.6270903010033445,2931,39.212576896787425,60.787423103212575,18,60.787423103212575,50.0,30.0,30.0,46.226999316473
Longueville,SAL12394,168749.97224401613,68.0792891319207,5436.217492727591,2.221462747778532,100.0,9644.565960355436,10000.0,85.65136413973623,77.45173745173746,1453,46,3.2,2130.2728279472467,2116,5000,1100,0.7941129758060247,4894,49.77717019822283,50.22282980177717,24,50.22282980177717,50.0,30.0,30.0,45.80027341079973
