Suburb_Name,SAL_CODE_2021,Value_Score,Undervalued_Score,Quality_Index,Price_Index,Education_Index,Employment_Index,Demographics_Index,Density_Index,Tertiary_Pct,Median_tot_prsnl_inc_weekly,Median_age_persons,Average_household_size,Density_per_sqkm,Total_Population,Median_mortgage_repay_monthly,Median_rent_weekly,Mortgage_to_Income_Ratio,Median_tot_hhd_inc_weekly,Wage_Pct,Investment_Pct,Govt_Benefit_Pct,Wealth_Score,House_Pct,Outright_Pct,Retiree_Score,Hidden_Wealth_Score
Taren Point,SAL13781,34988.93366822312,3.144224196855776,3390.195688406676,8.689336978810658,45.86466165413533,4190.020505809979,8428.57142857143,81.91520683056088,30.333951762523192,757,58,2.3,1383.0413661121745,1879,3000,650,0.9145412051620768,1463,53.0498974709501,46.9501025290499,12,46.9501025290499,50.0,30.0,30.0,215.21086807928913
St Huberts Island,SAL13653,22482.22656370544,3.9644565960355433,3359.7328732897613,13.94395078605605,28.22966507177033,4104.57963089542,8428.57142857143,84.9815157116451,22.632423756019264,753,58,2.3,1996.30314232902,1080,2800,560,0.8581060373889059,1605,53.477101845522895,46.522898154477105,12,46.522898154477105,50.0,30.0,30.0,209.10184552289815
Berry,SAL10321,9422.17470535984,16.95146958304853,3516.441900205058,36.32091592617908,62.33766233766234,4511.278195488721,8571.428571428572,10.0,39.49489521762493,775,57,2.3,59.96949260156873,3098,2167,520,0.6452605459057071,1495,53.44360902255639,46.55639097744361,13,46.55639097744361,50.0,30.0,30.0,186.79186602870814
Daleys Point,SAL11190,11123.277646311872,0.5468215994531784,2682.017639183012,23.111756664388253,56.80109364319891,2303.4859876965143,7857.142857142857,64.30533663589281,36.47058823529412,642,59,2.1,529.1600990767845,705,2455,500,0.8824586628324946,1227,60.48257006151743,39.51742993848257,11,39.51742993848257,50.0,30.0,30.0,185.9231032125769
Kincumber South,SAL12150,3472.579079899365,0.1367053998632946,1750.2463171129143,49.40191387559808,38.106630211893375,1001.3670539986329,5714.285714285715,65.55188852218555,26.77165354330709,556,68,1.7,566.5566556655666,721,2006,310,0.832595462091865,721,48.99316473000684,51.00683526999316,2,51.00683526999316,50.0,30.0,30.0,182.61175666438822
Fullerton Cove,SAL11578,3291.812865497076,0.4101161995898838,1887.2347915242651,56.33116883116884,16.131237183868762,912.5085440874916,6428.571428571429,10.0,17.620137299771166,548,69,2.1,39.65192622044313,735,1873,300,0.7887422796181921,1062,47.437457279562544,52.562542720437456,1,52.562542720437456,50.0,30.0,30.0,178.79391660970606
Erina,SAL11436,5612.621874658229,1.5721120984278878,2434.201396158592,42.37012987012987,35.13328776486671,1729.3233082706768,7571.4285714285725,80.04849660523763,25.445205479452053,607,61,2.1,1009.6993210475266,5205,2146,380,0.8158661766569509,1010,59.35338345864662,40.64661654135338,9,40.64661654135338,50.0,30.0,30.0,168.9231032125769
Tallwoods Village,SAL13753,5618.554390308313,6.83526999316473,2787.2139039905737,48.607313738892685,35.543403964456594,2617.908407382092,7928.571428571429,60.23668962501367,25.6140350877193,663,60,2.2,407.10068875041,993,1997,400,0.6950922380786634,1314,56.91045796308954,43.08954203691046,10,43.08954203691046,50.0,30.0,30.0,167.57177033492823
West Haven,SAL14262,3135.823570490859,0.4784688995215311,1850.318097296026,58.00580997949419,22.28298017771702,693.7799043062201,6500.0,69.99487967229902,20.17391304347826,524,67,2.0,699.8463901689709,1139,1625,400,0.7156488549618321,940,52.5311004784689,47.4688995215311,3,47.4688995215311,50.0,30.0,30.0,166.931989063568
Huskisson,SAL11973,6560.002401536984,14.012303485987696,3174.090567327409,47.38550922761448,49.555707450444295,3978.127136021873,7857.142857142857,10.0,32.2,744,56,1.9,67.80536631041942,840,2167,350,0.6721464019851117,1294,58.10936431989063,41.89063568010937,14,41.89063568010937,50.0,30.0,30.0,166.39576213260426
Soldiers Point,SAL13586,7093.5874414046975,13.055365686944636,3203.7753724165145,44.16438824333561,44.90772385509227,3509.911141490089,8500.0,82.19808541973491,29.694835680751176,719,56,2.2,1439.6170839469808,1564,2152,400,0.6907028993259869,1350,60.450444292549555,39.549555707450445,14,39.549555707450445,50.0,30.0,30.0,164.93472317156528
Tea Gardens,SAL13794,2400.419032106856,1.367053998632946,1732.6414900888587,71.1807928913192,25.4272043745728,745.0444292549556,6000.000000000001,10.0,21.40575079872205,529,69,1.9,40.31887224877039,3288,1420,365,0.6194561582085211,991,48.27477785372522,51.72522214627478,1,51.72522214627478,50.0,30.0,30.0,162.26965140123036
Black Head,SAL10383,3357.772675851505,3.896103896103896,2179.235778936694,63.90123034859877,42.78879015721121,1537.9357484620643,6785.714285714286,57.26563948226417,28.95204262877442,598,65,2.0,317.969184467925,972,1661,375,0.6409827630563416,1053,52.31032125768968,47.68967874231032,5,47.68967874231032,50.0,30.0,30.0,161.47812713602187
Leura,SAL12318,6581.002812283458,22.00956937799043,3371.493173493174,50.23069036226931,79.83595352016405,4104.57963089542,8428.57142857143,60.17094017094017,51.28030044383749,753,55,2.1,405.12820512820514,4503,2000,430,0.6129328838492185,1369,59.477101845522895,40.522898154477105,15,40.522898154477105,50.0,30.0,30.0,160.8151059466849
Fingal Bay,SAL11521,3797.9234943504416,2.5974025974025974,2198.486294528709,56.88653451811346,27.68284347231716,1203.0075187969924,7285.714285714286,52.3374294623007,22.453450164293532,573,63,2.1,170.122883869021,1635,1733,390,0.697946033024567,1114,57.984962406015036,42.015037593984964,7,42.015037593984964,50.0,30.0,30.0,157.14354066985646
Kew (NSW),SAL12117,3919.932733509944,2.3239917976760083,2194.76042378674,54.98974709501025,24.47026657552973,857.8263841421735,7714.285714285716,10.0,20.96597145993414,542,63,2.3,85.76772094563661,1761,1769,370,0.7531933011637809,1107,59.710868079289135,40.289131920710865,7,40.289131920710865,50.0,30.0,30.0,155.58851674641147
Bundanoon (NSW),SAL10667,4894.94683837566,11.073137388926863,2830.5874914559126,56.82672590567327,65.68694463431306,2638.414217361586,8071.4285714285725,10.0,41.37362637362637,664,59,2.2,48.72953325633535,2869,1820,400,0.6325301204819277,1290,58.80792891319207,41.19207108680793,11,41.19207108680793,50.0,30.0,30.0,155.55741626794259
Lake Conjola,SAL12252,2569.2104056672138,1.2303485987696514,1781.158236500342,68.32706766917293,24.81203007518797,550.2392344497607,6428.571428571429,10.0,21.119592875318062,507,66,1.9,35.5531174960669,687,1500,335,0.6827492034592626,869,55.248803827751196,44.751196172248804,4,44.751196172248804,50.0,30.0,30.0,151.17532467532467
Chain Valley Bay,SAL10879,3354.209487703858,2.1872863978127137,2059.7093093392973,60.4066985645933,3.9644565960355433,758.7149692412851,7285.714285714286,63.17940106353205,12.130401819560271,530,63,2.1,495.3820319059614,2773,1647,370,0.7171262699564587,866,60.206425153793575,39.793574846206425,7,39.793574846206425,50.0,30.0,30.0,149.18045112781954
Kangaroo Valley,SAL12069,5813.368841986494,43.47231715652769,3592.1493506493507,60.79118250170882,73.75256322624743,4395.078605604921,9000.0,10.0,46.09375,766,54,2.3,6.912786636355928,856,2000,310,0.6025306286402892,1578,60.024606971975395,39.975393028024605,16,39.975393028024605,50.0,30.0,30.0,149.15960355434038
Laurieton,SAL12292,2148.640160347954,0.888585099111415,1588.1725882413332,72.91524265208476,16.19958988380041,365.6869446343131,5857.142857142858,62.13942400123044,17.622523461939522,487,67,1.7,464.1827200369131,2012,1365,315,0.6468172484599589,755,54.17156527682843,45.82843472317157,3,45.82843472317157,50.0,30.0,30.0,148.74162679425837
Hawks Nest,SAL11880,3701.926729844427,6.7669172932330826,2417.778195488722,64.31134654818865,40.19138755980861,1883.1168831168832,7357.142857142857,10.0,27.686915887850468,617,61,2.0,41.83951746866477,1413,1733,330,0.6481735444458298,1096,58.58441558441558,41.41558441558442,9,41.41558441558442,50.0,30.0,30.0,148.5198222829802
Dunbogan,SAL11313,3158.225995256124,2.1189336978810664,2007.362398133127,62.55980861244019,27.477785372522213,745.0444292549556,7071.4285714285725,51.65727258493816,22.39057239057239,529,63,2.0,149.71817754814467,1020,1600,370,0.6979787698124181,947,60.27477785372522,39.72522214627478,7,39.72522214627478,50.0,30.0,30.0,146.89063568010937
Lilli Pilli (Eurobodalla - NSW),SAL12330,4112.5079856194,40.66985645933015,3177.50975856764,76.26452494873547,61.03896103896104,3598.76965140123,8285.714285714286,54.25735604674081,38.961038961038966,725,59,2.3,227.7206814022244,647,1566,390,0.4984615384615385,1355,54.00615174299385,45.99384825700615,11,45.99384825700615,50.0,30.0,30.0,145.72317156527683
Harrington,SAL11865,2770.2366880910213,1.161995898838004,1832.7113367529305,65.15721120984279,16.267942583732058,293.91660970608336,6928.571428571429,50.08742615419016,17.6231884057971,480,64,2.0,102.62278462570455,3381,1517,340,0.729326923076923,883,60.53041695146958,39.46958304853042,6,39.46958304853042,50.0,30.0,30.0,143.78195488721803
Denhams Beach,SAL11238,3595.4403092710104,15.242652084757346,2629.930648093087,72.14627477785372,18.79699248120301,2040.328092959672,8000.0,81.28748307216095,18.684210526315788,629,61,2.3,1257.4966144321918,650,1529,385,0.5609636786107375,1323,57.79835953520164,42.20164046479836,9,42.20164046479836,50.0,30.0,30.0,142.25700615174298
Gilead,SAL11621,1250.616344597083,2.460697197539303,1230.2115516062886,97.36842105263158,1.0936431989063569,225.56390977443607,4642.857142857143,10.0,7.971014492753622,471,74,1.6,31.46022528660194,882,495,265,0.2425281724644782,758,48.87218045112782,51.12781954887218,0,51.12781954887218,50.0,30.0,30.0,134.88721804511277
Tuross Head,SAL13997,2757.668924087585,8.680792891319207,2188.8973523180643,78.37491455912509,46.206425153793575,1390.9774436090224,7000.0,51.61461126146302,30.45977011494253,586,62,1.9,148.43833784389057,2353,1430,330,0.5631399317406143,1043,59.045112781954884,40.954887218045116,8,40.954887218045116,50.0,30.0,30.0,133.53485987696513
Tathra,SAL13789,3966.233108390965,49.077238550922765,3237.9969241285035,80.6390977443609,60.08202323991798,4002.0505809979495,8071.4285714285725,10.0,38.35164835164836,746,56,2.0,73.55703922078673,1527,1603,320,0.4958754382346876,1221,57.98974709501025,42.01025290498975,14,42.01025290498975,50.0,30.0,30.0,133.3814080656186
Millingandi,SAL12633,2776.535474214661,7.040328092959672,2142.904647983596,76.17908407382092,11.961722488038278,1114.1490088858511,7214.285714285716,10.0,15.942028985507244,565,62,2.0,27.094753328112763,519,1517,210,0.6196051735874745,859,60.42925495557074,39.57074504442926,8,39.57074504442926,50.0,30.0,30.0,132.9624060150376
Worrowing Heights,SAL14442,1146.9545674667322,2.255639097744361,1149.4084073820918,99.21394395078606,9.432672590567329,126.45249487354752,4428.571428571429,10.0,15.064935064935064,458,77,1.7,52.84378103553059,713,503,187,0.2534430634867316,767,49.367737525632265,50.632262474367735,0,50.632262474367735,50.0,30.0,30.0,132.0505809979494
Hastings Point,SAL11875,1779.340467651325,5.809979494190021,1675.3591188599034,93.1561859193438,25.153793574846205,649.3506493506493,5857.142857142858,58.1471446436015,21.238938053097343,520,67,1.7,344.41433930804504,661,960,290,0.4260355029585798,744,52.753246753246756,47.246753246753244,3,47.246753246753244,50.0,30.0,30.0,131.33732057416267
Arrawarra,SAL10089,1783.6204974950028,9.979494190020509,1775.8544943719387,98.5645933014354,2.392344497607656,533.1510594668489,6428.571428571429,53.65744026496333,10.273972602739724,506,66,1.9,209.72320794889995,591,659,200,0.3005472788081484,718,55.33424470266576,44.66575529733424,4,44.66575529733424,50.0,30.0,30.0,120.76691729323309
