SAL_CODE_2021,Suburb_Name,KMeans_5,KMeans_10,KMeans_15,KMeans_20,Hierarchical_10,Hierarchical_20,HDBSCAN
SAL10001,Aarons Pass,0,8,4,3,4,7,0
SAL10002,Abbotsbury,4,6,9,18,3,14,-1
SAL10003,Abbotsford (NSW),1,5,5,1,1,5,-1
SAL10004,Abercrombie,0,0,0,8,4,12,-1
SAL10005,Abercrombie River,0,8,4,3,4,7,0
SAL10006,Aberdare,0,8,4,3,3,14,0
SAL10007,Aberdeen (NSW),0,8,4,3,3,14,-1
SAL10008,Aberfoyle,0,0,0,8,4,12,0
SAL10009,Aberglasslyn,4,6,9,15,3,18,-1
SAL10010,Abermain,0,0,0,8,3,14,0
SAL10011,Abernethy,0,0,0,8,4,12,0
SAL10012,Abington (NSW),0,0,0,8,4,12,0
SAL10013,Acacia Creek,0,8,4,3,4,7,0
SAL10014,Acacia Gardens,4,6,9,18,3,14,-1
SAL10015,Adaminaby,0,8,4,3,4,7,0
SAL10016,Adamstown,4,6,9,15,3,9,-1
SAL10017,Adamstown Heights,4,5,9,19,1,11,-1
SAL10018,Adelong,0,8,4,3,4,7,0
SAL10019,Adjungbilly,0,0,0,8,4,12,0
SAL10020,Afterlee,0,8,4,3,4,7,0
SAL10021,Agnes Banks,0,0,0,8,4,12,0
SAL10022,Airds,0,8,4,3,3,14,-1
SAL10023,Akolele,0,8,4,3,4,7,0
SAL10024,Albert,0,8,4,3,4,7,0
SAL10025,Albion Park,1,5,10,15,3,18,-1
SAL10026,Albion Park Rail,4,6,9,18,3,14,-1
SAL10027,Albury,4,5,5,1,1,16,-1
SAL10028,Aldavilla,0,8,4,3,4,7,0
SAL10029,Alectown,0,8,4,3,4,7,0
SAL10030,Alexandria,3,4,1,2,0,0,-1
SAL10031,Alfords Point,4,6,9,18,3,14,-1
SAL10032,Alfredtown,0,0,0,8,4,12,0
SAL10033,Alice,0,8,4,3,4,7,0
SAL10034,Alison (Central Coast - NSW),0,0,0,8,4,12,-1
SAL10035,Alison (Dungog - NSW),0,8,4,3,4,7,0
SAL10036,Allambie Heights,1,5,10,1,1,16,-1
SAL10037,Allandale (NSW),0,0,0,8,4,12,0
SAL10038,Allawah,4,6,9,18,3,9,-1
SAL10039,Alleena,0,0,0,0,4,12,0
SAL10040,Allgomera,0,8,4,3,4,7,0
SAL10041,Allworth,0,8,4,3,4,7,0
SAL10042,Allynbrook,0,8,4,3,4,7,-1
SAL10043,Alma Park,0,8,4,3,4,7,0
SAL10044,Alpine,0,0,0,8,4,12,0
SAL10045,Alstonvale,0,0,0,8,4,12,0
SAL10046,Alstonville,4,6,9,1,3,9,-1
SAL10047,Alumy Creek,0,8,4,3,4,7,0
SAL10048,Amaroo (NSW),0,0,0,8,4,12,0
SAL10049,Ambarvale,4,6,9,18,3,9,-1
SAL10050,Amosfield,0,8,4,3,4,7,0
SAL10051,Anabranch North,0,0,0,8,4,12,-1
SAL10052,Anabranch South,0,8,4,0,4,12,0
SAL10053,Anambah,0,0,0,8,4,12,0
SAL10054,Ando,0,0,0,8,4,12,0
SAL10055,Anembo,0,8,4,3,4,7,0
SAL10056,Angledale,0,8,4,3,4,7,0
SAL10057,Angledool,0,8,4,3,4,12,-1
SAL10058,Anglers Reach,0,8,4,3,4,7,0
SAL10059,Angourie,0,8,4,3,4,7,0
SAL10060,Angus,0,0,0,8,4,12,0
SAL10061,Anna Bay,4,6,9,18,3,14,-1
SAL10062,Annandale (NSW),3,4,1,2,0,0,-1
SAL10063,Annangrove,0,0,0,8,4,12,-1
SAL10064,Appin (NSW),0,0,0,18,4,12,-1
SAL10065,Apple Tree Flat,0,0,0,8,4,7,0
SAL10066,Appleby,0,0,0,8,4,12,0
SAL10067,Appletree Flat,0,0,0,8,4,12,-1
SAL10068,Apsley (NSW),0,8,4,3,4,7,0
SAL10069,Arable,0,0,0,8,4,12,-1
SAL10070,Arakoon,0,8,4,3,4,7,-1
SAL10071,Araluen (NSW),0,8,4,3,4,7,0
SAL10072,Aratula (NSW),0,8,4,0,4,12,-1
SAL10073,Arcadia (NSW),4,0,9,18,3,14,-1
SAL10074,Arcadia Vale,0,0,0,8,4,7,0
SAL10075,Ardglen,0,8,4,3,4,7,0
SAL10076,Arding,0,8,4,3,4,7,0
SAL10077,Ardlethan,0,8,4,3,4,7,0
SAL10078,Argalong,0,0,0,0,4,12,0
SAL10079,Argenton,0,8,4,3,4,7,0
SAL10080,Argents Hill,0,8,4,3,4,7,0
SAL10081,Argoon,0,0,0,0,4,12,0
SAL10082,Ariah Park,0,8,4,3,4,7,0
SAL10083,Arkell,0,8,4,3,4,7,0
SAL10084,Arkstone,0,0,0,0,4,19,0
SAL10085,Armatree,0,8,4,3,4,7,0
SAL10086,Armidale,3,2,14,17,5,2,-1
SAL10087,Arncliffe,1,5,10,13,1,5,-1
SAL10088,Arndell Park,0,0,0,8,4,12,-1
SAL10089,Arrawarra,0,8,4,3,4,7,0
SAL10090,Arrawarra Headland,0,0,0,8,4,7,0
SAL10091,Artarmon,1,4,1,19,1,11,-1
SAL10092,Arthurville,0,0,0,8,4,12,0
SAL10093,Arumpo,0,0,0,8,4,12,0
SAL10094,Ashbury,4,6,9,18,3,14,-1
SAL10095,Ashby (NSW),0,8,4,3,4,7,0
SAL10096,Ashby Heights,0,8,4,3,4,7,0
SAL10097,Ashby Island,0,8,4,3,4,7,0
SAL10098,Ashcroft,0,8,4,0,3,14,-1
SAL10099,Ashfield (NSW),3,9,8,2,5,2,-1
SAL10100,Ashford (NSW),0,8,4,3,4,7,0
SAL10101,Ashley,0,0,0,8,4,12,0
SAL10102,Ashmont,0,8,4,3,3,14,-1
SAL10103,Ashtonfield,4,6,9,18,3,14,-1
SAL10104,Asquith,4,5,10,15,3,9,-1
SAL10105,Atholwood,0,8,4,3,4,7,0
SAL10106,Attunga,0,8,4,3,4,7,0
SAL10107,Auburn (NSW),3,4,8,10,0,0,-1
SAL10108,Auburn Vale,0,0,0,8,4,7,0
SAL10109,Austinmer,4,6,9,1,1,16,-1
SAL10110,Austral,4,6,9,18,3,9,-1
SAL10111,Austral Eden,0,8,4,3,4,7,0
SAL10112,Avalon Beach,1,2,6,7,5,17,-1
SAL10113,Avisford,0,8,4,3,4,7,0
SAL10114,Avoca (NSW),0,0,0,8,4,12,0
SAL10115,Avoca Beach,4,6,9,1,3,9,-1
SAL10116,Avon (NSW),0,3,2,11,6,13,1
SAL10117,Avondale (NSW),0,0,0,8,3,14,0
SAL10118,Avonside,0,0,0,8,4,12,0
SAL10119,Awaba,0,0,0,8,4,12,0
SAL10120,Aylmerton,0,0,0,8,4,7,0
SAL10121,Baan Baa,0,8,4,3,4,7,0
SAL10122,Babinda (NSW),0,8,4,3,4,7,0
