SAL_CODE_2021,Suburb_Name,PCA_X,PCA_Y,PCA_Z,tSNE_X,tSNE_Y,UMAP_X,UMAP_Y,UMAP_Z
SAL10001,Aarons Pass,-2.277731924206415,0.2449216526180098,-0.36553571270568386,-60.1089,12.668241,-0.34175768,0.55675656,0.972263
SAL10002,Abbotsbury,3.171337213071385,-0.08964092487225192,2.60606101020704,57.734283,20.367847,-2.9104817,10.409817,-2.2378378
SAL10003,Abbotsford (NSW),11.61861582210681,3.1017372017983207,2.723799263572981,80.91604,-0.04145983,-5.3746986,17.286419,-3.4153674
SAL10004,Abercrombie,-0.5079431558384573,0.07690645987267027,1.5493814927556229,39.48617,21.292295,-2.5074878,7.9976273,-1.8435194
SAL10005,Abercrombie River,-2.258618048618641,0.19398506444540609,-0.9190925250074189,-11.49014,-59.308308,3.3810525,3.6733599,1.2381479
SAL10006,Aberdare,-1.1175830979168537,-0.590963264847417,-0.202460882288002,30.128197,-14.698064,-1.1418049,9.024742,-1.1399971
SAL10007,Aberdeen (NSW),-0.5313915106994808,-0.6824739501698793,0.07855979669164026,28.804237,-13.672302,-1.2540648,8.773102,-1.2308539
SAL10008,Aberfoyle,-2.051642456641658,0.21578040974766644,1.2255005343522312,-42.96155,44.247105,-2.181292,-0.0978684,-0.8211472
SAL10009,Aberglasslyn,4.548542390428543,-2.716546833566776,1.1683313425881574,82.68456,26.231865,-4.2373366,18.795408,-3.5261486
SAL10010,Abermain,-1.0262931268473692,-0.43880990710956697,0.3362067252921171,30.369453,-14.7248955,-1.2365323,8.813834,-1.2135401
SAL10011,Abernethy,-1.8704526001412125,0.12158802299888216,1.145735239765947,7.04477,37.28458,-2.473546,5.9209285,-2.4183934
SAL10012,Abington (NSW),-2.140472312968129,0.24515295075701451,0.9073366710825057,-28.903316,52.016464,-2.5334337,1.2175122,-0.49077106
SAL10013,Acacia Creek,-2.2464502867945635,0.15815154957709865,-0.8719377086469421,-7.243054,-50.7678,2.7850158,4.484728,0.66386575
SAL10014,Acacia Gardens,2.7473364143718366,-1.7269891153381707,3.0198451719575887,53.69378,12.748433,-2.7470207,11.011614,-1.881134
SAL10015,Adaminaby,-2.000444099308189,0.13394089226433956,-1.0111787811946533,-14.259375,-60.180473,3.3254483,3.6471305,1.163917
SAL10016,Adamstown,5.877534319430697,-2.505826166303292,1.5534592514214314,71.91477,-10.752626,-4.2904186,16.949766,-2.7279353
SAL10017,Adamstown Heights,8.35461835310321,2.6933744886476823,1.1420017421408069,97.20708,9.867807,-5.955886,17.179667,-3.6693819
SAL10018,Adelong,-1.84093358119595,-0.003552247458134197,-0.6870517875191434,20.00896,-30.353144,2.0225494,2.9739523,0.6770221
SAL10019,Adjungbilly,-2.1039447728627207,0.20888904507217992,0.9147037002437715,-44.57829,42.36404,-1.9149506,0.122907676,-0.92863107
SAL10020,Afterlee,-2.412253658811471,0.1945821525465568,-1.754583154041075,-67.66877,-18.161089,2.087774,-0.10368629,2.1075559
SAL10021,Agnes Banks,-1.1624748884278053,-0.07106722671290124,2.130150467355839,36.634933,41.941322,-3.137789,7.510728,-2.0393116
SAL10022,Airds,-0.9153975043864305,-0.3040746295244568,-0.7213702403522997,31.138966,-21.33687,-0.8019317,9.664989,-0.827078
SAL10023,Akolele,-2.2153766165074993,0.03961590836944056,-1.263136327281861,-36.026108,-32.740917,1.9926306,2.8267684,-0.19146918
SAL10024,Albert,-2.32230198773821,0.11208021984196595,-0.796580669160629,-66.72305,4.8229036,0.6016879,0.19713551,0.6788554
SAL10025,Albion Park,10.243573352077439,-3.597167216653493,0.4703112026880073,84.81919,23.843767,-4.5145087,18.60269,-3.4519892
SAL10026,Albion Park Rail,1.6765434749595278,-1.3919087434552393,0.04092858630854852,53.431545,-21.486673,-1.6920836,11.546975,-1.3117657
SAL10027,Albury,8.541219000724025,2.6215481571113224,0.17649184520507558,70.10773,7.034737,-5.0225344,16.676119,-3.280717
SAL10028,Aldavilla,-1.8245407354189205,-0.1755033378271043,-0.40367049108209657,23.249193,-21.719662,-0.5125275,8.131111,-0.83547133
SAL10029,Alectown,-2.1339937812292296,0.2089472806775671,0.13214335543442232,-17.760674,12.424585,-1.0669769,3.7666657,-0.295154
SAL10030,Alexandria,26.05861500074315,-10.077848060542706,3.110889755558961,97.077065,-11.14493,-5.5261846,18.480827,-3.7160256
SAL10031,Alfords Point,2.4031629475298084,0.22692406471557575,3.600799495134769,54.209076,20.373465,-3.0488994,10.213671,-2.2728775
SAL10032,Alfredtown,-1.9720630527527037,0.2803175909334895,1.8033092996524016,15.15169,49.40077,-3.2638898,6.031793,-1.7923781
SAL10033,Alice,-2.3972776047336093,0.08546717681794898,-0.9200443591006155,-72.91277,-1.4957154,1.3176142,-0.14989753,1.1118119
SAL10034,Alison (Central Coast - NSW),-1.8672060759312221,0.3341938374741317,1.9580657088353122,32.265766,47.253414,-3.2147913,6.8446436,-2.1318262
SAL10035,Alison (Dungog - NSW),-2.076852709203289,0.2938519173095916,0.18973852565735386,-22.872618,8.057096,-0.38554975,4.0551686,0.25016692
SAL10036,Allambie Heights,12.32884687342812,-1.1596005716040552,4.714750353542231,80.90028,-6.7837615,-5.1461596,17.734377,-3.3374481
