SAL_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,M_PGrad_Deg_15_24,M_PGrad_Deg_25_34,M_PGrad_Deg_35_44,M_PGrad_Deg_45_54,M_PGrad_Deg_55_64,M_PGrad_Deg_65_74,M_PGrad_Deg_75_84,M_PGrad_Deg_85ov,M_PGrad_Deg_Total,M_GradDip_and_GradCert_15_24,M_GradDip_and_GradCert_25_34,M_GradDip_and_GradCert_35_44,M_GradDip_and_GradCert_45_54,M_GradDip_and_GradCert_55_64,M_GradDip_and_GradCert_65_74,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,M_3000_3499_15_19_yrs,M_3000_3499_20_24_yrs,M_3000_3499_25_34_yrs,M_3000_3499_35_44_yrs,M_3000_3499_45_54_yrs,M_3000_3499_55_64_yrs,M_3000_3499_65_74_yrs,M_3000_3499_75_84_yrs,M_3000_3499_85ov,M_3000_3499_Tot,F_3000_3499_15_19_yrs,F_3000_3499_20_24_yrs,F_3000_3499_25_34_yrs,F_3000_3499_35_44_yrs,F_3000_3499_45_54_yrs,F_3000_3499_55_64_yrs,F_3000_3499_65_74_yrs,F_3000_3499_75_84_yrs,F_3000_3499_85ov,F_3000_3499_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,Suburb_Name
SAL10001,18,12,33,59,867,887,0,1687,0.6,1625,2.4,15,15,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Aarons Pass
SAL10002,2067,2129,4200,42,2216,846,550,2684,0.8,2621,3.3,1729,1818,3542,0,17,11,7,18,9,0,0,60,0,5,5,3,4,3,22,19,27,12,0,0,110,3,10,8,19,9,4,0,0,0,0,3,9,17,9,3,0,0,48,0,0,0,10,11,8,3,0,0,30,0,0,3,20,27,21,3,0,0,79,Abbotsbury
SAL10003,2560,2876,5431,47,3000,1179,550,2988,0.9,2263,2.3,2147,2486,4630,0,25,56,47,57,49,12,5,251,0,0,7,10,9,13,130,98,99,87,23,5,521,0,22,32,37,26,24,8,0,0,0,12,23,31,27,8,0,0,101,0,0,7,19,22,9,4,0,0,63,0,0,17,44,52,37,14,0,0,168,Abbotsford (NSW)
SAL10004,546,582,1127,39,1733,1029,393,2533,0.7,2202,2.8,423,460,880,0,0,3,11,0,0,4,0,15,0,4,4,0,4,0,10,16,13,0,4,0,44,0,4,11,9,3,7,0,0,0,0,0,0,6,3,0,0,0,13,0,0,0,0,3,0,0,0,0,3,0,0,0,0,9,7,0,0,0,15,Abercrombie
SAL10005,12,14,21,58,758,550,300,1624,0.7,1024,1.8,13,9,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Abercrombie River
SAL10006,1247,1295,2542,36,1421,640,303,1532,0.8,1251,2.5,975,1044,2018,0,0,0,4,0,0,0,0,8,0,0,0,0,3,0,3,0,0,0,0,0,17,0,4,0,3,3,0,0,0,0,0,5,5,5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,5,4,7,0,0,0,0,17,Aberdare
SAL10007,1049,1000,2051,41,1517,716,280,1917,0.7,1426,2.4,843,823,1670,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,4,5,7,0,0,0,16,3,0,5,0,4,4,0,0,0,0,6,9,11,4,0,0,0,33,0,0,0,0,0,0,0,0,0,6,0,0,12,14,11,5,0,0,0,40,Aberdeen (NSW)
SAL10008,64,53,121,37,150,1041,210,3083,0.8,2250,2.9,43,45,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aberfoyle
SAL10009,3156,3393,6552,32,1950,881,430,2257,0.8,2147,3.0,2326,2569,4897,0,13,9,8,13,4,0,0,41,0,0,4,10,8,3,31,14,23,4,3,0,98,4,15,11,18,19,11,0,0,0,3,20,30,21,20,0,0,0,95,0,0,3,3,9,0,0,0,0,18,0,3,19,34,26,19,0,0,0,110,Aberglasslyn
SAL10010,1311,1235,2544,37,1430,667,320,1771,0.9,1449,2.7,1007,962,1972,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,5,0,0,4,4,4,3,0,0,0,0,4,0,4,3,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,4,5,3,3,0,0,0,17,Abermain
