person_id,age,sex,weekly_income,education,occupation,suburb_code
10,27,M,3141,No qualification,Professional,SAL60682
88,25,F,8698,No qualification,Clerical/Administrative,SAL13394
94,28,M,5691,Postgraduate,Sales,SAL41464
129,26,F,3421,No qualification,Clerical/Administrative,SAL20099
238,22,M,7116,Year 12,Labourer,SAL13032
245,30,M,3611,No qualification,Community/Personal Service,SAL32193
257,21,M,3986,Year 12,Labourer,SAL30960
289,23,M,3187,Bachelor,Professional,SAL32558
301,25,F,6061,No qualification,Technician,SAL22724
307,24,M,6215,Year 12,Technician,SAL50086
365,28,M,3201,No qualification,Professional,SAL20664
375,20,F,5336,Certificate III/IV,Machinery Operator,SAL12325
469,24,F,3991,No qualification,Community/Personal Service,SAL11203
514,24,F,6154,Certificate III/IV,Sales,SAL13972
586,27,M,6409,Year 12,Not in labour force,SAL50201
625,26,F,4026,No qualification,Technician,SAL50482
700,25,M,3452,No qualification,Technician,SAL20304
712,25,F,3395,Certificate III/IV,Manager,SAL22720
718,29,F,4493,Bachelor,Technician,SAL30032
728,25,F,8159,Certificate III/IV,Technician,SAL32518
801,26,F,3759,No qualification,Technician,SAL30193
804,28,F,6882,Year 12,Community/Personal Service,SAL50847
930,25,M,5838,Year 12,Professional,SAL41185
935,26,M,3004,Bachelor,Sales,SAL20737
973,22,F,3919,Year 12,Sales,SAL80037
976,27,M,3730,Diploma,Machinery Operator,SAL11213
1034,26,F,4509,Certificate III/IV,Labourer,SAL11299
1059,29,M,5838,Year 12,Professional,SAL22391
1064,29,M,5333,Diploma,Professional,SAL14169
1068,27,M,7012,No qualification,Not in labour force,SAL11797
1075,26,F,3832,Postgraduate,Professional,SAL11384
1081,29,F,6162,Year 12,Labourer,SAL40411
1127,20,F,3526,No qualification,Not in labour force,SAL50960
1206,21,F,3808,Bachelor,Professional,SAL32107
1212,21,M,3658,Diploma,Technician,SAL22215
1317,30,M,4099,Bachelor,Technician,SAL22122
1338,29,F,3034,Year 12,Technician,SAL13126
1381,26,F,4043,No qualification,Sales,SAL30377
1394,29,M,3372,Certificate III/IV,Machinery Operator,SAL30091
1405,20,F,3288,Bachelor,Technician,SAL60320
1464,24,M,3280,No qualification,Manager,SAL10789
1471,23,F,4689,Diploma,Manager,SAL51359
1481,29,F,3087,Year 12,Sales,SAL20683
1490,25,F,4396,Certificate III/IV,Machinery Operator,SAL50816
1561,20,F,3434,Postgraduate,Technician,SAL30773
1569,25,M,3930,No qualification,Technician,SAL10371
1618,28,M,4308,No qualification,Technician,SAL13410
1632,23,F,5182,Postgraduate,Clerical/Administrative,SAL31785
1667,26,F,3808,Certificate III/IV,Professional,SAL11834
1675,30,M,3404,No qualification,Manager,SAL13455
1802,21,F,3523,Diploma,Professional,SAL20036
1823,23,F,5048,No qualification,Not in labour force,SAL20779
2088,27,F,6811,Postgraduate,Clerical/Administrative,SAL40582
2110,25,F,3191,Certificate III/IV,Professional,SAL22086
2155,23,M,3925,No qualification,Professional,SAL50472
2220,29,M,3039,Postgraduate,Technician,SAL30550
2221,23,F,4206,Diploma,Technician,SAL12907
2281,22,M,3064,Bachelor,Professional,SAL12861
2284,27,M,4296,Diploma,Sales,SAL60051
2400,21,F,5862,Bachelor,Clerical/Administrative,SAL20867
2483,20,M,3204,No qualification,Manager,SAL10814
2484,25,F,8605,Bachelor,Labourer,SAL21783
2486,29,M,5842,No qualification,Professional,SAL51156
2534,28,F,4717,Year 12,Technician,SAL51230
2591,27,F,3666,Year 12,Professional,SAL50583
2646,29,F,3709,Certificate III/IV,Manager,SAL41279
2682,30,F,4193,Bachelor,Labourer,SAL14115
2781,23,M,10000,Certificate III/IV,Manager,SAL20314
2798,29,M,3315,Diploma,Technician,SAL11743
2809,25,F,3593,No qualification,Clerical/Administrative,SAL32447
2855,26,M,3579,Year 12,Technician,SAL10231
2882,24,M,3728,No qualification,Manager,SAL12190
2910,25,M,8414,Bachelor,Labourer,SAL10046
2941,27,M,3432,Year 12,Sales,SAL20935
2962,25,F,3810,No qualification,Professional,SAL11346
3002,28,F,10000,Bachelor,Professional,SAL22198
3022,28,F,3538,No qualification,Professional,SAL41395
3031,22,F,6421,Postgraduate,Manager,SAL32914
3063,25,F,3334,No qualification,Clerical/Administrative,SAL12683
3117,20,F,5576,No qualification,Professional,SAL11717
3121,23,M,3765,Diploma,Clerical/Administrative,SAL32483
3153,29,F,3333,Year 12,Labourer,SAL51138
3218,21,F,4565,No qualification,Technician,SAL31496
3350,26,F,3942,Bachelor,Machinery Operator,SAL20315
3414,25,F,3626,Certificate III/IV,Professional,SAL13352
3485,26,M,3512,Diploma,Clerical/Administrative,SAL11990
3493,25,F,4403,Year 12,Manager,SAL22086
3504,26,F,5631,No qualification,Manager,SAL22027
3509,25,F,3014,Bachelor,Technician,SAL20640
3524,24,M,4851,No qualification,Manager,SAL10163
3601,21,M,4869,Certificate III/IV,Manager,SAL10767
3750,24,M,4055,No qualification,Not in labour force,SAL13747
3772,20,M,4477,Bachelor,Sales,SAL20018
3781,30,M,3613,Year 12,Community/Personal Service,SAL32318
3785,25,M,4253,Bachelor,Manager,SAL51588
3791,28,M,6309,Year 12,Manager,SAL51111
3831,25,F,3612,Diploma,Professional,SAL11553
3835,28,M,3451,Certificate III/IV,Professional,SAL20015
3840,23,F,3112,Year 12,Community/Personal Service,SAL80102
3900,25,F,9454,Bachelor,Technician,SAL51564
3,73,F,1672,Certificate III/IV,Sales,SAL22473
6,74,M,849,Year 12,Labourer,SAL22226
