SAL_CODE_2021,synthetic_population,avg_age_synthetic,median_income_synthetic,mode_education_synthetic
SAL10001,3,14.0,2477.0,Year 12
SAL10002,148,38.07432432432432,1250.0,No qualification
SAL10003,219,37.054794520547944,1334.0,Certificate III/IV
SAL10004,50,37.88,1476.5,Certificate III/IV
SAL10005,1,21.0,802.0,Year 12
SAL10006,105,40.08571428571429,1188.0,Certificate III/IV
SAL10007,99,39.98989898989899,1461.0,No qualification
SAL10008,4,63.25,2011.0,Bachelor
SAL10009,269,36.561338289962826,1272.0,No qualification
SAL10010,111,35.171171171171174,1328.0,No qualification
SAL10011,9,44.333333333333336,2022.0,No qualification
SAL10013,1,70.0,1199.0,Postgraduate
SAL10014,152,34.50657894736842,1525.5,No qualification
SAL10015,11,53.72727272727273,1518.0,No qualification
SAL10016,229,40.23580786026201,1289.0,Certificate III/IV
SAL10017,220,36.78181818181818,1223.5,No qualification
SAL10018,47,39.638297872340424,1495.0,Bachelor
SAL10019,7,38.285714285714285,1966.0,Certificate III/IV
SAL10021,39,32.743589743589745,1539.0,Certificate III/IV
SAL10022,127,36.86614173228347,1363.0,Year 12
SAL10023,8,32.25,1647.0,Certificate III/IV
SAL10024,3,39.666666666666664,570.0,Bachelor
SAL10025,556,38.25359712230216,1318.0,No qualification
SAL10026,278,39.21223021582734,1253.5,No qualification
SAL10027,216,36.63425925925926,1350.0,No qualification
SAL10028,54,42.574074074074076,1089.0,Certificate III/IV
SAL10029,9,43.44444444444444,1825.0,Certificate III/IV
SAL10030,391,39.076726342711,1346.0,No qualification
SAL10031,155,37.12258064516129,1301.0,Year 12
SAL10032,2,0.0,749.5,Certificate III/IV
SAL10034,8,35.375,1433.5,Certificate III/IV
SAL10035,4,22.0,1938.0,Certificate III/IV
SAL10036,278,38.15107913669065,1317.0,No qualification
SAL10037,3,51.333333333333336,1516.0,Certificate III/IV
SAL10038,193,37.487046632124354,1414.0,No qualification
SAL10039,2,33.0,1502.5,Postgraduate
SAL10040,9,40.22222222222222,1078.0,No qualification
SAL10041,7,36.285714285714285,1551.0,Bachelor
SAL10042,4,43.75,1576.5,Diploma
SAL10044,4,27.25,1550.0,Postgraduate
SAL10045,17,36.11764705882353,1261.0,No qualification
SAL10046,221,35.71945701357466,1196.0,No qualification
SAL10047,4,35.25,1805.5,Certificate III/IV
SAL10048,1,81.0,2241.0,Certificate III/IV
SAL10049,283,37.84452296819788,1162.0,No qualification
SAL10050,3,39.666666666666664,7483.0,Postgraduate
SAL10052,1,12.0,724.0,No qualification
SAL10053,5,51.0,1895.0,Bachelor
SAL10054,2,23.5,2250.0,Bachelor
SAL10055,3,38.333333333333336,624.0,Bachelor
SAL10056,10,40.7,1331.5,No qualification
SAL10057,2,59.5,616.5,Bachelor
SAL10058,3,46.666666666666664,1028.0,Bachelor
SAL10059,7,22.285714285714285,955.0,Bachelor
SAL10060,14,29.714285714285715,1105.5,Certificate III/IV
SAL10061,151,41.37748344370861,1441.0,Year 12
SAL10062,355,38.51830985915493,1262.0,Certificate III/IV
SAL10063,61,32.950819672131146,1404.0,Certificate III/IV
SAL10064,128,39.6796875,1163.5,Certificate III/IV
SAL10065,2,13.5,907.0,Diploma
SAL10066,1,42.0,1096.0,Bachelor
SAL10068,5,51.8,1367.0,No qualification
SAL10069,1,31.0,331.0,No qualification
SAL10070,18,36.44444444444444,1824.0,No qualification
SAL10071,6,36.5,1013.5,Certificate III/IV
SAL10073,47,39.702127659574465,1234.0,Certificate III/IV
SAL10074,55,39.43636363636364,1322.0,Certificate III/IV
SAL10075,4,39.0,2137.0,Bachelor
SAL10076,9,30.333333333333332,1235.0,No qualification
SAL10077,19,34.94736842105263,1574.0,No qualification
SAL10079,54,40.166666666666664,1366.0,Certificate III/IV
SAL10080,9,38.77777777777778,1523.0,Postgraduate
SAL10081,2,12.5,1955.0,Diploma
SAL10082,13,35.53846153846154,1605.0,Bachelor
SAL10083,1,10.0,2291.0,Certificate III/IV
SAL10084,1,58.0,559.0,Certificate III/IV
SAL10085,6,50.0,1129.5,Bachelor
SAL10086,929,37.582346609257264,1252.0,No qualification
SAL10087,454,38.215859030837,1332.5,No qualification
SAL10089,25,43.6,1210.0,No qualification
SAL10090,26,38.26923076923077,1230.5,Year 12
SAL10091,396,37.39393939393939,1330.5,No qualification
SAL10092,1,41.0,1566.0,Diploma
SAL10093,1,38.0,2074.0,Diploma
SAL10094,112,31.258928571428573,1315.5,Certificate III/IV
SAL10095,14,31.0,957.0,Certificate III/IV
SAL10096,5,30.8,1135.0,Bachelor
SAL10097,1,47.0,3028.0,Diploma
SAL10098,119,37.6890756302521,1204.0,No qualification
SAL10099,919,38.06311207834603,1338.0,No qualification
SAL10100,29,44.48275862068966,1434.0,Bachelor
SAL10101,13,36.30769230769231,1025.0,Year 12
SAL10102,143,38.08391608391609,1371.0,No qualification
SAL10103,191,37.61256544502618,1192.0,Year 12
SAL10104,226,38.23893805309734,1369.0,No qualification
SAL10105,4,41.0,2104.0,Certificate III/IV
