SAL_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,M_PGrad_Deg_15_24,M_PGrad_Deg_25_34,M_PGrad_Deg_35_44,M_PGrad_Deg_45_54,M_PGrad_Deg_55_64,M_PGrad_Deg_65_74,M_PGrad_Deg_75_84,M_PGrad_Deg_85ov,M_PGrad_Deg_Total,M_GradDip_and_GradCert_15_24,M_GradDip_and_GradCert_25_34,M_GradDip_and_GradCert_35_44,M_GradDip_and_GradCert_45_54,M_GradDip_and_GradCert_55_64,M_GradDip_and_GradCert_65_74,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,M_3000_3499_15_19_yrs,M_3000_3499_20_24_yrs,M_3000_3499_25_34_yrs,M_3000_3499_35_44_yrs,M_3000_3499_45_54_yrs,M_3000_3499_55_64_yrs,M_3000_3499_65_74_yrs,M_3000_3499_75_84_yrs,M_3000_3499_85ov,M_3000_3499_Tot,F_3000_3499_15_19_yrs,F_3000_3499_20_24_yrs,F_3000_3499_25_34_yrs,F_3000_3499_35_44_yrs,F_3000_3499_45_54_yrs,F_3000_3499_55_64_yrs,F_3000_3499_65_74_yrs,F_3000_3499_75_84_yrs,F_3000_3499_85ov,F_3000_3499_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,Suburb_Name,KMeans_10,anomaly_score,is_anomaly,age_zscore,income_zscore,population_zscore
SAL12749,13033,15294,28329,45,3870,1487,590,4502,0.9,2892,2.3,10707,13010,23719,3,200,369,491,398,257,178,28,1917,0,34,64,74,60,51,855,955,732,467,271,41,3823,7,94,145,193,176,144,63,8,0,4,80,137,124,98,56,41,9,537,0,0,62,137,128,111,38,29,12,525,0,4,139,272,259,201,96,68,21,1064,Mosman,1,-0.8285393103789711,True,0.10099941833725246,2.21549314189181,6.60804285749017
SAL21640,27362,27583,54941,29,1800,864,381,2083,1.0,1448,1.7,26218,26434,52648,275,2444,939,302,223,147,76,13,4419,33,188,142,60,43,28,1811,598,420,267,122,16,9201,107,482,288,152,108,88,34,0,0,11,192,239,108,70,30,10,0,663,3,10,89,112,62,47,18,7,0,353,9,26,284,351,174,118,46,12,0,1015,Melbourne,7,-0.8279789216171307,True,-1.1967297821134433,0.31247440289187833,13.200977157555782
SAL21013,21075,21569,42642,40,2500,707,480,2158,0.8,1918,2.8,17368,18191,35558,45,509,792,575,433,259,112,23,2741,8,42,74,70,94,86,1601,1002,700,365,163,30,5034,16,119,210,220,227,168,85,13,0,3,42,215,176,108,31,11,3,586,0,0,27,70,83,44,14,0,0,242,0,3,72,281,258,153,41,15,6,834,Glen Waverley,1,-0.8246245395654964,True,-0.30454095680358995,-0.16709853775497435,10.153987117103844
SAL21010,12565,13567,26131,40,2830,1179,450,3447,0.9,2491,2.5,10221,11391,21616,6,319,383,371,288,152,82,9,1605,3,35,67,95,109,62,840,734,498,261,118,18,3180,9,110,192,294,254,167,53,5,3,4,68,163,166,102,48,16,0,567,0,4,33,109,118,55,16,7,3,349,3,9,99,281,281,159,64,19,8,912,Glen Iris (Vic.),1,-0.82350943484316,True,-0.30454095680358995,1.2746748889030797,6.063503943032623
SAL22314,11881,13149,25028,33,2100,1395,415,3106,0.9,2063,1.7,11014,12253,23266,35,752,484,214,186,106,83,21,1881,7,116,78,53,30,36,1011,413,343,203,116,33,3941,28,336,190,123,102,102,26,9,0,5,190,132,66,55,27,15,3,502,0,4,97,102,67,44,22,5,5,348,0,13,291,238,131,97,53,24,3,853,South Yarra,1,-0.8218396044512026,True,-0.8722974820007693,1.9344695078821892,5.790243514166985
SAL20337,10956,12292,23252,48,3467,1259,600,3778,0.8,2710,2.4,9128,10502,19635,10,112,217,291,316,200,100,37,1287,6,19,45,82,60,58,458,619,550,336,150,45,2445,7,62,120,197,202,149,68,18,0,0,33,70,121,107,62,33,9,433,0,3,25,66,118,71,42,28,7,365,0,0,55,144,243,183,108,58,11,796,Brighton (Vic.),1,-0.8212837470855947,True,0.34432364342175786,1.5190432663027498,5.350252107398741
SAL21336,11774,12727,24499,41,3000,1120,476,3301,0.8,2497,2.5,9930,10865,20798,16,279,307,342,309,223,127,37,1641,3,44,60,100,82,40,649,714,576,362,187,58,3209,15,108,163,224,228,130,51,24,0,0,44,107,100,95,50,19,3,415,0,0,29,88,107,74,26,13,10,348,0,5,65,191,206,177,78,31,14,765,Kew (Vic.),1,-0.8212837470855947,True,-0.22343288177542145,1.094453210570823,5.659187515191534
SAL10846,19747,21128,40874,42,3000,931,560,2858,0.8,2551,3.0,15841,17361,33204,5,240,766,585,387,266,88,29,2359,0,33,67,95,72,61,1579,1039,646,385,134,36,4418,12,90,204,235,161,156,45,20,0,6,42,289,267,138,48,10,0,792,0,0,33,129,136,60,16,5,3,383,0,6,74,417,403,199,63,11,4,1176,Castle Hill (NSW),1,-0.8201731599749614,True,-0.14232480674725298,0.5171329189641021,9.71597765360933
SAL13325,13629,15312,28943,36,3000,1336,572,3255,1.0,2422,2.2,11448,13231,24679,15,421,474,361,212,145,61,19,1714,0,51,70,55,24,25,1082,763,453,254,103,31,3764,6,184,205,154,91,79,32,3,0,3,131,195,132,71,29,7,4,572,0,3,96,153,104,51,7,5,0,420,0,3,230,348,237,125,38,7,6,984,Randwick,1,-0.8162979184403182,True,-0.6289732569162638,1.7542478295499324,6.760157003749011
SAL21152,10774,11549,22322,34,2259,1207,400,3279,0.9,2145,2.1,9357,10220,19579,30,462,364,291,212,159,89,19,1630,0,78,62,73,56,39,786,565,397,292,122,32,3324,8,210,192,183,167,120,44,13,0,0,69,118,78,59,22,18,3,377,0,0,47,85,83,50,18,15,0,300,0,6,113,203,164,104,44,26,3,674,Hawthorn (Vic.),1,-0.8151940734538886,True,-0.7911894069726008,1.360203820992964,5.119851201827531
