LGA_CODE_2021,separate_house,semi_attached,flat_apartment,other_dwelling,total_dwellings,pct_separate,pct_semi_attached,pct_apartment,pct_other,pct_low_density,pct_medium_density,pct_high_density,median_age,pct_age_55_plus,total_population,median_personal_income,median_household_income,median_family_income,tertiary_qualified,total_qualified,pct_tertiary,urban_proximity_score,subdivision_potential_score,high_subdivision_potential,luxury_apartment_demand_score,high_luxury_demand,downsizing_wave_score,high_downsizing_potential,transform_prob_5yr,transform_prob_10yr,transform_prob_15yr,redevelopment_readiness_score,readiness_percentile,readiness_category
LGA51860,122,0,0,0,146,83.56,0.0,0.0,0.0,83.56,0.0,0.0,40,35.08,593,741,2519,1678,29,249,11.65,7.79,44.3,False,66.86,False,94.02,True,39.04,62.83,77.34,55.07,26.73,Medium
LGA56930,404,54,61,0,595,67.9,9.08,10.25,0.0,67.9,9.08,10.25,42,34.44,1597,1501,4565,5012,604,881,68.56,20.18,50.07,False,89.63,True,93.54,True,43.01,67.52,81.49,64.85,45.45,High
LGA56580,6202,917,474,0,8218,75.47,11.16,5.77,0.0,75.47,11.16,5.77,43,33.6,22132,1178,3226,4244,9681,13617,71.09,62.3,84.92,True,94.04,True,93.44,True,49.17,74.16,86.86,84.81,90.0,Very High
LGA40120,13939,364,178,24,15736,88.58,2.31,1.13,0.15,88.58,2.31,1.13,44,34.97,40879,892,2067,2416,10810,23073,46.85,73.81,89.52,True,90.82,True,91.36,True,49.26,74.26,86.94,87.16,95.27,Very High
LGA18350,18252,1288,464,146,22436,81.35,5.74,2.07,0.65,81.35,5.74,2.07,48,41.61,52709,794,1673,2096,10841,29558,36.68,76.99,90.8,True,81.76,True,91.35,True,48.41,73.39,86.27,85.92,92.0,Very High
LGA58540,276,3,0,5,344,80.23,0.87,0.0,1.45,80.23,0.87,0.0,48,40.27,802,963,1653,2200,46,344,13.37,10.8,45.92,False,58.15,False,90.95,True,37.7,61.19,75.82,53.21,23.82,Medium
LGA14400,6555,1230,756,52,10317,63.54,11.92,7.33,0.5,63.54,11.92,7.33,48,42.51,23074,827,1834,2202,5646,13846,40.78,63.36,81.65,False,80.03,True,90.86,True,46.71,71.6,84.87,79.89,79.82,Very High
LGA55320,29265,7179,2067,4,41861,69.91,17.15,4.94,0.01,69.91,17.15,4.94,42,33.58,103523,909,2096,2654,31473,59574,52.83,86.37,94.5,False,88.37,True,90.36,True,49.62,74.62,87.22,90.31,99.45,Very High
LGA25710,19557,726,609,9,21915,89.24,3.31,2.78,0.04,89.24,3.31,2.78,42,31.34,62895,962,2476,2772,15895,34599,45.94,79.65,91.86,True,91.64,True,90.12,True,49.57,74.57,87.17,88.93,98.0,Very High
LGA58680,182,0,0,0,214,85.05,0.0,0.0,0.0,85.05,0.0,0.0,49,38.5,535,824,1687,2100,18,258,6.98,6.99,43.87,False,56.45,False,90.11,True,36.96,60.26,74.95,51.2,20.73,Medium
LGA51680,1902,3,15,0,2239,84.95,0.13,0.67,0.0,84.95,0.13,0.67,44,33.83,5930,798,2044,2258,516,2892,17.84,36.99,66.66,False,68.67,False,89.95,True,42.7,67.17,81.19,67.05,50.36,High
LGA18710,5594,201,86,11,6460,86.59,3.11,1.33,0.17,86.59,3.11,1.33,43,31.67,17281,1050,2289,2701,3695,9120,40.52,57.88,83.15,False,91.24,True,89.81,True,48.15,73.12,86.06,81.78,83.91,Very High
LGA10900,28125,1339,943,47,34093,82.49,3.93,2.77,0.14,82.49,3.93,2.77,45,36.79,78121,817,1756,2235,20359,45722,44.53,82.65,93.06,True,84.16,True,89.41,True,48.81,73.8,86.59,87.84,96.73,Very High
LGA56090,12989,502,22,22,14516,89.48,3.46,0.15,0.15,89.48,3.46,0.15,44,34.39,39166,817,1907,2270,6142,19721,31.14,72.04,88.82,True,85.48,True,89.24,True,48.29,73.26,86.18,84.73,89.82,Very High
LGA24130,16880,1000,56,102,19699,85.69,5.08,0.28,0.52,85.69,5.08,0.28,43,32.73,51458,865,2059,2403,10685,27195,39.29,76.81,90.72,True,89.81,True,89.07,True,49.07,74.06,86.79,87.3,95.82,Very High
LGA54170,50982,4900,1483,120,60810,83.84,8.06,2.44,0.2,83.84,8.06,2.44,41,31.54,160003,906,2165,2528,34003,86272,39.41,92.39,96.96,True,89.01,True,88.99,True,49.91,74.91,87.43,92.07,100.0,Very High
