rank,SA1_CODE_2021,state,total_population,gentrification_risk_score,gentrification_risk_percentile,cbd_proximity_score,coastal_score,school_access_score,public_transport_score,parks_score,composite_amenity_index,amenity_percentile,amenity_category,premium_opportunity_score,premium_percentile
20,30501111030,QLD,256,96.04440016473386,99.96927753702866,70.0,79.19182123085626,39.48798034985229,24.648792302478217,23.75754636925688,47.002199285606984,76.42364286308089,High,71.52329972517042,99.99667470280156
22,30501110532,QLD,480,95.70532306396848,99.96604359355798,70.0,79.19182123085626,40.07122249145285,24.787251806173227,23.75754636925688,47.15346258985085,77.43453321140576,High,71.42939282690966,99.99501205420235
26,30501110522,QLD,727,95.4242139803019,99.95957570661665,70.0,79.19182123085626,39.73866454509245,25.271240101178766,23.75754636925688,47.20794807433015,77.84520741541276,High,71.31608102731602,99.98836145980547
34,30501111035,QLD,1444,94.71501611157036,99.94663993273396,70.0,79.19182123085626,40.52336910412587,24.80957065154496,23.75754636925688,47.24947162372838,78.11954443428381,High,70.98224386764937,99.97672291961094
40,30908155908,QLD,622,94.3654934577446,99.93693810232196,69.85985985985985,78.36949933325252,40.02072046669102,24.566264985371568,23.510849799975755,46.8927276746303,75.62058358965832,High,70.62911056618745,99.96840967661484
42,20604111747,VIC,638,94.1485350545898,99.9337041588513,70.0,63.98371519780176,40.11603443754771,27.69138823218212,19.195114559340528,44.92287840912641,60.48216809377338,High,69.53570673185811,99.93848200182892
47,30504113729,QLD,367,93.91946588038968,99.92561930017465,70.0,79.1857598900877,39.19117259435058,25.72939639922628,23.755727967026306,47.21180679724379,77.86848449580181,High,70.56563633881673,99.96674702801562
49,20604111733,VIC,420,93.7905851220363,99.92238535670396,70.0,63.98371519780176,39.91071148803399,27.64055086216873,19.195114559340528,44.869104476720324,60.04987945797655,High,69.32984479937832,99.92351816443595
59,30403109604,QLD,402,93.34874959733948,99.90621563935062,69.92992992992993,79.38982502929647,40.048570733893186,25.948519270009836,23.816947508788942,47.46034232747639,79.52947044642114,High,70.40454596240794,99.96342173081719
62,50301103504,WA,494,93.13743407879174,99.90136472414464,70.0,69.59591061542814,40.02595855876789,26.871997288673597,20.87877318462844,45.794393603930466,67.35888270014132,High,69.4659138413611,99.93016875883282
67,50301103507,WA,319,92.26030136116918,99.89327986546796,70.0,69.59591061542814,39.90234290669499,27.943508522492436,20.87877318462844,46.037548281970594,69.23933826585751,High,69.14892482156989,99.91686757003907
68,20604150421,VIC,756,92.01423878955896,99.89166289373262,70.0,63.98371519780176,40.16470305705845,29.478549109726057,19.195114559340528,45.379402352414544,64.18987447003076,High,68.69682057098674,99.88527724665393
70,21205156708,VIC,221,91.92880370453338,99.88842895026195,69.71971971971972,62.76942659716329,39.909833380356496,29.203760152435073,18.830827979148985,44.952874830556844,60.72990273505695,High,68.44083926754512,99.87363870645939
71,20604150318,VIC,464,91.88194862368807,99.8868119785266,70.0,63.98371519780176,40.000471205231186,29.544885677914262,19.195114559340528,45.36314012409614,64.07016377088702,High,68.62254437389211,99.88028930085626
75,30503112619,QLD,321,91.64788472873369,99.88034409158529,70.0,79.18778033701055,39.61805275168454,24.642385967232627,23.756334101103164,47.02582420786212,76.5682932912129,High,69.3368544682979,99.92518081303517
77,31202135614,QLD,7,91.48530398706929,99.8771101481146,69.64964964964965,77.77548793793187,39.89836912902048,27.766742034245794,23.33264638137956,47.49999189467467,79.8121207082883,High,69.49264794087198,99.93349405603126
78,20701152005,VIC,256,91.44073489701049,99.87549317637928,70.0,63.7877318462844,39.900898994257645,29.148312860614677,19.13631955388532,45.20586572403066,62.834815861667636,High,68.32330031052058,99.87197605786017
83,20604150406,VIC,980,90.9532265018155,99.8674083177026,70.0,63.98371519780176,40.38846698974342,30.209904607601633,19.195114559340528,45.60699401342043,65.93565549921024,High,68.28011025761796,99.86865076066174
85,30501111013,QLD,811,90.83382078993908,99.86417437423194,70.0,79.19182123085626,38.940974798353636,26.75420338254501,23.75754636925688,47.41915094532395,79.23684429295868,High,69.12648586763152,99.91354227284064
87,20604150420,VIC,636,90.61307460382707,99.86094043076127,70.0,63.98371519780176,39.72352305241146,30.003868599864433,19.195114559340528,45.42249622401974,64.50078975808464,High,68.0177854139234,99.86200016626486
88,20804119556,VIC,287,90.5693225978705,99.85932345902594,70.0,63.57962581322988,39.761836118763895,30.112982955015127,19.073887743968964,45.37863999608639,64.1848865242331,High,67.97398129697845,99.8570122204672
94,30302105805,QLD,912,90.38225249612442,99.84962162861392,69.85985985985985,79.59389016850527,39.864137418262686,24.8725291413059,23.87816705055158,47.176733316802505,77.60578601712528,High,68.77949290646346,99.89359048965001
98,31701144804,QLD,105,90.24977537062551,99.8431537416726,69.29929929929929,76.76728492342505,39.97186912902048,24.365522357710756,23.030185477027516,46.380199800124494,71.84138332363455,High,68.31498758537501,99.87031340926096
99,20604150430,VIC,398,90.21932999400045,99.84153676993726,70.0,63.98371519780176,39.81388487071397,29.81291847835072,19.195114559340528,45.39283105730181,64.27633219719013,High,67.80608052565113,99.8470363288719
101,20604150433,VIC,286,90.10760611594462,99.8383028264666,70.0,63.98371519780176,38.2365400305374,29.334096582736787,19.195114559340528,44.957656615363014,60.75983040984288,High,67.53263136565381,99.83373514007813
102,20604150405,VIC,501,90.07156169449121,99.83668585473126,70.0,63.98371519780176,39.31723106349786,30.177459619422354,19.195114559340528,45.3846355811265,64.22479009061435,High,67.72809863780886,99.84371103167345
104,30303106522,QLD,380,90.03864501533913,99.8334519112606,69.85985985985985,79.59186972158241,39.62711836558569,24.804126013361053,23.877560916474724,47.11183473713093,77.1236179233519,High,68.57523987623503,99.87862665225704
108,11703164614,NSW,350,89.79934216646846,99.82698402431926,69.08908908908909,66.76493766291499,39.039012762638166,29.89108578878281,20.029481298874497,45.57200911626403,65.67794496633137,High,67.68567564136625,99.84204838307423
113,20604111749,VIC,421,89.46243666673169,99.81889916564258,70.0,63.98371519780176,39.99643509974442,31.253103972754477,19.195114559340528,45.789387476708846,67.32230443095851,High,67.62591207172026,99.8387230858758
114,20604150413,VIC,585,89.44127364795949,99.81728219390725,70.0,63.98371519780176,39.77887679656122,29.301858250533172,19.195114559340528,45.25806438551688,63.28871892925431,High,67.34966901673819,99.8204339512844
119,31601141630,QLD,319,89.19207270194629,99.80919733523058,69.36936936936937,76.96932961571099,39.884086857304084,24.487795158724445,23.090798884713298,46.450127778547916,72.39837060437276,High,67.8211002402471,99.8486989774711
122,20604150519,VIC,49,88.99977680532271,99.8043464200246,70.0,63.98371519780176,39.92986912902048,31.572387455155653,19.195114559340528,45.85589515316435,67.8410507939147,High,67.42783597924353,99.82375924848283
123,11802156420,NSW,413,88.87379765600812,99.80272944828924,69.01901901901901,66.56489320859181,39.70198951936801,29.73512806373586,19.969467962577543,45.609088850237725,65.95228198520243,High,67.24144325312292,99.81544600548673
124,11703133133,NSW,548,88.86534478771785,99.80111247655393,69.08908908908909,66.76493766291499,38.53693354798022,27.705078878206983,20.029481298874497,44.92509154568848,60.502119876964,High,66.89521816670316,99.79715687089534
125,30403109602,QLD,304,88.74613231302918,99.79949550481858,69.92992992992993,79.38982502929647,39.97706230291765,24.798892077389933,23.816947508788942,47.1586338431263,77.46612353479092,High,67.95238307807774,99.85534957186799
128,11802156501,NSW,324,88.58279324897113,99.79464458961256,69.01901901901901,66.56489320859181,39.02283204434561,28.300728936650703,19.969467962577543,45.114657573461955,62.08496134342006,High,66.84872541121655,99.79216892509768
129,20604150429,VIC,172,88.53453511758781,99.79302761787724,70.0,63.98371519780176,38.55931168055233,30.55584671086349,19.195114559340528,45.32764847739767,63.827417075401115,High,66.93109179749274,99.802144816693
130,20604150317,VIC,146,88.45014264632569,99.79141064614193,70.0,63.98371519780176,39.009158113984135,30.624043182832676,19.195114559340528,45.434666882076336,64.59722337683931,High,66.94240476420102,99.80547011389143
