rank,SA1_CODE_2021,state,total_population,gentrification_risk_score,gentrification_risk_percentile,cbd_proximity_score,coastal_score,school_access_score,public_transport_score,parks_score,composite_amenity_index,amenity_percentile,amenity_category,premium_opportunity_score,premium_percentile
14,40101100156,SA,229,97.01514357652482,99.97897936744066,70.0,50.0,39.87633392803798,24.53513151586291,15.0,41.35904966457332,31.02003491562058,Low,69.18709662054907,99.92185551583674
16,40101100159,SA,332,96.86433404337517,99.97574542396998,70.0,50.0,38.99962236532015,24.67999735480351,15.0,41.21992381176491,29.926012137334773,Low,69.04212892757003,99.90522902984455
19,40101100146,SA,354,96.1825306798888,99.970894508764,70.0,50.0,39.16250268861819,24.74116752360011,15.0,41.26779241862367,30.305096017956608,Low,68.72516154925623,99.89026519245158
21,40101100153,SA,235,95.765887422244,99.96766056529331,70.0,50.0,39.68864751717729,24.53595813976557,15.0,41.32171903837685,30.72740876215812,Low,68.54380323031043,99.87696400365783
23,40101100160,SA,414,95.60077228602935,99.96442662182264,70.0,50.0,39.79236012546885,26.525848529436075,15.0,41.83993415745279,34.98378917615762,Low,68.72035322174108,99.88860254385236
30,40101100139,SA,301,95.04394136981318,99.95310781967532,70.0,50.0,37.81661533674113,24.619240497958238,15.0,40.96813319183779,28.070496300606866,Low,68.00603728082548,99.85867486906642
46,40101100161,SA,544,93.9225941065631,99.92723627190998,70.0,50.0,37.688844425266375,24.697769768710632,15.0,40.96221132723093,28.028930085626403,Low,67.44240271689702,99.82542189708205
61,40101100157,SA,189,93.32882585725795,99.90298169587996,70.0,50.0,38.32411133700668,27.00363714517169,15.0,41.66573155369426,33.49239338265858,Low,67.4972787054761,99.83207249147893
65,40101100149,SA,433,92.81226654238776,99.89651380893862,70.0,50.0,39.50986634082385,27.745738753781804,15.0,42.08840795661022,37.068750519577684,Low,67.45033724949899,99.82708454568126
73,40101100152,SA,723,91.72716569063635,99.88357803505596,70.0,50.0,39.187983063365095,28.131772116322516,15.0,42.120539641753645,37.356388727242496,Low,66.923852666195,99.80048216809378
91,40101100135,SA,390,90.46591325814138,99.85447254381994,70.0,50.0,37.72238017393036,27.418395688329724,15.0,41.6490749568685,33.35273090032422,Low,66.05749410750494,99.73065092692659
96,40101100155,SA,712,90.3131558370292,99.84638768514328,70.0,50.0,36.66172596010224,26.613264007142032,15.0,41.23566119380595,30.03408429628398,Low,65.77440851541758,99.70903649513674
116,40101100147,SA,1014,89.35528876591334,99.81404825043658,70.0,50.0,37.65232460915458,28.079901466430805,15.0,41.80044028843862,34.637958267520155,Low,65.57786452717599,99.69241000914457
118,40101100154,SA,237,89.26244060072331,99.81081430696592,70.0,50.0,38.820827637999145,29.583323689387804,15.0,42.40999644994678,39.792168925097684,Low,65.83621852533504,99.71901238673206
147,40101100158,SA,647,87.3524354115085,99.76392212664122,70.0,50.0,36.63023622498092,28.855068031147187,15.0,41.78981425278298,34.54817524316236,Low,64.57112483214574,99.59930168758832
187,40303106604,SA,600,85.74960909525065,99.69924325722786,69.92992992992993,50.0,39.536865602283676,24.57446368781862,15.0,41.283471524893876,30.456397040485495,Low,63.51654031007226,99.47626569124616
200,40101100119,SA,635,85.24801462398122,99.67822262466852,70.0,50.0,37.457363287084675,29.851149833848595,15.0,42.20426011587908,38.03474935572367,Low,63.72613736993015,99.50951866323052
208,70102101307,NT,406,84.78467323414813,99.66528685078583,70.0,45.0,40.02103334218475,29.182204440623607,13.5,41.57475777859285,32.769141241998504,Low,63.179715506370485,99.4263862332696
289,40303106602,SA,500,81.86018650333229,99.5343121402238,69.92992992992993,50.0,35.52685713811531,28.4430635522523,15.0,41.44861979816862,31.748275002078312,Low,61.654403150750454,99.07057943303683
