rank,SA1_CODE_2021,state,total_population,gentrification_risk_score,gentrification_risk_percentile,cbd_proximity_score,coastal_score,school_access_score,public_transport_score,parks_score,composite_amenity_index,amenity_percentile,amenity_category,premium_opportunity_score,premium_percentile
1,12102157701,NSW,3,99.22558164722548,100.0,68.8088088088088,65.95869789246095,39.89536912902048,24.244068088125488,19.787609367738284,44.10423913906756,53.595477595810124,Moderate,71.66491039314653,99.99833735140078
2,20604111737,VIC,1153,98.49716666290418,99.99838302826468,70.0,63.98371519780176,40.56535078998905,24.63163985649809,19.195114559340528,44.24780458569367,54.840801396624826,Moderate,71.37248562429892,99.99334940560313
3,20604111734,VIC,430,98.25052365839976,99.99676605652932,70.0,63.98371519780176,40.0984484847479,24.625026865276837,19.195114559340528,44.15277087684012,54.06101920359132,Moderate,71.20164726761993,99.98669881120625
4,11703163916,NSW,750,98.18982951318374,99.995149084794,69.08908908908909,66.76493766291499,40.21264770803599,24.534356243591283,20.029481298874497,44.4675537190457,56.6397871809793,Moderate,71.32869161611472,99.99002410840468
5,20604150414,VIC,1329,98.0803067415578,99.99353211305866,70.0,63.98371519780176,40.621007310717964,24.796138013126786,19.195114559340528,44.30006042899663,55.27309003242165,Moderate,71.19018358527723,99.98503616260703
6,11703164015,NSW,114,97.9832942290343,99.99191514132332,69.08908908908909,66.76493766291499,39.840537009991046,24.21589938509276,20.029481298874497,44.31351736481209,55.391138082966165,Moderate,71.1484057969232,99.98337351400781
7,20604111736,VIC,211,97.96550928138984,99.990298169588,70.0,63.98371519780176,39.79678022205995,24.74116752360011,19.195114559340528,44.12147238888336,53.76174245573198,Moderate,71.0434908351366,99.98171086540859
8,20604150418,VIC,405,97.96428768669487,99.98868119785266,70.0,63.98371519780176,39.691010596806855,24.724841701522642,19.195114559340528,44.09623700831337,53.532296949039825,Moderate,71.03026234750412,99.98004821680938
9,20604150614,VIC,44,97.90740087429828,99.98706422611733,70.0,63.98371519780176,39.926119129020485,24.538644667449205,19.195114559340528,44.09670945623774,53.5389475434367,Moderate,71.002055165268,99.97838556821016
10,20604111748,VIC,147,97.51670948550084,99.985447254382,70.0,63.98371519780176,39.87657256779633,24.589068725511268,19.195114559340528,44.09940615850843,53.55391138082967,Moderate,70.80805782200463,99.9733976224125
12,20604150401,VIC,644,97.24192878828713,99.98221331091132,70.0,63.98371519780176,40.132483851694495,25.657066807743814,19.195114559340528,44.41758793584619,56.262365948956685,Moderate,70.82975836206666,99.97506027101171
13,20604150408,VIC,819,97.2072891934625,99.980596339176,70.0,63.98371519780176,40.296926668768876,25.41093954072776,19.195114559340528,44.38894468250705,56.03624573946296,Moderate,70.79811693798477,99.97173497381328
15,11703164611,NSW,147,96.97760468277946,99.97736239570531,69.08908908908909,66.76493766291499,40.003369129020484,24.26673675510615,20.029481298874497,44.358793131121324,55.76523401779034,Moderate,70.6681989069504,99.97007232521406
17,12602150024,NSW,400,96.74135676319833,99.97412845223464,68.45845845845845,64.94837236557619,40.08026355096757,24.215267278454405,19.484511709672855,43.84941675570908,51.54875717017209,Moderate,70.2953867594537,99.96175908221797
18,20604111708,VIC,631,96.37613687260264,99.97251148049932,70.0,63.98371519780176,40.17916164072095,24.58328235819267,19.195114559340528,44.158477381263694,54.10258541857178,Moderate,70.26730712693316,99.96009643361874
24,20604111743,VIC,957,95.48574529001851,99.96280965008732,70.0,63.98371519780176,40.078456343147344,26.67588076776828,19.195114559340528,44.66148592414288,58.28082134840802,Moderate,70.0736156070807,99.95843378501954
25,20604150404,VIC,743,95.44200354775808,99.96119267835198,70.0,63.98371519780176,39.97106485046636,26.566146444690595,19.195114559340528,44.61257404483726,57.86848449580181,Moderate,70.02728879629767,99.95677113642031
27,20604150411,VIC,692,95.34825473899176,99.95795873488132,70.0,63.98371519780176,39.58030713313639,26.373129763420238,19.195114559340528,44.486168331053676,56.787762906309744,Moderate,69.91721153502272,99.95344583922187
28,11703163806,NSW,253,95.3438009870314,99.956341763146,69.08908908908909,66.76493766291499,40.08286912902048,24.2739697142544,20.029481298874497,44.376501370908386,55.91819768891845,Moderate,69.86015117896989,99.95178319062266
29,20604111719,VIC,434,95.12038271399766,99.95472479141064,70.0,63.98371519780176,39.94710188535201,27.30742142939805,19.195114559340528,44.79310019799126,59.39147061268601,Moderate,69.95674145599446,99.9551084878211
31,21205156723,VIC,250,94.98432748207954,99.95149084793998,69.71971971971972,62.76942659716329,39.79018197961961,27.320297590231625,18.830827979148985,44.4580789098586,56.569955939812125,Moderate,69.72120319596907,99.946795244825
32,20604150426,VIC,518,94.93194941777872,99.94987387620463,70.0,63.98371519780176,39.82953296046736,27.04951477176914,19.195114559340528,44.7051097486071,58.63330285144235,Moderate,69.81852958319291,99.94845789342422
33,20703116357,VIC,767,94.76577303164969,99.94825690446932,70.0,63.783690952438675,39.80318507484981,26.811653743779654,19.135107285731603,44.60137018664042,57.7687255798487,Moderate,69.68357160914505,99.94513259622579
35,20604150316,VIC,438,94.7018562202316,99.94502296099864,70.0,63.98371519780176,38.83913829787234,26.133822143601105,19.195114559340528,44.278107659046086,55.09684928090448,Moderate,69.48998193963885,99.93183140743204
36,11703164612,NSW,408,94.6588031066961,99.94340598926333,69.08908908908909,66.76493766291499,39.67068948119626,25.718081672195776,20.029481298874497,44.655093430828884,58.20932745864161,Moderate,69.65694826876249,99.94014465042812
37,11802156418,NSW,1206,94.57981758494203,99.94178901752797,69.01901901901901,66.56489320859181,40.666839429747405,24.209560586426687,19.969467962577543,44.42066696298631,56.292293623742616,Moderate,69.50024227396418,99.93515670463047
38,20604150410,VIC,272,94.52565449484094,99.94017204579264,70.0,63.98371519780176,39.903273077306075,27.373757997586257,19.195114559340528,44.80091857842912,59.43968742206335,Moderate,69.66328653663503,99.94346994762657
