rank,SA1_CODE_2021,state,total_population,gentrification_risk_score,gentrification_risk_percentile,cbd_proximity_score,coastal_score,school_access_score,public_transport_score,parks_score,composite_amenity_index,amenity_percentile,amenity_category,premium_opportunity_score,premium_percentile
11,60105102722,TAS,433,97.35660718504066,99.98383028264666,70.0,89.99191821230856,40.085761717064436,24.633913072230396,26.997575463692566,49.22405466287066,90.42813201429878,Very High,73.29033092395565,100.0
54,60201103607,TAS,315,93.55608949580376,99.9143004980273,70.0,89.79795530771406,39.97834181133203,24.67441764346058,26.939386592314218,49.17487405813579,90.09227699725663,Very High,71.36548177696977,99.9916867570039
58,30302105817,QLD,226,93.38925269263686,99.90783261108596,69.85985985985985,79.59389016850527,39.666628821323066,26.913670212941128,23.87816705055158,47.64751686532339,80.83631224540694,Very High,70.51838477898012,99.96508437941641
69,30403109606,QLD,455,91.94485573641924,99.89004592199728,69.92992992992993,79.38982502929647,40.05711948584327,27.089673567627507,23.816947508788942,47.74734065227082,81.52631141408263,Very High,69.84609819434503,99.95012054202344
82,30504113726,QLD,199,91.03198750850127,99.86902528943794,70.0,79.1857598900877,39.601236590101905,29.687271645146893,23.755727967026306,48.2832884078742,84.76847618255881,Very High,69.65763795818773,99.94180729902735
92,31701144609,QLD,450,90.4053008420718,99.8528555720846,69.29929929929929,76.76728492342505,40.022168237793345,30.519943968966068,23.030185477027516,47.9288650246929,82.63862332695984,Very High,69.16708293338235,99.9185302186383
93,30403109601,QLD,612,90.39198640203068,99.85123860034926,69.92992992992993,79.38982502929647,39.63780970557972,28.029958256899583,23.816947508788942,47.898549868536136,82.48565965583174,Very High,69.1452681352834,99.91520492143985
97,30403109605,QLD,498,90.29678888004769,99.84477071340793,69.92992992992993,79.38982502929647,40.14845270023567,28.32216980648875,23.816947508788942,48.07373135486461,83.54642946213318,Very High,69.18526011745615,99.92019286723752
100,30503112628,QLD,507,90.1955488839084,99.83991979820192,70.0,79.18778033701055,39.114939813124444,28.79245127052094,23.756334101103164,47.96271794597218,82.86141823925513,Very High,69.07913341494029,99.90855432704298
112,30503112621,QLD,175,89.48603897355831,99.82051613737792,70.0,79.18778033701055,39.667546345470846,28.52235191032784,23.756334101103164,48.00571441239319,83.11746612353478,Very High,68.74587669297574,99.8919278410508
138,30403109607,QLD,319,88.19021388542421,99.77847487225924,69.92992992992993,79.38982502929647,39.07683754605503,28.241987287931043,23.816947508788942,47.83936269438906,82.1049131266107,Very High,68.01478828990663,99.86033751766564
141,60105103217,TAS,411,87.84587440478823,99.77362395705325,70.0,89.99191821230856,39.70048951936801,29.478549109726057,26.997575463692566,50.35815923270528,96.72624490813867,Very High,69.10201681874676,99.9102169756422
152,60201104114,TAS,642,87.2316537045016,99.75583726796457,70.0,89.79795530771406,36.917255302552526,26.228470580455305,26.939386592314218,48.95116999062857,88.76049546928256,Very High,68.09141184756508,99.86366281486407
163,60105102908,TAS,332,86.7168529581077,99.73805057887589,70.0,89.99191821230856,39.93300438145186,24.58431563807099,26.997575463692566,49.18110383720829,90.1338432122371,Very High,67.948978397658,99.85368692326877
