rank,SA1_CODE_2021,gentrification_risk_score,gentrification_risk_percentile,risk_category,total_population,median_personal_income,median_household_income,median_rent_weekly,income_percentile,education_percentile,pct_year12,pct_tertiary,edu_income_mismatch,pct_young_professionals,pct_age_20_24,pct_overseas_born,pct_non_english,avg_household_size,rental_stress,income_component,education_component,youth_component,mismatch_component,diversity_component,density_component
1,12102157701,99.22558164722547,100.0,Very High,3,350,1625,120,2.530560765797814,99.72539324351231,100.0,0.0,98.46034468675978,133.33333333333331,0.0,133.33333333333331,0.0,1.0,0,1.539655313240219,100.0,99.98752795816047,98.46034468675978,97.67579017319433,100.0
2,20604111737,98.49716666290418,99.99838302826467,Very High,1153,323,522,413,2.4036284845740896,99.23674254994359,94.7935368043088,0.0,98.09794415158873,35.38594969644406,53.42584562012143,95.22983521248915,92.28100607111882,1.7,100,1.411418769909336,99.50936292149807,98.16993572741107,98.09794415158873,99.96511193254975,96.97486646515671
3,20604111734,98.25052365839976,99.99676605652932,Very High,430,313,1875,309,2.3777569368087446,99.42506802946838,98.05825242718447,0.0,98.31317256647124,32.325581395348834,46.51162790697674,74.18604651162791,66.04651162790698,1.5,0,1.3852813852813852,99.69845395175263,96.58182906650924,98.31317256647124,98.56128255181294,98.84559645563328
4,11703163916,98.18982951318374,99.995149084794,Very High,750,425,1133,590,3.297813854213828,99.11063914515165,94.01197604790418,0.0,97.06795477512662,42.66666666666667,46.0,78.26666666666667,71.2,1.7,100,2.3147921261128803,99.3827469012395,98.72036850726289,97.06795477512662,99.31054533372098,96.97486646515671
5,20604150414,98.0803067415578,99.99353211305866,Very High,1329,414,713,420,3.073054783002393,99.04592818742948,93.70229007633588,0.0,97.2300492936861,35.59066967644846,51.69300225733634,71.0308502633559,67.4191121143717,1.6,100,2.0877235971575594,99.31777289084366,98.02858591989624,97.2300492936861,98.3569381567471,98.09283259492359
6,11703164015,97.9832942290343,99.99191514132333,Very High,114,8,0,553,2.0147467822262466,99.37280148669278,96.3963963963964,0.0,98.62743373613554,19.298245614035086,64.91228070175438,76.31578947368422,64.91228070175438,1.5,100,1.0185412072204525,99.645974943356,95.06190290099694,98.62743373613554,98.66760809070898,98.84559645563328
7,20604111736,97.96550928138984,99.990298169588,Very High,211,397,1625,148,2.8563805704676284,99.08160217694298,93.86503067484662,0.0,97.48476889567621,45.497630331753555,40.758293838862556,60.18957345971564,50.23696682464455,1.0,0,1.8688230008984725,99.35359189657468,98.76360491897331,97.48476889567621,92.5190015367363,100.0
8,20604150418,97.96428768669487,99.98868119785266,Very High,405,391,619,391,2.7925101869219326,98.45357403597265,91.86351706036746,0.0,96.9187144630835,33.58024691358025,52.8395061728395,88.14814814814815,82.46913580246914,1.6,100,1.8042963325982195,98.72301079568172,97.72260516009946,96.9187144630835,99.94351455746147,98.09283259492359
9,20604150614,97.90740087429829,99.98706422611733,Very High,44,75,75,435,2.0309164995795874,99.72539324351231,100.0,0.0,98.96512292738709,11.363636363636363,75.0,77.27272727272727,72.72727272727273,1.1,100,1.0348770726129217,100.0,93.41975072545712,98.96512292738709,99.35124807907961,99.79545360440561
10,20604111748,97.51670948550085,99.985447254382,Very High,147,265,2250,440,2.2370803958346808,99.40100882723833,97.1830985915493,0.0,98.4311375915206,27.89115646258503,48.29931972789115,72.78911564625851,62.585034013605444,1.8,0,1.2431593563669034,99.6742969478875,95.20325270851177,98.4311375915206,97.9565560493417,95.18198004223427
11,60105102722,97.35660718504066,99.98383028264666,Very High,433,325,900,274,2.412521829118427,99.38773478462866,96.81372549019608,0.0,98.24056544987984,36.25866050808314,51.96304849884527,52.42494226327945,48.49884526558891,1.8,100,1.420403495875194,99.66096894575503,98.18490217761851,98.24056544987984,89.58840387091415,95.18198004223427
12,20604150401,97.24192878828713,99.98221331091133,Very High,644,478,790,371,6.475163314145268,99.10897988982545,94.0099833610649,0.0,93.85629122523987,42.2360248447205,47.20496894409938,85.55900621118012,79.5031055900621,1.6,100,5.524789675733071,99.38108090097295,98.75695316332556,93.85629122523987,99.8654317398347,98.09283259492359
13,20604150408,97.2072891934625,99.98059633917599,Very High,819,468,803,400,5.505788758812495,99.19194265613592,94.50980392156862,0.0,94.9189263688464,38.82783882783883,47.25274725274725,88.4004884004884,84.73748473748473,1.8,100,4.545454545454544,99.46438091430095,98.2098462612976,94.9189263688464,99.95348257673298,95.18198004223427
14,40101100156,97.01514357652482,99.97897936744066,Very High,229,11,537,375,2.016363753961581,99.24669808190085,94.83568075117371,0.0,98.49918412933773,19.65065502183406,56.33187772925764,81.22270742358079,69.86899563318777,1.8,100,1.0201747937596994,99.51935892309743,92.6065735975189,98.49918412933773,99.42683889188851,95.18198004223427
15,11703164611,96.97760468277946,99.97736239570533,Very High,147,260,399,408,2.223336136084341,99.72539324351231,100.0,0.0,98.7707261292167,21.768707482993197,52.38095238095239,60.544217687074834,48.97959183673469,1.0,100,1.2292738707833044,100.0,92.72713666863449,98.7707261292167,92.26066370394983,100.0
16,40101100159,96.86433404337515,99.97574542396998,Very High,332,362,1062,365,2.6154517819028524,96.86234817813765,88.88888888888889,0.0,95.49989793349997,37.65060240963856,42.46987951807229,71.98795180722891,63.85542168674698,1.7,100,1.6254186065506822,97.12531654005065,97.47981607895635,95.49989793349997,98.03131619387798,96.97486646515671
17,12602150024,96.74135676319831,99.97412845223465,Very High,400,402,466,250,2.9113576094689866,99.43585318908875,98.86363636363636,0.0,97.78491801025241,18.5,63.74999999999999,65.0,52.75,1.8,100,1.9243649432328678,99.70928295348529,94.36513149689448,97.78491801025241,94.50762138140134,95.18198004223427
18,20604111708,96.37613687260263,99.97251148049932,Very High,631,257,814,281,2.214442791540004,99.25001659255327,94.86238532110092,0.0,98.3024017788131,27.416798732171156,38.03486529318542,58.00316957210776,50.55467511885895,1.4,100,1.2202891448174467,99.52269092363055,91.64123755913828,98.3024017788131,92.00897121734435,99.30686099954453
19,40101100146,96.1825306798888,99.97089450876399,Very High,354,397,1075,408,2.8563805704676284,97.22821397756687,89.42307692307693,0.0,95.62384659792866,33.05084745762712,39.548022598870055,61.5819209039548,51.12994350282486,1.5,100,1.8688230008984725,97.49266959882713,95.55579575784284,95.62384659792866,93.16775345765667,98.84559645563328
20,30501111030,96.04440016473386,99.96927753702866,Very High,256,345,0,265,2.4707328115904534,98.22542642861883,91.34615384615384,0.0,97.01472314774163,22.265625,51.953125,54.6875,50.0,1.0,100,1.479212611288083,98.49393575902971,92.93583550208284,97.01472314774163,90.81197823649126,100.0
21,40101100153,95.76588742224399,99.96766056529331,Very High,235,49,1583,345,2.019597697432249,98.76634366496316,92.76018099547511,0.0,98.0136098790901,18.29787234042553,52.76595744680851,64.68085106382979,57.87234042553191,1.8,0,1.0234419668381933,99.03705184592829,90.09719877940285,98.0136098790901,95.63068488599077,95.18198004223427
22,30501110532,95.70532306396849,99.96604359355798,Very High,480,412,1583,385,3.038289890692711,99.26329063516293,94.98861047835992,0.0,97.48341743919927,31.25,30.833333333333336,57.291666666666664,45.0,1.7,0,2.052601486563751,99.53601892576302,91.80753145033218,97.48341743919927,90.06354612285583,96.97486646515671
