rank,SA1_CODE_2021,gentrification_risk_score,gentrification_risk_percentile,risk_category,total_population,median_personal_income,median_household_income,median_rent_weekly,income_percentile,education_percentile,pct_year12,pct_tertiary,edu_income_mismatch,pct_young_professionals,pct_age_20_24,pct_overseas_born,pct_non_english,avg_household_size,rental_stress,income_component,education_component,youth_component,mismatch_component,diversity_component,density_component,state_code,state,state_name
1,12102157701,99.22558164722548,100.0,Very High,3,350,1625,120,2.530560765797814,99.72539324351231,100.0,0.0,98.46034468675978,133.33333333333331,0.0,133.33333333333331,0.0,1.0,0,1.539655313240219,100.0,99.98752795816048,98.46034468675978,97.67579017319432,100.0,1,NSW,New South Wales
4,11703163916,98.18982951318374,99.995149084794,Very High,750,425,1133,590,3.297813854213828,99.11063914515164,94.01197604790418,0.0,97.06795477512662,42.66666666666667,46.0,78.26666666666667,71.2,1.7,100,2.3147921261128803,99.3827469012395,98.72036850726288,97.06795477512662,99.31054533372098,96.97486646515672,1,NSW,New South Wales
6,11703164015,97.9832942290343,99.99191514132332,Very High,114,8,0,553,2.0147467822262466,99.37280148669278,96.3963963963964,0.0,98.62743373613554,19.29824561403509,64.91228070175438,76.31578947368422,64.91228070175438,1.5,100,1.0185412072204525,99.645974943356,95.06190290099694,98.62743373613554,98.66760809070898,98.84559645563328,1,NSW,New South Wales
15,11703164611,96.97760468277946,99.97736239570531,Very High,147,260,399,408,2.223336136084341,99.72539324351231,100.0,0.0,98.7707261292167,21.7687074829932,52.38095238095239,60.544217687074834,48.97959183673469,1.0,100,1.2292738707833044,100.0,92.72713666863449,98.7707261292167,92.26066370394985,100.0,1,NSW,New South Wales
17,12602150024,96.74135676319833,99.97412845223464,Very High,400,402,466,250,2.9113576094689866,99.43585318908876,98.86363636363636,0.0,97.7849180102524,18.5,63.74999999999999,65.0,52.75,1.8,100,1.924364943232868,99.70928295348529,94.36513149689448,97.7849180102524,94.50762138140134,95.18198004223429,1,NSW,New South Wales
28,11703163806,95.3438009870314,99.956341763146,Very High,253,269,687,250,2.251633141452688,99.72539324351231,100.0,0.0,98.74213836477988,29.64426877470356,40.31620553359684,50.98814229249013,47.43083003952569,2.1,100,1.2578616352201255,100.0,94.00094787517982,98.74213836477988,88.57166590522075,84.26649000041407,1,NSW,New South Wales
36,11703164612,94.6588031066961,99.94340598926333,Very High,408,492,750,412,7.961160338917275,98.39715935488152,91.74917491749174,0.0,91.64031108131768,42.40196078431372,37.00980392156863,58.333333333333336,57.84313725490197,2.0,100,7.026055705300988,98.66636678661868,97.93213546300376,91.64031108131768,94.11969929808532,88.8973541468262,1,NSW,New South Wales
37,11802156418,94.57981758494203,99.94178901752797,Very High,1206,216,349,340,2.090744453786948,99.39105329528108,96.95780176643768,0.0,98.56898117172308,16.500829187396352,56.38474295190713,49.917081260364846,44.44444444444444,2.0,100,1.0953197745650578,99.66430094628814,90.10800788233044,98.56898117172308,87.14291647630517,88.8973541468262,1,NSW,New South Wales
45,12602150046,93.92844716471204,99.92885324364528,Very High,273,395,1343,360,2.827275079231615,99.34044600783167,95.7983193277311,0.0,97.77406949496604,24.90842490842491,36.996336996337,40.65934065934066,37.362637362637365,1.8,0,1.839418443192028,99.61348793815807,88.84167990088886,97.77406949496604,80.36881671304565,95.18198004223429,1,NSW,New South Wales
48,11703164501,93.8689684745648,99.9240023284393,Very High,109,0,75,500,1.0065649052454562,97.12534014734187,89.28571428571429,0.0,97.3893775823004,11.926605504587156,51.37614678899083,92.6605504587156,88.9908256880734,1.0,100,0.0,97.3893775823004,80.71240302987471,97.3893775823004,99.96178925945924,100.0,1,NSW,New South Wales
50,11903137209,93.72310629709428,99.92076838496862,Very High,11,450,1125,1846,4.251827178060927,99.72539324351231,100.0,0.0,96.72139181573144,54.54545454545454,0.0,45.45454545454545,0.0,1.2,100,3.278608184268561,100.0,96.20018458621924,96.72139181573144,58.467417037006285,99.73831311332864,1,NSW,New South Wales
55,12602150022,93.44692642105166,99.91268352629196,Very High,283,339,450,440,2.453754608369446,99.72539324351231,100.0,0.0,98.537940047374,14.840989399293289,48.40989399293287,44.16961130742049,36.74911660777385,1.0,100,1.4620599526259903,100.0,83.16440645552886,98.537940047374,81.67545790588528,100.0,1,NSW,New South Wales
105,12702151716,89.99925117576663,99.83183493952524,Very High,4,0,575,500,1.0065649052454562,99.72539324351231,100.0,0.0,100.0,100.0,0.0,100.0,100.0,5.0,100,0.0,100.0,99.96092093556943,100.0,99.98172529800225,0.1084841207403419,1,NSW,New South Wales
107,11802156423,89.89417020459305,99.8286009960546,Very High,240,529,1458,455,10.914559213504948,94.06235481515895,85.56149732620321,0.0,84.30413957099509,34.583333333333336,26.666666666666668,52.91666666666666,44.16666666666666,1.9,100,10.00980151923548,94.31394109023056,92.68722613474796,84.30413957099509,88.12975038418406,92.558486191048,1,NSW,New South Wales
108,11703164614,89.79934216646846,99.82698402431926,Very High,350,651,1115,359,24.31602095595369,96.92705913585982,88.95522388059702,0.0,73.64132379393254,62.0,28.857142857142858,87.42857142857143,74.85714285714286,1.8,100,23.548966756513927,97.19029055044648,99.78631234981584,73.64132379393254,99.81559164347718,95.18198004223429,1,NSW,New South Wales
121,12101168405,89.03226088705786,99.80596339175992,Very High,135,254,0,0,2.196656102451329,99.72539324351231,100.0,0.0,98.79768030711426,37.03703703703704,48.888888888888886,82.96296296296296,68.14814814814815,0.0,0,1.2023196928857307,100.0,98.04022649227984,98.79768030711426,99.43016156497904,0.0,1,NSW,New South Wales
123,11802156420,88.87379765600812,99.80272944828924,Very High,413,644,1309,401,23.800206972382124,98.46601845091922,91.89944134078212,0.0,75.70765314718676,46.00484261501211,20.581113801452787,62.71186440677966,55.932203389830505,2.0,100,23.02785265049416,98.73550579768091,96.80050553342925,75.70765314718676,94.7593138680068,88.8973541468262,1,NSW,New South Wales
124,11703133133,88.86534478771785,99.80111247655393,Very High,548,579,1357,373,15.760623504301144,95.30098891617442,86.8421052631579,0.0,80.65194991185916,39.416058394160586,21.532846715328464,54.56204379562044,43.613138686131386,2.0,0,14.905660377358489,95.55761028921764,94.26036634544232,80.65194991185916,88.48693774141297,88.8973541468262,1,NSW,New South Wales
128,11802156501,88.58279324897113,99.79464458961256,Very High,324,601,1550,530,18.188506564905246,96.93535541249088,88.96797153024912,0.0,79.84012998574156,43.20987654320987,22.22222222222222,66.66666666666666,64.81481481481481,2.3,100,17.358490566037737,97.19862055177929,96.12784674354988,79.84012998574156,97.41994434522574,72.84998550784645,1,NSW,New South Wales
136,12003167812,88.21803525811585,99.7817088157299,Very High,1624,628,1353,600,21.58495569497445,96.84409636954936,88.88065233506302,0.0,76.3171514453926,54.67980295566503,20.8128078817734,83.00492610837439,87.5615763546798,2.3,100,20.789839091725888,97.10699053711848,98.6471991951376,76.3171514453926,99.94185322091622,72.84998550784645,1,NSW,New South Wales
