rank,SA1_CODE_2021,gentrification_risk_score,gentrification_risk_percentile,risk_category,total_population,median_personal_income,median_household_income,median_rent_weekly,income_percentile,education_percentile,pct_year12,pct_tertiary,edu_income_mismatch,pct_young_professionals,pct_age_20_24,pct_overseas_born,pct_non_english,avg_household_size,rental_stress,income_component,education_component,youth_component,mismatch_component,diversity_component,density_component,state_code,state,state_name
208,70102101307,84.78467323414813,99.66528685078583,Very High,406,618,2750,460,20.2938037643102,99.2765646777726,95.08196721311477,0.0,80.06392668775828,58.3743842364532,27.093596059113302,77.33990147783251,74.38423645320196,3.0,0,19.485420240137223,99.5493469278955,99.45871338416384,80.06392668775828,99.4584042862483,20.193780795826257,7,NT,Northern Territory
334,70104103811,80.64897651192545,99.46154841213377,Very High,3,649,1125,0,24.28449000711468,99.72539324351231,100.0,0.0,76.48288818100139,100.0,0.0,0.0,0.0,2.0,0,23.51711181899861,100.0,99.96092093556943,76.48288818100139,0.0,88.8973541468262,7,NT,Northern Territory
2282,70101100229,66.23921639243657,96.311687471703,Very High,270,1099,1787,300,85.4181488907574,94.90359726554722,86.42533936651584,0.0,9.879668323800104,66.66666666666666,8.148148148148149,62.22222222222222,54.44444444444444,1.9,0,85.2789349015764,95.15860322537652,99.31403769882516,9.879668323800104,94.23183951488971,92.558486191048,7,NT,Northern Territory
2511,70203105715,65.49508442594507,95.9414009443115,Very High,81,1023,1666,0,79.3189315050773,93.9495254529767,85.41666666666666,0.0,15.083606596567437,62.96296296296296,8.641975308641975,27.160493827160494,24.69135802469136,1.4,0,79.11704647553705,94.20065307210449,98.93987644363888,15.083606596567432,64.20068945466629,99.30686099954453,7,NT,Northern Territory
2528,70101100230,65.44518952993897,95.9139124248108,Very High,280,1004,2203,500,77.47800918439945,98.74892148403796,92.70833333333334,0.0,21.762350642524996,53.92857142857142,11.071428571428571,60.35714285714285,53.92857142857142,2.7,0,77.25720820060442,99.01955884312942,97.61118825299955,21.762350642524996,93.61216098351125,42.11419816984802,7,NT,Northern Territory
3203,70101100504,63.66296758763533,94.82245650346032,Very High,487,996,2147,350,77.00504495181424,91.69376783699477,83.41968911917098,0.0,15.15634157184141,53.38809034907598,8.624229979466119,60.16427104722793,56.87885010266941,2.5,0,76.7793841378747,91.93572570971612,97.2004423417506,15.15634157184141,94.34065705860364,58.33712889735414,7,NT,Northern Territory
3286,70102102608,63.48272389606455,94.68824784942758,Very High,442,1068,1823,318,83.12770842765669,90.95208070617906,82.8080229226361,0.0,8.226064021830624,55.88235294117647,4.751131221719457,56.56108597285068,50.90497737556561,2.1,0,82.96495956873315,91.19102359056376,97.33514039361764,8.226064021830624,91.64513851393446,84.26649000041407,7,NT,Northern Territory
3716,70102102511,62.59844976315996,93.99295000323394,Very High,491,1073,1420,290,83.5246749886812,89.32601048649366,81.55844155844156,0.0,6.192338265216648,52.13849287169042,4.073319755600815,47.657841140529534,40.122199592668025,1.8,0,83.36600506411827,89.55834332933492,96.07962151510368,6.192338265216648,84.59276487934542,95.18198004223429,7,NT,Northern Territory
3722,70102101607,62.59590834374804,93.98324817282194,Very High,411,717,861,250,34.62906668391437,61.649631645317584,65.63573883161511,0.0,27.80147717928265,36.009732360097324,6.569343065693431,45.98540145985402,41.84914841849148,1.9,0,33.967981703830766,61.769458883113415,83.5294215466995,27.801477179282653,84.6176849275242,92.558486191048,7,NT,Northern Territory
4034,70201105012,61.99118138882018,93.47875299139773,Very High,397,964,1113,125,73.59808550546536,82.50978960642463,76.89655172413794,0.0,9.376996934624842,57.68261964735516,22.16624685138539,29.72292191435768,23.929471032745592,1.3,0,73.33741729968143,82.71441423430628,99.10617033483275,9.376996934624842,65.67844831166673,99.57682911680676,7,NT,Northern Territory
