rank,SA1_CODE_2021,gentrification_risk_score,gentrification_risk_percentile,risk_category,total_population,median_personal_income,median_household_income,median_rent_weekly,income_percentile,education_percentile,pct_year12,pct_tertiary,edu_income_mismatch,pct_young_professionals,pct_age_20_24,pct_overseas_born,pct_non_english,avg_household_size,rental_stress,income_component,education_component,youth_component,mismatch_component,diversity_component,density_component,state_code,state,state_name
20,30501111030,96.04440016473386,99.96927753702866,Very High,256,345,0,265,2.470732811590453,98.22542642861885,91.34615384615384,0.0,97.01472314774163,22.265625,51.953125,54.6875,50.0,1.0,100,1.479212611288083,98.49393575902972,92.93583550208284,97.01472314774163,90.81197823649126,100.0,3,QLD,Queensland
22,30501110532,95.70532306396848,99.96604359355798,Very High,480,412,1583,385,3.038289890692711,99.26329063516292,94.98861047835992,0.0,97.48341743919929,31.25,30.833333333333336,57.29166666666666,45.0,1.7,0,2.052601486563751,99.53601892576302,91.80753145033218,97.48341743919929,90.06354612285583,96.97486646515672,3,QLD,Queensland
26,30501110522,95.4242139803019,99.95957570661665,Very High,727,461,1132,398,4.959252312269582,97.96907148071944,90.76246334310852,0.0,94.2432364226571,39.0646492434663,27.785419532324624,57.22145804676754,44.70426409903714,1.6,100,3.993302295189088,98.2365387178462,95.59903216955324,94.2432364226571,89.94559122814303,98.0928325949236,3,QLD,Queensland
34,30501111035,94.71501611157036,99.94663993273396,Very High,1444,417,1880,520,3.12560636440075,98.58631446206942,92.2211808809747,0.0,96.71547565732344,31.786703601108037,32.06371191135734,45.01385041551247,36.28808864265928,1.7,0,2.140815159683084,98.85629081700654,92.61073094479876,96.71547565732344,81.8598662624081,96.97486646515672,3,QLD,Queensland
40,30908155908,94.3654934577446,99.93693810232196,Very High,622,295,495,255,2.3397581010283943,98.87087675051436,93.15068493150685,0.0,97.7951177611125,25.723472668810288,35.852090032154344,39.71061093247588,37.942122186495176,1.1,100,1.346892101609083,99.14200986272158,89.06534518454467,97.7951177611125,80.20019105370271,99.7954536044056,3,QLD,Queensland
47,30504113729,93.91946588038968,99.92561930017465,Very High,367,481,1562,550,6.758133367828731,97.27550275436384,89.50437317784257,0.0,91.7294832863228,36.51226158038147,30.517711171662125,51.49863760217984,47.956403269754766,1.8,100,5.810667320101282,97.54015060642408,95.07354347338052,91.7294832863228,88.96540266644516,95.18198004223429,3,QLD,Queensland
58,30302105817,93.38925269263686,99.90783261108596,Very High,226,537,1625,443,11.586410969536251,98.72818079246034,92.65536723163842,0.0,88.31017711350484,46.017699115044245,39.38053097345133,52.654867256637175,41.150442477876105,1.9,0,10.688556726292576,98.9987338397974,98.73200907964646,88.31017711350484,86.92029737924159,92.558486191048,3,QLD,Queensland
59,30403109604,93.34874959733948,99.90621563935062,Very High,402,490,1069,380,7.711338205808163,99.35289042277826,95.97701149425288,0.0,92.85231635516992,38.80597014925373,38.059701492537314,60.44776119402984,52.23880597014925,2.3,100,6.77366658498734,99.62598294015729,97.2220605476058,92.85231635516992,93.16027744320309,72.84998550784645,3,QLD,Queensland
69,30403109606,91.94485573641924,99.89004592199728,Very High,455,544,1175,380,12.179031110536188,99.2749054224464,95.06493506493506,0.0,88.26041473470238,45.494505494505496,25.934065934065934,61.53846153846154,57.58241758241758,2.3,100,11.28726619292657,99.54768092762896,97.38835443879972,88.26041473470238,94.89471279644476,72.84998550784645,3,QLD,Queensland
75,30503112619,91.64788472873369,99.88034409158529,Very High,321,337,588,335,2.4456697496927755,98.4286852060795,91.81494661921708,0.0,97.24412877175357,21.49532710280374,31.464174454828655,40.18691588785047,34.57943925233645,1.4,100,1.453892019929756,98.69802079168332,79.95576582494243,97.24412877175357,78.88108983677368,99.30686099954453,3,QLD,Queensland
