rank,SA1_CODE_2021,gentrification_risk_score,gentrification_risk_percentile,risk_category,total_population,median_personal_income,median_household_income,median_rent_weekly,income_percentile,education_percentile,pct_year12,pct_tertiary,edu_income_mismatch,pct_young_professionals,pct_age_20_24,pct_overseas_born,pct_non_english,avg_household_size,rental_stress,income_component,education_component,youth_component,mismatch_component,diversity_component,density_component,state_code,state,state_name
14,40101100156,97.01514357652482,99.97897936744066,Very High,229,11,537,375,2.016363753961581,99.24669808190085,94.83568075117373,0.0,98.49918412933772,19.65065502183406,56.33187772925764,81.22270742358079,69.86899563318777,1.8,100,1.0201747937596994,99.51935892309744,92.6065735975189,98.49918412933772,99.42683889188852,95.18198004223429,4,SA,South Australia
16,40101100159,96.86433404337517,99.97574542396998,Very High,332,362,1062,365,2.6154517819028524,96.86234817813764,88.88888888888889,0.0,95.49989793349997,37.65060240963856,42.46987951807229,71.98795180722891,63.85542168674698,1.7,100,1.6254186065506822,97.12531654005063,97.47981607895636,95.49989793349997,98.03131619387798,96.97486646515672,4,SA,South Australia
19,40101100146,96.1825306798888,99.970894508764,Very High,354,397,1075,408,2.8563805704676284,97.22821397756688,89.42307692307693,0.0,95.62384659792866,33.05084745762712,39.548022598870055,61.5819209039548,51.12994350282486,1.5,100,1.8688230008984723,97.49266959882712,95.55579575784284,95.62384659792866,93.16775345765669,98.84559645563328,4,SA,South Australia
21,40101100153,95.765887422244,99.96766056529331,Very High,235,49,1583,345,2.019597697432249,98.76634366496316,92.76018099547512,0.0,98.0136098790901,18.29787234042553,52.76595744680851,64.68085106382979,57.87234042553191,1.8,0,1.023441966838193,99.03705184592827,90.09719877940285,98.0136098790901,95.63068488599076,95.18198004223429,4,SA,South Australia
23,40101100160,95.60077228602935,99.96442662182264,Very High,414,516,915,450,9.877271845288146,98.69001791995753,92.51336898395722,0.0,89.99856007935793,44.68599033816425,37.19806763285024,79.71014492753623,76.81159420289855,1.7,100,8.961855754308583,98.96041583366652,98.37115133575568,89.99856007935793,99.66939402749512,96.97486646515672,4,SA,South Australia
30,40101100139,95.04394136981318,99.95310781967532,Very High,301,303,519,205,2.355119332514068,93.96362912324948,85.43307086614173,0.0,92.85240290063832,34.88372093023256,46.51162790697674,61.46179401993356,47.17607973421927,1.5,100,1.3624111737319282,94.21481407437024,97.30437602374676,92.85240290063832,92.02724591934212,98.84559645563328,4,SA,South Australia
46,40101100161,93.9225941065631,99.92723627190998,Very High,544,375,560,198,2.686598538257551,93.1887568859096,84.72505091649694,0.0,91.73949553560918,29.411764705882355,39.52205882352941,63.05147058823529,56.98529411764706,1.5,100,1.6972964142775462,93.43679194988673,93.61514604760994,91.73949553560918,95.09905719151055,98.84559645563328,4,SA,South Australia
61,40101100157,93.32882585725795,99.90298169587996,Very High,189,539,1562,380,11.746491171334323,95.44202561890224,87.00564971751412,0.0,84.84893851819722,48.14814814814815,32.804232804232804,69.31216931216932,59.78835978835979,1.4,0,10.85028179367802,95.69922031187524,98.57402988301226,84.84893851819722,97.02620758400133,99.30686099954453,4,SA,South Australia
65,40101100149,92.81226654238776,99.89651380893862,Very High,433,570,1195,382,14.64976392212664,97.94833078914183,90.72164948453609,0.0,84.43232728961834,45.72748267898383,32.10161662817552,68.82217090069284,63.279445727482674,1.9,100,13.783386424895856,98.2157137145142,98.08845172072604,84.43232728961834,97.50633384557878,92.558486191048,4,SA,South Australia
73,40101100152,91.72716569063635,99.88357803505596,Very High,723,583,1037,420,16.182653127223336,96.60018583659652,88.52201257861635,0.0,81.53006203383221,40.38727524204703,34.3015214384509,68.46473029045643,59.19778699861688,1.7,100,15.332026464101933,96.86208849793414,97.16385768568792,81.53006203383221,96.73879636167295,96.97486646515672,4,SA,South Australia
91,40101100135,90.46591325814138,99.85447254381994,Very High,390,557,1093,420,13.36912230774206,93.56125970664368,85.02994011976048,0.0,81.32122312391714,43.07692307692308,27.43589743589744,72.56410256410255,63.33333333333333,2.0,100,12.489585885812298,93.81080900972944,96.95266444387168,81.32122312391714,98.03962287660424,88.8973541468262,4,SA,South Australia
96,40101100155,90.3131558370292,99.84638768514328,Very High,712,520,914,445,10.2192613673113,90.30663038428354,82.26351351351352,0.0,81.23559017951261,40.16853932584269,28.651685393258425,64.04494382022472,58.14606741573034,1.7,100,9.307359307359306,90.54294948687192,96.17607197199612,81.23559017951261,95.57752211654277,96.97486646515672,4,SA,South Australia
116,40101100147,89.35528876591334,99.81404825043658,Very High,1014,581,870,347,15.979723174438911,92.21643326475078,83.85481852315394,0.0,77.33350444025606,45.46351084812624,25.93688362919132,59.6646942800789,51.18343195266272,1.6,100,15.127011353426449,92.46051579368252,97.38336562206388,77.33350444025606,92.6436017776301,98.0928325949236,4,SA,South Australia
118,40101100154,89.26244060072331,99.81081430696592,Very High,237,630,1292,430,21.86307483345191,96.5935488152917,88.51674641148325,0.0,75.78460852039156,42.616033755274266,27.004219409282697,61.60337552742617,51.47679324894515,1.7,100,21.070815976476357,96.85542449686793,96.73814532423152,75.78460852039156,93.27490966482536,96.97486646515672,4,SA,South Australia
147,40101100158,87.3524354115085,99.76392212664122,Very High,647,608,985,400,19.013970635793285,90.34977102276498,82.2992700729927,0.0,72.39382899947918,44.20401854714065,23.95672333848532,64.45131375579598,56.87789799072643,1.7,100,18.192436494323285,90.58626549380249,96.7581005911748,72.39382899947918,95.39643643311044,96.97486646515672,4,SA,South Australia
187,40303106604,85.74960909525065,99.69924325722786,Very High,600,274,850,250,2.275887717482698,97.7027610008628,90.26915113871635,0.0,96.68678024175448,19.0,38.0,31.0,26.0,2.6,0,1.2823654333088292,97.9691456750633,81.45324231514356,96.68678024175448,68.20534119699299,50.30019460891887,4,SA,South Australia
200,40101100119,85.24801462398122,99.67822262466852,Very High,635,638,1235,395,22.910872517948384,92.43960310612596,84.05797101449275,0.0,70.5552127756265,42.204724409448815,16.850393700787404,50.86614173228347,45.03937007874016,1.9,100,22.129380053908356,92.68459282953484,94.4981666098496,70.5552127756265,87.70610956514517,92.558486191048,4,SA,South Australia
289,40303106602,81.86018650333229,99.5343121402238,Very High,500,595,1413,285,17.496442662182265,87.86752505475542,80.48192771084337,0.0,71.43461356778859,46.8,15.8,64.4,57.2,2.6,0,16.659315527240054,88.09392909502864,96.27335389834457,71.43461356778859,95.45624454873946,50.30019460891887,4,SA,South Australia
339,40101100134,80.52119010964964,99.45346355345708,Very High,761,740,1198,360,38.88089386197529,91.96754496581934,83.61408882082695,0.0,53.947118244918,43.62680683311432,20.49934296977661,55.05913272010512,47.174770039421816,1.6,100,38.26349750878052,92.21061575369852,95.97651930256345,53.947118244918,90.04693275740333,98.0928325949236,4,SA,South Australia
