rank,SA1_CODE_2021,gentrification_risk_score,gentrification_risk_percentile,risk_category,total_population,median_personal_income,median_household_income,median_rent_weekly,income_percentile,education_percentile,pct_year12,pct_tertiary,edu_income_mismatch,pct_young_professionals,pct_age_20_24,pct_overseas_born,pct_non_english,avg_household_size,rental_stress,income_component,education_component,youth_component,mismatch_component,diversity_component,density_component,state_code,state,state_name
11,60105102722,97.35660718504066,99.98383028264666,Very High,433,325,900,274,2.412521829118427,99.38773478462866,96.81372549019608,0.0,98.24056544987984,36.25866050808314,51.96304849884527,52.42494226327945,48.49884526558891,1.8,100,1.420403495875194,99.66096894575504,98.18490217761853,98.24056544987984,89.58840387091415,95.18198004223429,6,TAS,Tasmania
54,60201103607,93.55608949580376,99.9143004980273,Very High,315,357,325,222,2.5936226634758426,99.34044600783167,95.7983193277311,0.0,98.01012274988724,34.92063492063492,40.63492063492063,21.26984126984127,17.77777777777778,1.0,100,1.6033651882708488,99.61348793815807,96.46043452593771,98.01012274988724,51.95414711135108,100.0,6,TAS,Tasmania
141,60105103217,87.84587440478823,99.77362395705325,Very High,411,627,1633,388,21.453172498544724,98.46601845091922,91.89944134078212,0.0,78.07880400890367,41.84914841849148,18.49148418491484,43.55231143552312,36.496350364963504,2.0,0,20.65670178877726,98.73550579768091,94.75259626337628,78.07880400890367,81.30082651493126,88.8973541468262,6,TAS,Tasmania
152,60201104114,87.2316537045016,99.75583726796457,Very High,642,498,1286,197,8.710626738244615,91.0765248556448,82.897384305835,0.0,83.53275054431384,45.794392523364486,28.34890965732087,53.58255451713395,49.68847352024922,2.5,0,7.783223066241933,91.31597361055576,97.707638709892,83.53275054431384,90.37172405199982,58.33712889735414,6,TAS,Tasmania
163,60105102908,86.7168529581077,99.73805057887589,Very High,332,258,1125,448,2.218485220878339,99.19526116678834,94.52054794520548,0.0,98.2433398036685,23.49397590361446,36.44578313253012,40.36144578313253,37.34939759036144,2.9,100,1.224373111165564,99.46771291483408,86.87858051534478,98.2433398036685,80.22178842879096,26.69703117883317,6,TAS,Tasmania
298,60105103120,81.63720402135968,99.5197593946058,Very High,372,671,1510,350,27.29933380764504,93.20203092851928,84.73520249221184,0.0,66.88718603059472,46.50537634408602,9.67741935483871,44.623655913978496,37.096774193548384,2.3,0,26.562933921424488,93.4501199520192,94.87897962068364,66.88718603059472,82.04427461893093,72.84998550784645,6,TAS,Tasmania
325,60105102723,80.94850878158016,99.47610115775176,Very High,510,644,1241,300,23.800206972382124,86.6886241454835,79.66903073286052,0.0,63.88238325514357,43.13725490196079,15.68627450980392,34.90196078431372,30.0,1.8,0,23.02785265049416,86.91023590563773,94.70353956547407,63.88238325514357,73.59056360842298,95.18198004223429,6,TAS,Tasmania
487,60105103123,78.1184889020606,99.21415173662764,Very High,330,717,1968,295,34.62906668391437,97.25973982876484,89.47368421052632,0.0,63.55634190006101,50.90909090909091,12.727272727272728,49.3939393939394,40.909090909090914,2.8,0,33.967981703830766,97.52432360389176,97.1098121710499,63.55634190006101,85.5596627486813,34.117013788248926,6,TAS,Tasmania
507,60201104008,77.90844825263054,99.18181230192096,Very High,52,790,1666,338,48.13239764568915,98.20717462003051,91.30434782608695,0.0,50.8655468630158,67.3076923076923,25.0,48.07692307692308,48.07692307692308,2.4,0,47.61006289308175,98.47560975609755,99.87112223432474,50.8655468630158,87.77837770486356,65.88547058092831,6,TAS,Tasmania
525,60105102720,77.66720037954497,99.15270681068496,Very High,951,748,1330,340,40.302212017333936,90.80440698214642,82.68733850129199,0.0,51.343329490061365,52.57623554153522,10.620399579390115,38.801261829652994,28.075709779179807,1.9,0,39.699420076778566,91.04274956683992,97.24201581454906,51.343329490061365,74.7427005025543,92.558486191048,6,TAS,Tasmania
