rank,SA1_CODE_2021,gentrification_risk_score,gentrification_risk_percentile,risk_category,total_population,median_personal_income,median_household_income,median_rent_weekly,income_percentile,education_percentile,pct_year12,pct_tertiary,edu_income_mismatch,pct_young_professionals,pct_age_20_24,pct_overseas_born,pct_non_english,avg_household_size,rental_stress,income_component,education_component,youth_component,mismatch_component,diversity_component,density_component,state_code,state,state_name
2,20604111737,98.49716666290418,99.99838302826468,Very High,1153,323,522,413,2.4036284845740896,99.2367425499436,94.7935368043088,0.0,98.09794415158872,35.38594969644406,53.42584562012143,95.22983521248916,92.28100607111882,1.7,100,1.411418769909336,99.50936292149808,98.16993572741109,98.09794415158872,99.96511193254976,96.97486646515672,2,VIC,Victoria
3,20604111734,98.25052365839976,99.99676605652932,Very High,430,313,1875,309,2.377756936808745,99.42506802946838,98.05825242718448,0.0,98.31317256647124,32.325581395348834,46.51162790697674,74.18604651162791,66.04651162790698,1.5,0,1.3852813852813852,99.69845395175264,96.58182906650924,98.31317256647124,98.56128255181294,98.84559645563328,2,VIC,Victoria
5,20604150414,98.0803067415578,99.99353211305866,Very High,1329,414,713,420,3.073054783002393,99.04592818742948,93.70229007633588,0.0,97.2300492936861,35.59066967644846,51.69300225733634,71.0308502633559,67.4191121143717,1.6,100,2.0877235971575594,99.31777289084366,98.02858591989624,97.2300492936861,98.3569381567471,98.0928325949236,2,VIC,Victoria
7,20604111736,97.96550928138984,99.990298169588,Very High,211,397,1625,148,2.8563805704676284,99.08160217694298,93.86503067484662,0.0,97.4847688956762,45.49763033175356,40.75829383886256,60.18957345971564,50.23696682464455,1.0,0,1.8688230008984723,99.35359189657468,98.76360491897331,97.4847688956762,92.5190015367363,100.0,2,VIC,Victoria
8,20604150418,97.96428768669487,99.98868119785266,Very High,405,391,619,391,2.7925101869219326,98.45357403597264,91.86351706036746,0.0,96.9187144630835,33.58024691358025,52.8395061728395,88.14814814814815,82.46913580246914,1.6,100,1.8042963325982195,98.72301079568172,97.72260516009946,96.9187144630835,99.94351455746148,98.0928325949236,2,VIC,Victoria
9,20604150614,97.90740087429828,99.98706422611733,Very High,44,75,75,435,2.0309164995795874,99.72539324351231,100.0,0.0,98.96512292738709,11.363636363636363,75.0,77.27272727272727,72.72727272727273,1.1,100,1.0348770726129215,100.0,93.41975072545712,98.96512292738709,99.3512480790796,99.7954536044056,2,VIC,Victoria
10,20604111748,97.51670948550084,99.985447254382,Very High,147,265,2250,440,2.2370803958346808,99.40100882723831,97.1830985915493,0.0,98.4311375915206,27.89115646258503,48.29931972789115,72.78911564625851,62.58503401360544,1.8,0,1.2431593563669034,99.6742969478875,95.20325270851176,98.4311375915206,97.9565560493417,95.18198004223429,2,VIC,Victoria
12,20604150401,97.24192878828713,99.98221331091132,Very High,644,478,790,371,6.475163314145268,99.10897988982543,94.0099833610649,0.0,93.85629122523989,42.2360248447205,47.20496894409938,85.55900621118012,79.5031055900621,1.6,100,5.524789675733071,99.38108090097296,98.75695316332556,93.85629122523989,99.8654317398347,98.0928325949236,2,VIC,Victoria
13,20604150408,97.2072891934625,99.980596339176,Very High,819,468,803,400,5.505788758812495,99.19194265613592,94.50980392156862,0.0,94.9189263688464,38.82783882783883,47.25274725274725,88.4004884004884,84.73748473748473,1.8,100,4.545454545454544,99.46438091430096,98.2098462612976,94.9189263688464,99.95348257673298,95.18198004223429,2,VIC,Victoria
18,20604111708,96.37613687260264,99.97251148049932,Very High,631,257,814,281,2.214442791540004,99.25001659255328,94.86238532110092,0.0,98.3024017788131,27.41679873217116,38.03486529318542,58.00316957210776,50.55467511885895,1.4,100,1.2202891448174469,99.52269092363056,91.64123755913828,98.3024017788131,92.00897121734435,99.30686099954453,2,VIC,Victoria
