rank,SA1_CODE_2021,gentrification_risk_score,gentrification_risk_percentile,risk_category,total_population,median_personal_income,median_household_income,median_rent_weekly,income_percentile,education_percentile,pct_year12,pct_tertiary,edu_income_mismatch,pct_young_professionals,pct_age_20_24,pct_overseas_born,pct_non_english,avg_household_size,rental_stress,income_component,education_component,youth_component,mismatch_component,diversity_component,density_component,state_code,state,state_name
62,50301103504,93.13743407879174,99.90136472414464,Very High,494,533,1013,340,11.231485673630424,99.12391318776132,94.11764705882352,0.0,89.0660904224441,43.522267206477736,25.30364372469636,63.76518218623482,53.44129554655871,2.1,100,10.329984480927877,99.39607490337198,96.75643765226285,89.0660904224441,94.3913278232338,84.26649000041407,5,WA,Western Australia
67,50301103507,92.26030136116918,99.89327986546796,Very High,319,576,1027,310,15.44612250177867,99.14299462401274,94.23076923076924,0.0,84.82730611096245,52.97805642633229,14.733542319749215,70.21943573667711,63.94984326018809,2.1,100,14.587927795474965,99.41523390643742,97.80907798352028,84.82730611096245,97.79540640445236,84.26649000041407,5,WA,Western Australia
120,50607114608,89.06526655007227,99.80758036349523,Very High,264,369,553,172,2.6445572731388656,93.2742085352094,84.78260869565217,0.0,91.86776779935742,23.10606060606061,29.545454545454547,42.80303030303031,35.60606060606061,1.8,100,1.6548231642571267,93.52259096361456,81.23622878713552,91.86776779935742,80.55903974747685,95.18198004223429,5,WA,Western Australia
133,50301103524,88.39651721975295,99.7865597309359,Very High,627,281,1292,320,2.298525321777376,99.41926063582665,97.95918367346938,0.0,98.3873873059614,15.151515151515152,34.609250398724086,39.71291866028708,29.02711323763955,1.7,0,1.3052356448582867,99.69262295081968,66.90917859132446,98.3873873059614,75.82256925696723,96.97486646515672,5,WA,Western Australia
165,50301103506,86.6841786605205,99.7348166354052,Very High,421,623,1625,420,20.88804087704547,98.86672861219884,93.125,0.0,79.05208156874471,43.705463182897866,20.19002375296912,59.85748218527316,53.20665083135392,2.5,0,20.085763293310464,99.13784486205518,95.93827170758884,79.05208156874471,93.2699256551896,58.33712889735414,5,WA,Western Australia
181,50501107719,86.04168063719398,99.70894508763986,Very High,758,595,1299,328,17.496442662182265,91.26402070750646,83.05597579425114,0.0,74.844916113437,40.105540897097626,26.912928759894463,53.16622691292877,30.07915567282322,2.0,0,16.659315527240054,91.50423164067703,95.84681006743216,74.844916113437,82.68887319848818,88.8973541468262,5,WA,Western Australia
184,50603112412,85.88048157835362,99.70409417243388,Very High,241,291,0,0,2.3260138412780544,99.20355744341938,94.56066945606696,0.0,98.14303630014136,15.767634854771783,57.67634854771784,58.92116182572615,46.47302904564315,0.0,0,1.333006616025484,99.47604291616685,90.03317563129319,98.14303630014136,91.00718528055822,0.0,5,WA,Western Australia
217,50302129716,84.22605386522712,99.65073410516784,Very High,534,725,2781,480,35.97923808291831,97.65796110705516,90.16786570743405,0.0,62.59213720376427,47.00374531835206,29.962546816479403,52.24719101123596,38.57677902621723,1.8,0,35.33202646410193,97.9241636678662,98.1416657659081,62.59213720376427,85.76566848029239,95.18198004223429,5,WA,Western Australia
224,50603112426,84.01741598440258,99.63941530302051,Very High,705,563,1687,375,13.94153030205032,97.25393243512312,89.4648829431438,0.0,84.4506170822531,48.65248226950354,30.92198581560284,70.63829787234043,58.723404255319146,3.4,0,13.06787552070571,97.51849260295882,98.50086057088696,84.4506170822531,97.0644183245421,5.00269139994203,5,WA,Western Australia
244,50603112432,83.16625127699129,99.60707586831384,Very High,584,607,1551,330,18.899165642584567,96.58193402800823,88.4861407249467,0.0,78.76731064496525,46.06164383561644,29.62328767123288,67.12328767123287,55.821917808219176,3.0,0,18.076451850036754,96.843762495002,97.92880958517988,78.76731064496525,95.69547701125556,20.193780795826257,5,WA,Western Australia
247,50301103522,83.05601952543462,99.60222495310782,Very High,1016,228,0,0,2.122275402625962,99.41760138050044,97.92746113989638,0.0,98.56378223847274,12.696850393700789,50.88582677165354,46.8503937007874,34.3503937007874,0.0,0,1.1271747120803726,99.69095695055312,81.69686286574263,98.56378223847274,81.80836482950534,0.0,5,WA,Western Australia
286,50603112750,81.9048228491643,99.5391630554298,Very High,294,752,1531,350,41.02499838302827,96.48901572974049,88.3248730964467,0.0,56.32083322025268,58.16326530612245,21.7687074829932,61.90476190476191,56.4625850340136,2.1,0,40.42963325982194,96.75046648007462,99.1377661741596,56.32083322025267,94.68870706483364,84.26649000041407,5,WA,Western Australia
297,50302129523,81.6582721931149,99.52137636634112,Very High,522,664,938,231,26.33319319578294,83.48626136589898,77.53623188405797,0.0,58.1079894269524,53.44827586206896,9.961685823754788,64.17624521072797,54.98084291187739,1.4,0,25.58686596422445,83.69485539117686,97.38170268315194,58.1079894269524,94.90135814262574,99.30686099954453,5,WA,Western Australia
314,50603112427,81.39226165431776,99.49388784684044,Very High,95,630,1875,350,21.86307483345191,99.29481648636092,95.23809523809524,0.0,78.49685695435133,43.15789473684211,11.578947368421051,61.05263157894737,61.05263157894737,3.2,0,21.070815976476357,99.56767293082768,93.4721333011832,78.49685695435133,95.56090875109024,10.590865802658271,5,WA,Western Australia
315,50302129612,81.30295640751496,99.4922708751051,Very High,466,667,2125,425,26.743095530690127,93.4326674188624,84.93150684931507,0.0,67.68071383714747,51.07296137339056,16.09442060085837,46.56652360515021,22.317596566523605,2.4,0,26.000980151923557,93.68169398907102,97.5380189408742,67.68071383714747,75.894006728413,65.88547058092831,5,WA,Western Australia
329,50302129712,80.79530185772897,99.46963327081043,Very High,924,726,1683,390,36.33497186469181,89.50189155107188,81.69209431345354,0.0,54.04352385485403,55.51948051948053,27.164502164502164,55.1948051948052,42.2077922077922,1.6,0,35.69141550273626,89.73493935759029,99.15106968545513,54.04352385485402,88.22776924035387,98.0928325949236,5,WA,Western Australia
333,50603112429,80.69385314376441,99.4631653838691,Very High,245,565,1531,355,14.141226311364075,86.70936483706113,79.6875,0.0,73.66143745066705,40.81632653061224,19.18367346938776,54.69387755102041,49.38775510204081,2.7,0,13.269623458302702,86.93106090896976,94.3834238249258,73.66143745066705,90.65415126469244,42.11419816984802,5,WA,Western Australia
450,50603112751,78.56274881681567,99.273979690835,Very High,374,822,1317,340,53.474063773365245,96.3380234950554,88.11188811188812,0.0,43.5922444303337,59.35828877005348,16.31016042780749,70.58823529411765,66.57754010695187,1.9,0,53.00661602548396,96.59886045581766,98.95816877167016,43.5922444303337,98.2024338580388,92.558486191048,5,WA,Western Australia
457,50603112407,78.4770011391176,99.26266088868768,Very High,333,542,1158,340,12.011674535929112,79.55797438109776,75.09293680297398,0.0,68.63240977398145,33.933933933933936,15.915915915915916,55.25525525525525,51.051051051051054,2.4,0,11.118189986114512,79.75059976009597,87.0939311044409,68.63240977398145,91.31037920006644,65.88547058092831,5,WA,Western Australia
461,50302103919,78.44126421242083,99.25619300174633,Very High,404,384,3892,645,2.7391501196559083,96.39609743147275,88.18443804034582,0.0,94.9067824883442,19.8019801980198,29.207920792079207,32.67326732673268,25.247524752475247,3.4,0,1.7503879768030708,96.65717046514727,73.3489095278085,94.9067824883442,68.8781824978195,5.00269139994203,5,WA,Western Australia
