rank,SA1_CODE_2021,state,gentrification_risk_score,local_morans_i,spatial_lag,lisa_category,total_population,median_personal_income,pct_year12,pct_young_professionals,edu_income_mismatch
10003,12702151156,NSW,53.69911744065415,0.47754192023802877,59.245499994783835,LL (Coldspot),284,484,66.66666666666666,20.070422535211268,57.95421931692894
10002,21005154529,VIC,53.69965258147626,0.5318815696179889,58.88402439720176,LL (Coldspot),340,496,62.65060240963856,25.294117647058822,47.89140702454621
9998,21101144617,VIC,53.70335457404097,1.2517769916745904,54.09421724706589,LL (Coldspot),603,701,65.72668112798264,28.855721393034827,30.80070981490601
9997,21202129712,VIC,53.7038824417252,0.6675209945498591,57.980062962591774,LL (Coldspot),380,605,68.18181818181817,23.157894736842103,49.46131234674308
9994,20702142408,VIC,53.70565273007696,0.3811313576677469,59.88455253885249,LL (Coldspot),511,707,79.50617283950618,19.76516634050881,54.40795061539217
9993,21202145322,VIC,53.70709638897174,1.0855215324803125,55.196946497787934,LL (Coldspot),253,592,73.42995169082126,16.600790513833992,60.74015566525166
9992,11702132715,NSW,53.70720951896818,0.7581755192495395,57.375122078675936,LL (Coldspot),317,1424,87.4015748031496,35.646687697160885,-0.4278957778972625
9991,20605151220,VIC,53.70731505374397,0.3206214118333237,60.286726959464225,LL (Coldspot),269,1530,81.85840707964603,33.457249070631974,-7.802937634061791
9990,12702151133,NSW,53.70834167504064,0.47708014456356407,59.24521173745926,LL (Coldspot),211,474,65.359477124183,20.37914691943128,56.12749137868335
9989,12702151320,NSW,53.7095560074262,0.412122613267329,59.677134593606965,LL (Coldspot),618,464,61.88118811881188,26.375404530744333,49.496248874459845
9987,50602130904,WA,53.71283226194322,0.8241522606552808,56.93254951690133,LL (Coldspot),433,817,64.82084690553745,39.95381062355658,8.057077095650342
9986,11702163612,NSW,53.71324806485974,0.7356970794424168,57.52130589623584,LL (Coldspot),455,1330,79.56403269754769,40.43956043956044,-7.925890209137293
9984,12702151510,NSW,53.71377399182414,0.35909169035868577,60.02895712667126,LL (Coldspot),354,546,63.46153846153846,24.293785310734464,45.71252157472385
