rank,SA1_CODE_2021,state,gentrification_risk_score,local_morans_i,spatial_lag,lisa_category,total_population,median_personal_income,pct_year12,pct_young_professionals,edu_income_mismatch
1,12102157701,NSW,99.22558164722548,2.650589591575297,66.59576511638932,HH (Hotspot),3,350,100.0,133.33333333333331,98.46034468675978
2,20604111737,VIC,98.49716666290418,9.99143088335437,78.47763084987845,HH (Hotspot),1153,323,94.7935368043088,35.38594969644406,98.09794415158872
3,20604111734,VIC,98.25052365839976,9.927134607345522,78.48412145526014,HH (Hotspot),430,313,98.05825242718448,32.325581395348834,98.31317256647124
4,11703163916,NSW,98.18982951318374,7.037923864495943,73.8281954080926,HH (Hotspot),750,425,94.01197604790418,42.66666666666667,97.06795477512662
5,20604150414,VIC,98.0803067415578,14.822501708862815,86.5201752187896,HH (Hotspot),1329,414,93.70229007633588,35.59066967644846,97.2300492936861
7,20604111736,VIC,97.96550928138984,9.852766691217193,78.49162183360251,HH (Hotspot),211,397,93.86503067484662,45.49763033175356,97.4847688956762
8,20604150418,VIC,97.96428768669487,14.776499703285094,86.52380081425406,HH (Hotspot),405,391,91.86351706036746,33.58024691358025,96.9187144630835
9,20604150614,VIC,97.90740087429828,2.8483038338098026,67.07389487387876,HH (Hotspot),44,75,100.0,11.363636363636363,98.96512292738709
10,20604111748,VIC,97.51670948550084,9.735513275640395,78.50343235454696,HH (Hotspot),147,265,97.1830985915493,27.89115646258503,98.4311375915206
11,60105102722,TAS,97.35660718504066,0.8577142095803569,63.843719682972896,HH (Hotspot),433,325,96.81372549019608,36.25866050808314,98.24056544987984
12,20604150401,VIC,97.24192878828713,14.489755183271768,86.54637452982931,HH (Hotspot),644,478,94.0099833610649,42.2360248447205,93.85629122523989
13,20604150408,VIC,97.2072891934625,14.475990663585208,86.54745701716759,HH (Hotspot),819,468,94.50980392156862,38.82783882783883,94.9189263688464
14,40101100156,SA,97.01514357652482,9.510075263307039,78.35878518289474,HH (Hotspot),229,11,94.83568075117373,19.65065502183406,98.49918412933772
15,11703164611,NSW,96.97760468277946,9.149685179347234,77.77144318161999,HH (Hotspot),147,260,100.0,21.7687074829932,98.7707261292167
16,40101100159,SA,96.86433404337517,9.471253008424371,78.36322075739913,HH (Hotspot),332,362,88.88888888888889,37.65060240963856,95.49989793349997
17,12602150024,NSW,96.74135676319833,2.9291947320244414,67.36865106414636,HH (Hotspot),400,402,98.86363636363636,18.5,97.7849180102524
18,20604111708,VIC,96.37613687260264,9.436704532324807,78.53344742330744,HH (Hotspot),631,257,94.86238532110092,27.41679873217116,98.3024017788131
19,40101100146,SA,96.1825306798888,9.295451306185594,78.38327379750167,HH (Hotspot),354,397,89.42307692307693,33.05084745762712,95.62384659792866
20,30501111030,QLD,96.04440016473386,3.937144517194053,69.20927481754073,HH (Hotspot),256,345,91.34615384615384,22.265625,97.01472314774163
21,40101100153,SA,95.765887422244,9.18778847277016,78.39552801096181,HH (Hotspot),235,49,92.76018099547512,18.29787234042553,98.0136098790901
22,30501110532,QLD,95.70532306396848,5.2097970039862,71.49528383710995,HH (Hotspot),480,412,94.98861047835992,31.25,97.48341743919929
23,40101100160,SA,95.60077228602935,9.145073115902802,78.40038433849755,HH (Hotspot),414,516,92.51336898395722,44.68599033816425,89.99856007935793
24,20604111743,VIC,95.48574529001851,9.202617775748939,78.55687878074386,HH (Hotspot),957,523,91.72335600907029,52.35109717868338,89.10152311696412
25,20604150404,VIC,95.44200354775808,13.772817566864703,86.60262219359585,HH (Hotspot),743,518,92.03007518796991,50.74024226110363,89.66852036445897
26,30501110522,QLD,95.4242139803019,5.172464991808489,71.50699671559606,HH (Hotspot),727,461,90.76246334310852,39.0646492434663,94.2432364226571
27,20604150411,VIC,95.34825473899176,13.73538030420021,86.60555184386979,HH (Hotspot),692,507,90.1081916537867,44.21965317919075,89.5467591367439
28,11703163806,NSW,95.3438009870314,-0.06051737703357228,62.313700933500535,HH (Hotspot),253,269,100.0,29.64426877470356,98.74213836477988
29,20604111719,VIC,95.12038271399766,9.106354559042956,78.56649358537598,HH (Hotspot),434,552,93.68932038834951,55.99078341013824,87.26014098975291
30,40101100139,SA,95.04394136981318,9.00081679149291,78.41676171838624,HH (Hotspot),301,303,85.43307086614173,34.88372093023256,92.85240290063832
31,21205156723,VIC,94.98432748207954,11.492821167516077,82.88300911759774,HH (Hotspot),250,557,93.5064935064935,56.8,86.77404199636814
32,20604150426,VIC,94.93194941777872,13.569020207538214,86.6185613851577,HH (Hotspot),518,541,92.22462203023758,42.85714285714285,87.82634691773866
33,20703116357,VIC,94.76577303164969,5.873467713331255,72.94852502935001,HH (Hotspot),767,530,90.93799682034977,53.063885267275104,88.2316898855095
34,30501111035,QLD,94.71501611157036,3.8089079300783566,69.25851126395419,HH (Hotspot),1444,417,92.2211808809747,31.786703601108037,96.71547565732344
35,20604150316,VIC,94.7018562202316,6.5808538615203025,74.23987819922085,HH (Hotspot),438,495,88.02228412256268,45.662100456621005,89.11392569493479
36,11703164612,NSW,94.6588031066961,8.600206441376624,77.88738326042414,HH (Hotspot),408,492,91.74917491749174,42.40196078431372,91.64031108131768
37,11802156418,NSW,94.57981758494203,1.7353877489695522,65.54896155399032,HH (Hotspot),1206,216,96.95780176643768,16.500829187396352,98.56898117172308
38,20604150410,VIC,94.52565449484094,13.406480236233705,86.6312581014995,HH (Hotspot),272,555,94.76439790575915,57.35294117647059,87.1928723813913
39,20604111744,VIC,94.48301186497076,8.938134394270604,78.58326650245564,HH (Hotspot),268,538,89.45147679324894,54.1044776119403,86.72689026978443
40,30908155908,QLD,94.3654934577446,-0.22255395205470674,62.016345540647976,HH (Hotspot),622,295,93.15068493150685,25.723472668810288,97.7951177611125
