Suburb_Name,SAL_CODE_2021,Value_Score,Undervalued_Score,Quality_Index,Price_Index,Education_Index,Employment_Index,Demographics_Index,Density_Index,Tertiary_Pct,Median_tot_prsnl_inc_weekly,Median_age_persons,Average_household_size,Density_per_sqkm,Total_Population,Median_mortgage_repay_monthly,Median_rent_weekly,Mortgage_to_Income_Ratio,Median_tot_hhd_inc_weekly,Volunteer_Pct,P_Tot_Volunteer,P_Tot_Tot
Pearl Beach,SAL13182,8007.167514080967,25.563909774436087,3606.810271781905,44.04477101845522,77.3069036226931,6141.490088858511,6928.571428571429,60.1887792979107,49.21465968586388,872,64,2.0,405.663378937321,510,2167,488,0.5734827099505999,1761,32.98538622129436,158,479
Tathra,SAL13789,3966.233108390965,49.077238550922765,3237.9969241285035,80.6390977443609,60.08202323991798,4002.0505809979495,8071.4285714285725,10.0,38.35164835164836,746,56,2.0,73.55703922078673,1527,1603,320,0.4958754382346876,1221,32.06162876008804,437,1363
Ganmain,SAL11589,3062.57000407422,58.71496924128503,3031.441900205058,97.9835953520164,10.66302118933698,1934.3814080656184,9785.714285714286,10.0,15.542521994134898,623,48,2.4,1.802811112227606,793,867,200,0.3211507593530066,1175,31.211180124223603,201,644
Lockhart,SAL12378,2811.19575230032,46.8215994531784,2784.784347231716,98.0604921394395,23.513328776486677,1575.5297334244704,9214.285714285716,10.0,20.48458149779736,600,51,2.2,2.0980819330849814,1019,867,195,0.3334615384615385,1111,31.182795698924732,261,837
Wallaga Lake,SAL14120,2376.563806656632,12.7136021872864,2136.763157894737,88.90977443609023,39.33697881066302,1066.3021189336978,7214.285714285716,10.0,27.27272727272727,563,62,2.0,47.84377012168782,587,1127,320,0.4619483536002186,915,30.943396226415093,164,530
Gundaroo,SAL11811,11373.868062493666,98.49624060150376,5369.196514012303,46.20642515379357,85.30416951469583,9473.684210526317,10000.0,10.0,57.41496598639456,1352,43,3.0,4.106000755264373,1233,2474,475,0.4222803823395539,3243,30.020703933747413,290,966
Pambula Beach,SAL13152,4876.805035555944,71.08680792891319,3758.0399596616944,76.05946684894053,51.26452494873548,5307.587149692413,8571.428571428572,50.182096081376656,33.251833740831295,822,54,2.1,105.46288244129973,667,1700,370,0.4772599663110612,1414,29.152542372881356,172,590
Trundle,SAL13958,2714.5732052392214,45.11278195488722,2721.308612440191,99.24812030075188,14.42241968557758,1551.6062884483936,9000.0,10.0,16.796875,599,51,2.1,0.6461534191185421,568,725,170,0.2793116733016566,1114,29.05263157894737,138,475
Kangaroo Valley,SAL12069,5813.368841986494,43.47231715652769,3592.1493506493507,60.79118250170882,73.75256322624743,4395.078605604921,9000.0,10.0,46.09375,766,54,2.3,6.912786636355928,856,2000,310,0.6025306286402892,1578,28.532608695652172,210,736
Walla Walla,SAL14115,2990.2861514811766,49.965823650034174,2898.574504442926,95.93301435406698,9.501025290498974,1671.2235133287763,9571.428571428572,10.0,15.068493150684931,605,44,2.3,2.897877510183663,811,977,230,0.3726636999364272,1166,28.421052631578945,189,665
Dorrigo,SAL11280,2747.120959064704,15.037593984962406,2338.4890635680117,84.12508544087491,35.064935064935064,1028.7081339712918,8071.4285714285725,10.0,25.442834138486315,560,56,2.0,29.94610194995005,1214,1300,300,0.5357142857142857,925,28.08880308880309,291,1036
Balranald,SAL10169,3336.5097759758683,73.88926862611072,3296.3257006151744,97.79562542720436,9.295967190704031,2997.265892002734,9571.428571428572,10.0,14.897959183673471,687,47,2.3,0.238298926939932,1240,893,200,0.2999664091367148,1197,28.063241106719367,284,1012
Coleambally,SAL10964,4156.49792224076,98.63294600136705,4146.568352699932,98.76110731373888,36.7053998632946,5625.427204374572,9785.714285714286,10.0,26.1758691206544,841,43,2.4,0.6176217456038547,1152,867,180,0.2379035946217872,1555,28.02547770700637,264,942
Wallaroo (NSW),SAL14130,13283.815207061582,95.96719070403282,5302.675666438824,38.91831852358168,68.62611073137388,9268.626110731371,10000.0,10.0,42.72445820433436,1253,43,3.0,6.325457991711015,576,2781,440,0.5121861378844619,3107,27.526881720430108,128,465
Henty (NSW),SAL11899,2805.333433754385,37.18386876281613,2673.2737525632265,94.29254955570744,24.33356117566644,1203.0075187969924,9214.285714285716,10.0,20.889748549323016,573,51,2.2,3.459259803118699,1225,1083,200,0.4361659283125251,1016,27.47572815533981,283,1030
Longueville,SAL12394,168749.97224401613,68.0792891319207,5436.217492727591,2.221462747778532,100.0,9644.565960355436,10000.0,85.65136413973623,77.45173745173746,1453,46,3.2,2130.2728279472467,2116,5000,1100,0.7941129758060247,4894,27.466820542412,476,1733
Jerilderie,SAL12023,3243.778540179442,72.59056732740943,3241.018113465482,98.9149008885851,33.69788106630212,3086.124401913876,9214.285714285716,10.0,24.634146341463413,694,51,2.2,0.6270238435677521,922,842,175,0.2799822655730437,1166,27.40447957839262,208,759
Jamberoo,SAL12007,17177.41546401874,29.93848257006152,4185.806220095694,23.368079289131916,64.11483253588517,5550.239234449761,10000.0,10.0,40.40574809805579,838,50,2.6,32.4386383244679,1910,2600,498,0.7159904534606205,2131,27.392120075046904,438,1599
Cobargo,SAL10950,2522.7463831296463,19.822282980177715,2333.721462747779,91.50717703349282,30.28024606971975,481.8865345181134,8714.285714285716,10.0,23.29113924050633,498,56,2.3,7.363005798126759,766,1020,285,0.4726598702502317,967,27.300150829562593,181,663
Kalaru,SAL12059,5449.372053278107,82.57006151742993,4064.6989063568017,73.59022556390977,53.45181134654818,5157.21120984279,10000.0,10.0,34.42982456140351,811,44,2.5,56.22484452459151,820,1733,375,0.493123399411932,1458,26.964560862865948,175,649
Wamboin,SAL14141,13203.355975180728,97.19753930280244,5374.343472317156,39.70437457279562,81.95488721804512,9494.190020505808,10000.0,10.0,53.26678765880217,1362,46,3.0,20.86058885801856,1805,2600,520,0.4405286343612334,3461,26.941255908170152,399,1481
Killcare,SAL12141,8770.679381100486,73.4107997265892,4423.587766046772,49.43609022556391,83.86876281613124,6835.269993164729,9357.14285714286,57.06949977866313,55.52147239263804,919,53,2.4,312.08499335989376,517,2167,445,0.544153343935716,1890,26.773455377574372,117,437
Berrigan,SAL10317,2617.79645754106,36.50034176349966,2583.137047163363,97.676008202324,12.098427887901572,1390.9774436090224,8642.857142857143,10.0,15.946843853820598,586,55,2.2,1.7555265406030096,1264,933,173,0.3674192701496455,980,26.746323529411764,291,1088
Table Top,SAL13737,8319.142101177898,98.15447710184552,5018.239576213261,59.3215994531784,56.9377990430622,8332.194121667808,10000.0,10.0,36.51399491094148,1052,42,3.0,8.64660646362351,1516,2167,380,0.4753582918982158,2475,26.490630323679724,311,1174
Lake Cargelligo,SAL12250,3147.0510173989974,66.09706083390294,3136.5751879699246,98.66712235133288,12.508544087491456,2282.980177717019,9785.714285714286,10.0,16.061185468451242,641,40,2.4,0.7994386263698912,1430,867,170,0.312132485299412,1158,26.410026857654433,295,1117
Northwood (NSW),SAL13034,50543.53918987057,77.85372522214628,5463.055264589364,9.808612440191396,99.93164730006836,9733.424470266576,10000.0,86.98952879581152,77.08333333333334,1526,46,3.1,2397.905759162304,916,4200,1200,0.6351446718419195,5012,26.180836707152494,194,741
Greenleigh,SAL11773,11336.486028535972,98.4278879015721,5364.141582832652,46.3174982911825,82.57006151742993,9439.507860560492,10000.0,50.121374728503895,54.25,1335,50,2.7,103.6412418551169,676,2485,465,0.4295592048401037,3263,26.101694915254235,154,590
Walcha,SAL14111,3420.1956614506744,72.79562542720439,3314.422077922078,95.9073820915926,22.624743677375257,3222.82980177717,9357.14285714286,10.0,20.22090059473237,701,49,2.2,0.7641044653987101,2475,1083,203,0.3565236475364863,1220,25.989252564728872,532,2047
Bilpin,SAL10357,10410.64325589406,13.875598086124402,3511.7597402597403,32.73239917976761,25.08544087491456,3342.4470266575527,10000.0,10.0,21.16991643454039,710,48,2.6,3.6295522255324815,653,2352,410,0.7644637053087757,1692,25.871559633027523,141,545
Loomberah,SAL12395,5552.979701383408,91.52426520847573,4256.797334244702,75.65789473684211,30.75871496924129,5820.232399179768,10000.0,10.0,23.44322344322344,849,40,2.9,1.83050092055626,552,1813,300,0.4927969556944822,2086,25.821596244131456,110,426
Riverview (NSW),SAL13385,83117.70619810982,71.90704032809296,5425.944313363274,5.528024606971968,99.52153110047848,9610.389610389611,10000.0,86.47313944165026,75.63676633444075,1417,42,3.2,2294.6278883300533,3148,4333,1000,0.7056620161771892,4731,25.396825396825395,624,2457
Castlecrag,SAL10848,76500.3782575939,73.00068352699932,5431.892886807148,6.100478468899524,99.65823650034176,9630.895420369105,10000.0,84.84526497542835,75.98204264870931,1446,47,3.0,1969.0529950856687,2965,4333,1010,0.6915097350781998,4675,25.205592105263158,613,2432
