SAL_CODE_2021,Suburb,Median_age_persons,Median_tot_prsnl_inc_weekly,Median_tot_hhd_inc_weekly,Median_mortgage_repay_monthly,Median_rent_weekly,Average_household_size,owned_outright,owned_mortgage,renting_total,renting_private,renting_social,total_dwellings,pct_owned_outright,pct_owned_mortgage,pct_renting,pct_renting_social,mortgage_stress_ratio,mortgage_stress_level,high_mortgage_count,rent_stress_ratio,rent_stress_level,high_rent_count,pct_apartments,pct_houses,pct_small_dwellings,Average_num_psns_per_bedroom,pct_low_income,pct_high_income,single_parent_families,total_households,pct_young_adults,pct_families_age,pct_retirees,total_population,homeownership_lockout_score,family_lockout_score,first_buyer_lockout_score,crisis_score
SAL10002,SAL10002,42,846,2621,2216,550,3.3,576,499,128,91,0,1233,46.7,40.5,10.4,0.0,19.5,Manageable (<30%),308,21.0,Manageable (<30%),185,0.0,98.1,0.0,0.8,22.9,48.7,309,1233,27.6,24.0,32.8,4200,21.3,12.5,22.4,16.8
SAL10003,SAL10003,47,1179,2263,3000,550,2.3,847,535,825,553,179,2267,37.4,23.6,36.4,7.9,30.6,Moderate (30-40%),484,24.3,Manageable (<30%),1145,54.6,28.7,5.3,0.9,35.2,49.9,462,2267,18.2,27.7,39.4,5431,31.8,17.7,34.4,27.6
SAL10004,SAL10004,39,1029,2202,1733,393,2.8,143,188,59,40,3,388,36.9,48.5,15.2,0.8,18.2,Manageable (<30%),36,17.8,Manageable (<30%),28,0.0,96.1,0.0,0.7,20.6,32.2,100,388,21.6,27.2,28.2,1127,22.0,10.9,21.3,16.2
SAL10006,SAL10006,36,640,1251,1421,303,2.5,293,332,346,260,16,990,29.6,33.5,34.9,1.6,26.2,Manageable (<30%),20,24.2,Manageable (<30%),22,1.2,80.2,2.1,0.8,57.8,9.8,382,990,27.7,23.5,28.2,2542,33.8,21.0,33.1,29.4
SAL10007,SAL10007,41,716,1426,1517,280,2.4,309,300,198,100,17,827,37.4,36.3,23.9,2.1,24.5,Manageable (<30%),36,19.6,Manageable (<30%),0,0.0,89.7,3.4,0.7,51.1,13.3,158,827,23.7,24.4,33.1,2051,26.4,18.5,28.1,24.5
SAL10009,SAL10009,32,881,2147,1950,430,3.0,472,969,679,602,24,2143,22.0,45.2,31.7,1.1,21.0,Manageable (<30%),194,20.0,Manageable (<30%),513,0.5,92.3,0.2,0.8,24.7,23.1,623,2143,28.6,27.2,18.8,6552,32.2,12.6,29.1,21.5
SAL10010,SAL10010,37,667,1449,1430,320,2.7,314,383,170,109,0,892,35.2,42.9,19.1,0.0,22.8,Manageable (<30%),42,22.1,Manageable (<30%),11,1.0,95.3,2.0,0.9,52.2,9.8,288,892,25.0,24.2,28.4,2544,25.8,19.5,25.6,24.2
SAL10011,SAL10011,37,737,2069,1560,360,3.0,28,59,8,5,0,103,27.2,57.3,7.8,0.0,17.4,Manageable (<30%),0,17.4,Manageable (<30%),0,0.0,101.0,0.0,0.9,31.1,13.6,27,103,25.9,32.2,23.0,317,20.8,13.2,18.8,16.3
SAL10014,SAL10014,36,1055,2796,2484,540,3.2,232,650,227,187,0,1125,20.6,57.8,20.2,0.0,20.5,Manageable (<30%),392,19.3,Manageable (<30%),373,0.3,85.0,0.0,0.9,17.3,45.5,260,1125,25.7,31.8,20.1,3668,27.0,11.0,23.6,17.9
SAL10015,SAL10015,52,588,954,1083,300,2.0,71,29,20,11,0,131,54.2,22.1,15.3,0.0,26.2,Manageable (<30%),0,31.4,Moderate (30-40%),3,0.0,96.9,4.6,0.6,71.8,10.7,9,131,15.9,23.3,48.1,339,23.3,26.4,26.0,29.1
SAL10016,SAL10016,36,925,1875,2100,395,2.4,686,781,1001,672,105,2531,27.1,30.9,39.5,4.1,25.8,Manageable (<30%),304,21.1,Manageable (<30%),694,14.8,67.7,4.9,0.8,38.5,26.8,562,2531,31.6,25.7,25.6,6335,35.7,17.1,35.4,26.6
