SAL_CODE_2021,Suburb,Median_age_persons,Median_tot_prsnl_inc_weekly,Median_tot_hhd_inc_weekly,Median_mortgage_repay_monthly,Median_rent_weekly,Average_household_size,owned_outright,owned_mortgage,renting_total,renting_private,renting_social,total_dwellings,pct_owned_outright,pct_owned_mortgage,pct_renting,pct_renting_social,mortgage_stress_ratio,mortgage_stress_level,high_mortgage_count,rent_stress_ratio,rent_stress_level,high_rent_count,pct_apartments,pct_houses,pct_small_dwellings,Average_num_psns_per_bedroom,pct_low_income,pct_high_income,single_parent_families,total_households,pct_young_adults,pct_families_age,pct_retirees,total_population,homeownership_lockout_score,family_lockout_score,first_buyer_lockout_score,crisis_score,affordability_score
SAL41086,SAL41086,44,838,1260,498,150,2.2,47,26,16,0,0,113,41.6,23.0,14.2,0.0,9.1,Manageable (<30%),0,11.9,Manageable (<30%),0,0.0,100.9,0.0,0.7,55.8,7.1,10,113,22.4,29.6,33.3,321,19.6,16.1,20.1,17.5,93.9
SAL20631,SAL20631,42,853,1662,1000,180,2.4,40,38,21,0,0,116,34.5,32.8,18.1,0.0,13.9,Manageable (<30%),8,10.8,Manageable (<30%),0,0.0,102.6,0.0,0.7,30.2,20.7,11,116,28.9,25.4,35.4,311,22.8,10.7,23.5,15.4,93.1
SAL21084,SAL21084,47,870,2092,1400,160,2.8,102,98,20,5,0,233,43.8,42.1,8.6,0.0,15.4,Manageable (<30%),26,7.6,Manageable (<30%),0,0.0,100.0,0.0,0.7,29.2,31.8,34,233,19.6,25.7,38.0,685,15.3,9.5,18.4,12.9,93.1
SAL50564,SAL50564,39,697,1458,680,200,2.6,75,60,53,4,10,197,38.1,30.5,26.9,5.1,10.8,Manageable (<30%),0,13.7,Manageable (<30%),0,0.0,102.0,0.0,0.7,56.3,16.2,14,197,22.0,24.8,32.7,568,25.5,16.8,23.7,21.0,93.0
SAL30276,SAL30276,42,863,1963,1192,190,2.6,62,34,13,3,0,115,53.9,29.6,11.3,0.0,14.0,Manageable (<30%),0,9.7,Manageable (<30%),0,0.0,100.0,0.0,0.7,33.9,18.3,15,115,25.4,22.6,35.1,319,17.1,11.1,21.1,14.3,92.9
SAL21589,SAL21589,53,634,1233,529,130,2.2,64,31,19,0,4,118,54.2,26.3,16.1,3.4,9.9,Manageable (<30%),0,10.5,Manageable (<30%),0,0.0,96.6,2.5,0.7,55.1,0.0,17,118,16.4,20.4,49.6,274,17.5,16.3,19.4,17.6,92.7
SAL20718,SAL20718,55,578,1163,620,153,2.1,76,41,7,0,0,130,58.5,31.5,5.4,0.0,12.3,Manageable (<30%),0,13.2,Manageable (<30%),0,0.0,100.8,0.0,0.7,52.3,9.2,7,130,16.1,22.1,53.8,299,13.5,15.8,16.6,16.3,92.5
SAL21668,SAL21668,39,938,2441,1950,100,3.3,36,63,6,0,0,111,32.4,56.8,5.4,0.0,18.4,Manageable (<30%),6,4.1,Manageable (<30%),0,0.0,100.0,3.6,0.9,14.4,41.4,4,111,20.7,28.7,24.2,397,14.3,7.0,17.4,10.2,92.5
SAL21175,SAL21175,38,768,1894,1725,100,2.9,56,54,4,0,0,111,50.5,48.6,3.6,0.0,21.0,Manageable (<30%),18,5.3,Manageable (<30%),0,0.0,104.5,2.7,0.8,29.7,23.4,16,111,24.4,26.8,27.7,365,12.9,9.9,19.5,13.0,92.5
SAL30281,SAL30281,31,1268,2358,1083,220,2.6,158,336,907,439,79,1492,10.6,22.5,60.8,5.3,10.6,Manageable (<30%),22,9.3,Manageable (<30%),75,4.9,93.0,0.9,0.8,21.0,35.1,349,1492,32.0,30.8,13.7,4702,42.4,8.9,36.6,21.5,92.4
SAL31395,SAL31395,45,747,1333,661,150,2.3,53,42,47,0,9,157,33.8,26.8,29.9,5.7,11.4,Manageable (<30%),0,11.3,Manageable (<30%),0,0.0,98.7,2.5,0.7,42.7,14.0,43,157,23.1,21.2,36.8,429,26.6,14.1,25.5,19.1,92.4
SAL11749,SAL11749,42,759,1406,815,160,2.8,46,31,19,0,0,109,42.2,28.4,17.4,0.0,13.4,Manageable (<30%),10,11.4,Manageable (<30%),0,0.0,102.8,3.7,0.8,43.1,7.3,23,109,21.4,25.1,35.8,299,20.4,14.8,22.0,17.3,92.4
