Suburb,single_parent_families,pct_small_dwellings,Average_num_psns_per_bedroom,rent_stress_ratio,family_lockout_score
SAL20289,4,5.5,0.8,162.5,60.0
SAL12381,4,64.2,1.0,37.7,58.7
SAL21417,0,15.7,0.8,133.6,53.2
SAL40133,11,62.9,1.1,31.7,53.0
SAL50467,10,64.0,1.1,37.6,52.7
SAL30299,4,64.9,1.2,30.7,50.4
SAL20709,3,74.7,1.0,29.8,48.8
SAL30457,14,41.1,1.1,40.3,46.1
SAL13762,15,38.9,1.0,35.6,45.0
SAL70290,0,62.5,1.2,26.6,45.0
SAL21477,6,54.9,1.1,35.9,44.3
SAL33224,4,45.7,0.9,20.4,43.9
SAL10904,107,37.1,1.0,34.1,43.8
SAL32516,79,38.2,1.0,24.8,43.6
SAL14053,20,29.4,1.0,45.9,43.2
SAL11292,10,33.0,0.9,43.0,42.9
SAL14006,9,54.5,1.1,29.3,42.8
SAL41624,15,35.6,0.8,28.4,42.5
SAL13907,33,41.7,1.0,31.7,42.3
SAL11391,16,30.8,0.9,31.2,41.9
