Suburb,pct_young_adults,pct_renting,rent_stress_ratio,Median_rent_weekly,homeownership_lockout_score
SAL21195,76.2,96.2,11.2,260,67.1
SAL12076,66.8,100.0,10.6,254,66.5
SAL70216,49.5,100.0,17.5,259,65.2
SAL10906,68.4,76.0,32.4,520,62.9
SAL22124,49.8,98.3,10.6,265,62.5
SAL30343,61.5,81.9,25.1,390,62.1
SAL11884,63.1,75.6,33.7,650,62.0
SAL33156,34.0,97.1,17.5,120,60.9
SAL32503,29.1,102.6,12.5,115,60.6
SAL31074,57.7,80.6,24.1,400,60.5
SAL12661,58.9,78.7,27.6,215,60.4
SAL70258,42.9,97.5,9.1,260,60.3
SAL31379,33.5,95.5,16.9,150,60.0
SAL70011,47.0,95.8,6.8,70,59.8
SAL30592,30.7,99.0,12.6,100,59.5
SAL70267,44.2,79.6,28.7,125,59.3
SAL70089,43.0,93.6,10.0,254,59.0
SAL20495,64.3,72.3,28.3,365,58.9
SAL32131,35.9,93.2,13.5,125,58.5
SAL31394,33.9,96.2,9.6,128,58.1
