,Value
Total_SA2_Areas_Analyzed,2355.0
Total_Population,25421142.0
Total_High_Value_Professionals,9062463.0
Total_Managers,3290316.0
Total_Professionals,5772147.0
Total_White_Collar_Workers,12112084.0
Total_Professional_Industry_Workers,1917916.0
Number_of_Employment_Clusters,363.0
Number_of_Emerging_Clusters,4.0
Average_Professional_Density_per_1000,354.15017029447387
Median_Opportunity_Score,29.355433133844905
Highest_Opportunity_Score,63.827426200937275
Average_Demand_Gap_Index,20.8797505125973
