SA2_Code,Population,High_Value_Professionals,Managers,Professionals,Professional_Density_per_1000,Professional_Industry_Workers,Commercial_Density_Proxy,Median_Weekly_Income,Opportunity_Score,Demand_Gap_Index
117031330,19126,18113,5695,12418,946.99,3359,10439.2,1669,60.43,31.89
122011419,22438,17080,6373,10707,761.17,1990,11841.2,1568,52.52,22.1
118011340,20705,16033,5593,10440,774.32,1909,11788.4,1551,51.07,21.61
206071517,17671,15911,4932,10979,900.35,2292,5980.5,1509,58.73,49.08
121031408,24599,15629,5209,10420,635.33,1715,4835.8,1200,52.68,46.94
118021651,19521,15361,5035,10326,786.86,2261,10750.7,1571,51.53,25.52
206061136,19119,15278,4893,10385,799.06,2071,10627.0,1343,50.9,26.12
121041414,17916,15144,4767,10377,845.23,2191,10537.0,1593,52.57,26.98
117031331,20262,14922,4293,10629,736.42,2365,10606.1,1230,48.99,25.01
305031128,18016,14789,4577,10212,820.84,2039,16800.7,1405,45.25,0.21
117031333,18187,14716,5040,9676,809.1,2989,16578.3,1534,46.29,1.13
117021327,19898,14446,4024,10422,725.97,2900,6573.1,1247,52.1,40.14
121041413,18905,14383,5233,9150,760.76,1853,10136.0,1553,49.66,26.65
118011339,19055,14015,4673,9342,735.46,1785,9721.4,1472,48.65,27.48
121011399,21294,13962,4378,9584,655.65,2064,8523.9,1229,47.51,30.62
208011169,22758,13829,5727,8102,607.63,1314,3025.4,1265,50.84,49.13
208021174,24896,13803,4899,8904,554.4,1986,3173.2,970,49.14,47.0
208021177,22362,13780,4267,9513,616.2,1458,6128.4,1110,47.78,38.21
122031429,21828,13482,5263,8219,617.62,1898,7482.5,1295,47.01,32.95
121041416,17183,13428,4504,8924,781.42,1842,12315.5,1551,46.64,17.49
121031407,22433,13395,4338,9057,597.08,1419,5587.0,1070,47.13,38.97
126021500,23818,13367,3242,10125,561.19,1854,9728.2,900,42.46,24.07
117031336,15828,13362,4086,9276,844.15,2102,10100.5,1442,49.68,26.85
208041194,20239,13353,4548,8805,659.73,1423,6209.4,1264,48.33,38.16
208041195,21923,13230,4439,8791,603.45,1456,3332.3,1057,48.99,46.59
207011149,21232,13022,4439,8583,613.29,1396,2299.5,1051,49.71,49.96
122011418,20732,12954,5431,7523,624.8,1403,2472.5,1282,50.39,49.55
125011710,20412,12952,3927,9025,634.5,1565,16661.4,1150,37.66,0.66
118011345,14793,12594,4096,8498,851.29,1593,4878.3,1651,53.44,46.3
120021675,17532,12423,4213,8210,708.55,2313,3681.4,1377,51.2,46.58
126011496,21737,12402,3900,8502,570.52,1704,1447.7,1045,48.85,49.92
116021632,25130,12348,3608,8740,491.35,2156,2509.1,1166,46.89,43.95
120011383,23113,12212,4878,7334,528.34,1732,6496.4,1056,43.27,32.31
115011290,24726,12187,3903,8284,492.86,1877,2179.8,974,46.2,44.62
121031410,21665,12139,4621,7518,560.28,1240,2720.2,1070,46.86,44.88
206021112,18919,12118,3473,8645,640.49,2401,3620.8,1041,48.43,44.22
209031209,23444,11990,4423,7567,511.41,2018,876.9,984,47.55,48.69
206041509,16101,11924,3209,8715,740.53,1705,15689.3,1152,39.17,4.09
120031394,17948,11875,3561,8314,661.6,2482,8159.3,1197,45.01,29.1
121031411,20251,11873,4236,7637,586.26,1373,2518.5,1074,47.23,45.69
503021042,17527,11852,2851,9001,676.18,1156,5015.0,1203,46.95,39.94
117031640,14667,11842,3316,8526,807.34,2396,5132.4,1310,50.99,42.78
401071024,20998,11840,3529,8311,563.84,1791,2895.5,968,46.38,43.74
120021387,15579,11815,4434,7381,758.34,1576,4161.4,1592,50.85,44.96
120011386,20933,11806,4614,7192,563.96,1867,6961.8,1148,43.32,30.95
115011291,21683,11785,4008,7777,543.49,1693,1241.1,1013,47.43,48.12
118011341,17720,11728,3940,7788,661.81,1582,7565.5,1354,45.04,30.86
203031053,24607,11667,4261,7406,474.11,2070,97.6,1001,47.07,48.85
128011604,24374,11655,4620,7035,478.15,2210,10313.6,1124,38.5,19.11
504011045,24523,11647,3681,7966,474.92,2466,448.5,964,46.87,47.81
120011385,18366,11576,4490,7086,630.26,1706,5718.1,1296,45.74,35.98
207031161,22106,11465,3482,7983,518.61,1741,1306.2,900,46.06,46.28
118021569,16206,11379,3490,7889,702.1,1548,8786.5,1402,44.34,27.03
314011386,24313,11352,3580,7772,466.89,3099,37.1,1023,47.2,47.91
505021089,22602,11330,3808,7522,501.26,1586,330.0,977,46.5,48.21
121021403,22057,11311,3556,7755,512.78,1949,2701.5,1012,44.95,41.6
206051134,15813,11229,3606,7623,710.07,1737,9581.0,1210,43.15,24.31
303021053,17810,11156,3211,7945,626.35,1761,6813.4,1129,43.58,31.67
