SA2_Code,Suburb_Name,State,Opportunity_Score,High_Value_Professionals,Professional_Density_per_1000,Median_Weekly_Income,Demand_Gap_Index,Is_Emerging_Cluster
801051125,Duntroon,ACT,63.83,2418,1224.3,962,50.4,False
117031330,Erskineville - Alexandria,NSW,60.43,18113,946.99,1669,31.89,False
206071517,Richmond (South) - Cremorne,VIC,58.73,15911,900.35,1509,49.08,False
118011345,Paddington - Moore Park,NSW,53.44,12594,851.29,1651,46.3,True
801061131,Kingston (ACT),ACT,52.89,6222,945.59,1777,35.06,True
121031408,Lindfield - Roseville,NSW,52.68,15629,635.33,1200,46.94,False
121041414,Crows Nest - Waverton,NSW,52.57,15144,845.23,1593,26.98,False
801051051,Braddon,ACT,52.56,6205,971.96,1512,36.49,False
122011419,Manly - Fairlight,NSW,52.52,17080,761.17,1568,22.1,False
117021327,Petersham - Stanmore,NSW,52.1,14446,725.97,1247,40.14,False
118021651,Coogee - Clovelly,NSW,51.53,15361,786.86,1571,25.52,False
120021675,Leichhardt,NSW,51.2,12423,708.55,1377,46.58,False
118011340,Bondi Beach - North Bondi,NSW,51.07,16033,774.32,1551,21.61,False
117031640,Newtown (NSW),NSW,50.99,11842,807.34,1310,42.78,False
206061136,Prahran - Windsor,VIC,50.9,15278,799.06,1343,26.12,False
120021387,Balmain,NSW,50.85,11815,758.34,1592,44.96,False
208011169,Brighton (Vic.),VIC,50.84,13829,607.63,1265,49.13,False
122011418,Balgowlah - Clontarf - Seaforth,NSW,50.39,12954,624.8,1282,49.55,False
207011149,Camberwell,VIC,49.71,13022,613.29,1051,49.96,False
117031336,Surry Hills,NSW,49.68,13362,844.15,1442,26.85,False
121041413,Cremorne - Cammeray,NSW,49.66,14383,760.76,1553,26.65,False
208021174,Bentleigh - McKinnon,VIC,49.14,13803,554.4,970,47.0,False
117031331,Glebe - Forest Lodge,NSW,48.99,14922,736.42,1230,25.01,False
208041195,Malvern East,VIC,48.99,13230,603.45,1057,46.59,False
207011150,Glen Iris - East,VIC,48.96,11127,661.14,1165,50.79,False
126011496,Pennant Hills - Cheltenham,NSW,48.85,12402,570.52,1045,49.92,False
206071143,Fitzroy North,VIC,48.81,10213,799.01,1241,44.09,False
206021499,Northcote - East,VIC,48.78,10801,716.77,1130,46.54,False
801061129,Barton,ACT,48.68,1763,905.5,1775,33.88,False
120021389,Lilyfield - Rozelle,NSW,48.66,10184,736.64,1542,43.59,False
118011339,Bondi - Tamarama - Bronte,NSW,48.65,14015,735.46,1472,27.48,False
213021344,Newport,VIC,48.64,11052,589.31,1240,48.89,False
206021112,Thornbury,VIC,48.43,12118,640.49,1041,44.22,False
208041194,Malvern - Glen Iris,VIC,48.33,13353,659.73,1264,38.16,False
206011106,Brunswick East,VIC,48.3,10449,820.24,1244,39.12,False
121031409,Pymble,NSW,48.07,11087,643.77,1188,48.13,False
206011496,Brunswick - South,VIC,47.97,10300,793.28,1154,41.6,False
208021177,Caulfield - North,VIC,47.78,13780,616.2,1110,38.21,False
213031352,Yarraville,VIC,47.62,9915,641.17,1247,46.53,False
209031209,Eltham,VIC,47.55,11990,511.41,984,48.69,False
121011399,Chatswood (West) - Lane Cove North,NSW,47.51,13962,655.65,1229,30.62,False
115011291,Baulkham Hills (West) - Bella Vista,NSW,47.43,11785,543.49,1013,48.12,False
801051060,Turner,ACT,47.26,3904,873.18,1448,34.82,False
121031411,Turramurra,NSW,47.23,11873,586.26,1074,45.69,False
314011386,The Hills District,QLD,47.2,11352,466.89,1023,47.91,False
121011401,St Leonards - Naremburn,NSW,47.14,10153,852.91,1607,32.83,False
121031407,Gordon - Killara,NSW,47.13,13395,597.08,1070,38.97,False
203031053,Torquay,VIC,47.07,11667,474.11,1001,48.85,False
122031429,Freshwater - Brookvale,NSW,47.01,13482,617.62,1295,32.95,False
503021042,Subiaco - Shenton Park,WA,46.95,11852,676.18,1203,39.94,False
