SA2_CODE,Suburb_Name,State,Total_Population,Commercial_Opportunity_Score,Demand_Gap_Index
117031330,Erskineville - Alexandria,NSW,19126,60.43,31.89
206071517,Richmond (South) - Cremorne,VIC,17671,58.73,49.08
118011345,Paddington - Moore Park,NSW,14793,53.44,46.3
801061131,Kingston (ACT),ACT,6579,52.89,35.06
121031408,Lindfield - Roseville,NSW,24599,52.68,46.94
801051051,Braddon,ACT,6383,52.56,36.49
117021327,Petersham - Stanmore,NSW,19898,52.1,40.14
120021675,Leichhardt,NSW,17532,51.2,46.58
117031640,Newtown (NSW),NSW,14667,50.99,42.78
120021387,Balmain,NSW,15579,50.85,44.96
208011169,Brighton (Vic.),VIC,22758,50.84,49.13
122011418,Balgowlah - Clontarf - Seaforth,NSW,20732,50.39,49.55
207011149,Camberwell,VIC,21232,49.71,49.96
208021174,Bentleigh - McKinnon,VIC,24896,49.14,47.0
208041195,Malvern East,VIC,21923,48.99,46.59
207011150,Glen Iris - East,VIC,16829,48.96,50.79
126011496,Pennant Hills - Cheltenham,NSW,21737,48.85,49.92
206071143,Fitzroy North,VIC,12781,48.81,44.09
206021499,Northcote - East,VIC,15068,48.78,46.54
120021389,Lilyfield - Rozelle,NSW,13824,48.66,43.59
