SA2_Code,Suburb_Name,Population,Professionals,Prof_Density,Opp_Score,Demand_Gap,Is_Cluster,Is_Emerging
801051125,Duntroon,1974,2418,1224.3,63.83,50.4,False,False
801061131,Kingston (ACT),6579,6222,945.59,52.89,35.06,True,True
801051051,Braddon,6383,6205,971.96,52.56,36.49,True,False
801061129,Barton,1946,1763,905.5,48.68,33.88,False,False
801051060,Turner,4470,3904,873.18,47.26,34.82,False,False
801061064,Griffith (ACT),5328,4147,778.19,46.0,34.06,False,False
801051124,Campbell,4588,3444,750.49,45.43,33.46,False,False
801051061,Watson,6727,4595,682.97,44.53,35.76,False,False
801051054,Dickson,3292,2532,768.9,43.16,31.9,False,False
801061063,Forrest,1827,1470,804.16,42.85,31.56,False,False
