SA2_Code,Suburb_Name,Population,Professionals,Prof_Density,Opp_Score,Demand_Gap,Is_Cluster,Is_Emerging
401021004,Aldgate - Stirling,18208,10252,563.02,46.39,48.22,True,False
401071024,Unley - Parkside,20998,11840,563.84,46.38,43.74,True,False
401031011,Burnside - Wattle Park,19066,10498,550.58,45.24,45.02,True,False
403031069,Mitcham (SA),16506,9399,569.39,43.57,41.78,True,False
401071023,Goodwood - Millswood,17650,10206,578.21,43.51,38.25,True,False
401031013,Toorak Gardens,16635,9102,547.13,42.34,39.88,True,False
401041016,Rostrevor - Magill,23968,10239,427.18,41.6,38.76,False,False
401061021,Prospect,15785,8283,524.71,41.21,37.42,True,False
401051019,St Peters - Marden,13515,7781,575.69,41.12,38.05,True,False
404011093,Hindmarsh - Brompton,19076,8980,470.72,40.86,36.95,True,False
