SA2_CODE,Total_Population,Median_age_persons,Median_tot_prsnl_inc_weekly,Total_Managers,Total_Professionals,Total_White_Collar,Total_High_Value_Professionals,Professional_Density_per_1000,Total_Professional_Industry_Workers,Professional_Industry_Concentration,Total_Flats_Apartments,Total_Separate_Houses,Commercial_Density_Proxy,Commercial_Stock_Ratio,Commercial_Opportunity_Score,Demand_Gap_Index,Is_Employment_Cluster,Is_Emerging_Cluster,Score_Professional_Demand,Score_Professional_Density,Score_Industry_Concentration,Score_Commercial_Deficit,Score_Income
101021007,4343,51,760,883,741,2060,1624,373.85,521,119.94,12,3351,33.9,0.01,28.51,17.8,False,False,8.97,26.7,9.16,99.8,23.38
101021008,8517,38,975,1026,1410,3940,2436,285.98,2016,236.68,252,5389,176.4,0.03,30.6,16.76,False,False,13.45,20.43,18.07,98.95,30.0
101021009,11342,37,996,1572,2472,6129,4044,356.52,3000,264.48,4495,4358,3160.0,0.36,32.35,19.41,False,False,22.33,25.47,20.19,81.25,30.65
101021010,5085,36,1104,818,1250,3015,2068,406.61,1479,290.8,1966,1800,1376.2,0.37,32.3,18.58,False,False,11.42,29.04,22.2,91.83,33.97
101021012,12744,37,1357,3125,3536,9211,6661,522.64,4846,380.23,257,7620,183.5,0.02,45.18,36.65,True,False,36.77,37.33,29.03,98.91,41.75
101021610,6224,31,1629,1512,1981,4718,3493,561.12,2674,429.56,43,3911,30.1,0.01,42.35,29.63,False,False,19.28,40.08,32.79,99.82,50.12
101021611,16539,42,1243,3873,4164,10815,8037,485.91,4724,285.61,48,10799,43.5,0.0,45.14,39.44,True,False,44.37,34.71,21.8,99.74,38.25
101031013,2454,49,704,512,227,928,739,301.02,115,46.84,27,1945,21.9,0.01,24.46,12.77,False,False,4.08,21.5,3.58,99.87,21.66
101031014,6761,44,771,746,1095,2630,1841,272.26,668,98.79,343,5216,255.4,0.05,26.56,14.58,False,False,10.16,19.45,7.54,98.48,23.72
101031015,3472,50,794,861,493,1746,1354,389.86,460,132.45,0,2577,10.2,0.0,28.66,17.65,False,False,7.48,27.85,10.11,99.94,24.43
101031016,8035,38,912,1731,1334,3894,3065,381.41,645,80.26,1085,4402,769.7,0.14,30.23,21.07,False,False,16.92,27.24,6.13,95.43,28.06
101041017,8581,51,596,732,701,2169,1433,166.98,581,67.7,1159,5607,853.9,0.12,22.46,9.42,False,False,7.91,11.93,5.17,94.93,18.34
101041018,8938,54,638,788,1155,2758,1943,217.36,613,68.58,733,6336,541.0,0.08,24.63,12.71,False,False,10.73,15.53,5.24,96.79,19.63
101041019,8872,46,704,802,1530,3141,2332,262.82,553,62.32,224,6714,181.4,0.03,26.51,15.65,False,False,12.87,18.77,4.76,98.92,21.66
101041020,9557,51,603,1577,1332,3740,2909,304.35,485,50.74,10,7346,42.1,0.01,27.85,18.85,False,False,16.06,21.74,3.87,99.75,18.55
101041021,3792,52,738,402,752,1484,1154,304.24,281,74.08,83,2555,104.9,0.04,25.65,13.96,False,False,6.37,21.73,5.66,99.38,22.71
101041023,3425,53,573,244,270,750,514,150.03,132,38.53,129,2387,130.2,0.05,20.77,6.72,False,False,2.84,10.72,2.94,99.23,17.63
101041024,3525,53,639,482,400,1236,882,250.14,230,65.23,0,2657,14.7,0.01,23.88,11.36,False,False,4.87,17.87,4.98,99.91,19.66
101041025,11513,54,679,1216,1786,4093,3002,260.73,669,58.1,1300,7529,921.4,0.1,26.78,16.64,False,False,16.57,18.62,4.44,94.53,20.89
101041026,8600,56,612,738,1155,2732,1893,220.09,741,86.15,79,6840,86.2,0.01,25.19,13.02,False,False,10.45,15.72,6.58,99.49,18.83
101041027,9888,59,579,930,1146,2754,2076,209.93,429,43.38,615,7295,529.5,0.06,24.16,12.81,False,False,11.46,15.0,3.31,96.86,17.82
101051539,24565,40,749,2265,3317,8089,5582,227.22,2578,104.94,999,17786,750.6,0.04,31.54,22.48,False,False,30.82,16.23,8.01,95.55,23.05
101051540,13839,48,735,2957,1725,6114,4682,338.29,1199,86.63,31,10237,37.3,0.0,32.35,24.95,False,False,25.85,24.16,6.61,99.78,22.62
101061541,6763,42,867,833,1215,2905,2048,302.78,1143,168.98,199,4742,141.1,0.03,28.92,16.33,False,False,11.31,21.63,12.9,99.16,26.68
101061542,12713,43,1129,3443,2996,8228,6439,506.45,2889,227.23,10,8415,14.5,0.0,41.64,35.83,True,False,35.55,36.17,17.35,99.91,34.74
101061543,11004,42,661,1198,1216,3432,2414,219.35,515,46.8,317,8027,233.0,0.03,25.46,14.3,False,False,13.33,15.67,3.57,98.62,20.34
101061544,7677,49,646,1758,758,3124,2516,327.69,419,54.57,70,5923,74.8,0.01,27.77,18.57,False,False,13.89,23.41,4.17,99.56,19.88
102011028,7513,43,915,1205,2267,4336,3472,462.07,586,77.99,333,4811,240.0,0.05,32.79,25.72,False,False,19.17,33.01,5.95,98.58,28.15
102011029,11042,49,780,1545,2553,5363,4098,371.09,772,69.91,215,8092,236.3,0.03,31.67,24.22,False,False,22.62,26.51,5.34,98.6,24.0
102011030,4716,48,780,1047,773,2296,1820,385.84,240,50.88,68,3296,65.0,0.02,28.02,18.73,False,False,10.05,27.56,3.88,99.61,24.0
102011031,14758,50,692,1696,3100,6460,4796,324.95,895,60.64,671,9862,476.3,0.05,31.38,24.14,False,False,26.48,23.21,4.63,97.17,21.29
102011032,21204,39,796,2500,5403,10601,7903,372.7,1768,83.38,10413,8164,7293.3,0.39,31.97,19.92,False,False,43.63,26.62,6.37,56.72,24.49
102011033,6485,36,850,770,1252,2978,2022,311.75,545,84.03,20,4193,14.0,0.0,27.8,16.7,False,False,11.16,22.27,6.41,99.92,26.15
102011034,7615,47,691,761,1284,2892,2045,268.51,565,74.19,262,4256,183.4,0.04,26.28,15.07,False,False,11.29,19.18,5.66,98.91,21.26
102011035,7157,39,814,765,1655,3436,2420,338.08,636,88.85,33,4717,23.1,0.0,28.89,18.73,False,False,13.36,24.15,6.78,99.86,25.05
102011036,8205,40,798,1009,1844,3897,2853,347.67,685,83.48,35,4977,24.5,0.0,29.64,20.26,False,False,15.75,24.83,6.37,99.85,24.55
102011037,6571,46,765,789,1660,3260,2449,372.64,569,86.58,295,4820,211.6,0.04,29.2,19.82,False,False,13.52,26.62,6.61,98.74,23.54
102011038,7160,45,783,887,1498,3289,2385,333.05,485,67.73,479,4887,340.1,0.06,28.04,18.11,False,False,13.17,23.79,5.17,97.98,24.09
102011039,14849,43,933,2427,4245,8488,6672,449.29,1051,70.77,2576,8507,1803.2,0.16,36.42,30.78,True,False,36.84,32.09,5.4,89.3,28.71
102011040,24697,47,678,2630,3985,9332,6615,267.84,1673,67.74,1858,16006,1507.0,0.08,32.52,25.34,False,False,36.52,19.13,5.17,91.06,20.86
102011041,10675,42,897,1625,2792,5787,4417,413.73,755,70.72,492,6519,348.6,0.05,33.23,26.41,False,False,24.39,29.55,5.4,97.93,27.6
102011042,14346,47,642,1317,2342,5200,3659,255.04,1070,74.58,994,9004,773.5,0.08,28.04,18.33,False,False,20.2,18.22,5.69,95.41,19.75
102011043,11423,41,697,1036,1981,4295,3017,264.09,808,70.73,288,7298,217.8,0.03,27.74,17.53,False,False,16.66,18.86,5.4,98.71,21.45
102021044,22825,41,719,2078,3643,8255,5721,250.64,1405,61.55,1036,15349,730.3,0.04,31.45,23.67,False,False,31.59,17.9,4.7,95.67,22.12
102021045,11290,34,691,802,898,2884,1700,150.56,603,53.41,118,8496,89.2,0.01,23.37,10.02,False,False,9.39,10.75,4.08,99.47,21.26
102021046,9728,45,639,699,1156,2793,1855,190.67,526,54.07,384,7836,339.9,0.04,23.97,11.69,False,False,10.24,13.62,4.13,97.98,19.66
102021047,16006,40,787,1734,2681,6512,4415,275.82,1208,75.47,533,10709,374.9,0.03,30.48,21.55,False,False,24.37,19.7,5.76,97.78,24.22
102021048,22362,42,625,1494,2195,5792,3689,164.96,1110,49.64,2076,15695,1490.7,0.08,25.41,14.65,False,False,20.37,11.78,3.79,91.15,19.23
102021049,3420,44,861,668,677,1775,1345,393.16,223,65.19,6,2080,4.2,0.0,27.89,17.75,False,False,7.43,28.08,4.98,99.98,26.49
102021050,10960,52,594,770,996,2753,1766,161.12,525,47.9,143,9300,121.1,0.01,23.25,10.55,False,False,9.75,11.51,3.66,99.28,18.28
102021051,4928,40,835,752,1130,2611,1882,381.82,421,85.41,28,2854,20.5,0.01,28.79,18.81,False,False,10.39,27.27,6.52,99.88,25.69
102021052,6492,45,669,555,660,1952,1215,187.12,372,57.29,111,5109,84.0,0.02,23.21,9.99,False,False,6.71,13.37,4.37,99.5,20.58
102021053,15839,48,662,1543,2311,5369,3854,243.31,925,58.4,3886,7351,2817.4,0.24,26.15,16.1,False,False,21.28,17.38,4.46,83.28,20.37
102021054,9909,47,639,694,1227,2836,1921,193.84,495,49.95,968,7233,702.8,0.08,23.75,11.72,False,False,10.61,13.85,3.81,95.83,19.66
102021055,5229,38,784,588,941,2240,1529,292.35,450,86.04,73,3259,52.3,0.02,26.43,14.62,False,False,8.44,20.88,6.57,99.69,24.12
102021056,20051,35,790,2082,3273,7800,5355,267.06,1456,72.61,35,13506,28.1,0.0,32.15,24.28,False,False,29.56,19.08,5.54,99.83,24.31
102021057,9120,40,624,681,1015,2589,1696,185.94,542,59.42,690,6294,489.3,0.07,23.52,10.99,False,False,9.36,13.28,4.54,97.1,19.2
103011059,12330,36,799,1263,1948,4635,3211,260.4,1150,93.26,77,8590,59.3,0.01,28.8,18.1,False,False,17.73,18.6,7.12,99.65,24.58
103011060,6909,47,824,1353,1225,3394,2578,373.08,633,91.61,6,4770,6.0,0.0,29.86,20.43,False,False,14.23,26.65,6.99,99.96,25.35
103011061,4834,48,735,732,476,1575,1208,249.84,289,59.77,60,3564,48.0,0.01,24.59,12.22,False,False,6.67,17.85,4.56,99.72,22.62
103011612,10752,39,704,886,1942,3736,2828,263.0,844,78.49,1773,5713,1254.0,0.17,26.63,15.92,False,False,15.61,18.79,5.99,92.56,21.66
103011613,14313,37,875,1584,2829,6201,4413,308.3,1560,108.98,72,10942,50.4,0.0,32.13,23.12,False,False,24.36,22.02,8.32,99.7,26.92
103021062,6372,41,645,1514,636,2650,2150,337.36,298,46.76,145,4596,108.7,0.02,27.19,17.87,False,False,11.87,24.1,3.57,99.35,19.85
103021063,9273,45,607,957,982,2769,1939,209.08,446,48.09,245,7365,185.3,0.02,24.38,12.68,False,False,10.71,14.93,3.67,98.9,18.68
103021064,5716,50,601,1304,631,2367,1935,338.46,227,39.71,32,4379,26.6,0.01,26.68,17.4,False,False,10.68,24.18,3.03,99.84,18.49
103021065,10020,43,714,1711,1337,3884,3048,304.16,449,44.81,467,7377,357.8,0.05,28.04,18.87,False,False,16.83,21.73,3.42,97.88,21.97
