SA2_CODE,State,Total_Population,Total_High_Value_Professionals,Professional_Density_per_1000,Median_tot_prsnl_inc_weekly,Commercial_Opportunity_Score,Demand_Gap_Index,Is_Employment_Cluster,Is_Emerging_Cluster
801051125,ACT,1974,2418,1224.3,962,63.83,50.4,False,False
117031330,NSW,19126,18113,946.99,1669,60.43,31.89,True,False
206071517,VIC,17671,15911,900.35,1509,58.73,49.08,True,False
118011345,NSW,14793,12594,851.29,1651,53.44,46.3,True,True
801061131,ACT,6579,6222,945.59,1777,52.89,35.06,True,True
121031408,NSW,24599,15629,635.33,1200,52.68,46.94,True,False
121041414,NSW,17916,15144,845.23,1593,52.57,26.98,True,False
801051051,ACT,6383,6205,971.96,1512,52.56,36.49,True,False
122011419,NSW,22438,17080,761.17,1568,52.52,22.1,True,False
117021327,NSW,19898,14446,725.97,1247,52.1,40.14,True,False
118021651,NSW,19521,15361,786.86,1571,51.53,25.52,True,False
120021675,NSW,17532,12423,708.55,1377,51.2,46.58,True,False
118011340,NSW,20705,16033,774.32,1551,51.07,21.61,True,False
117031640,NSW,14667,11842,807.34,1310,50.99,42.78,True,False
206061136,VIC,19119,15278,799.06,1343,50.9,26.12,True,False
120021387,NSW,15579,11815,758.34,1592,50.85,44.96,True,False
208011169,VIC,22758,13829,607.63,1265,50.84,49.13,True,False
122011418,NSW,20732,12954,624.8,1282,50.39,49.55,True,False
