SA2_CODE,State,Total_Population,Commercial_Opportunity_Score,Demand_Gap_Index
117031330,NSW,19126,60.43,31.89
206071517,VIC,17671,58.73,49.08
118011345,NSW,14793,53.44,46.3
801061131,ACT,6579,52.89,35.06
121031408,NSW,24599,52.68,46.94
801051051,ACT,6383,52.56,36.49
117021327,NSW,19898,52.1,40.14
120021675,NSW,17532,51.2,46.58
117031640,NSW,14667,50.99,42.78
120021387,NSW,15579,50.85,44.96
208011169,VIC,22758,50.84,49.13
122011418,NSW,20732,50.39,49.55
207011149,VIC,21232,49.71,49.96
208021174,VIC,24896,49.14,47.0
208041195,VIC,21923,48.99,46.59
207011150,VIC,16829,48.96,50.79
126011496,NSW,21737,48.85,49.92
206071143,VIC,12781,48.81,44.09
206021499,VIC,15068,48.78,46.54
120021389,NSW,13824,48.66,43.59
