SA2_CODE,State,Total_Population,Commercial_Opportunity_Score,Demand_Gap_Index
117031330,NSW,19126,60.43,31.89
206071517,VIC,17671,58.73,49.08
118011345,NSW,14793,53.44,46.3
121031408,NSW,24599,52.68,46.94
121041414,NSW,17916,52.57,26.98
122011419,NSW,22438,52.52,22.1
117021327,NSW,19898,52.1,40.14
118021651,NSW,19521,51.53,25.52
120021675,NSW,17532,51.2,46.58
118011340,NSW,20705,51.07,21.61
117031640,NSW,14667,50.99,42.78
206061136,VIC,19119,50.9,26.12
120021387,NSW,15579,50.85,44.96
208011169,VIC,22758,50.84,49.13
122011418,NSW,20732,50.39,49.55
207011149,VIC,21232,49.71,49.96
117031336,NSW,15828,49.68,26.85
121041413,NSW,18905,49.66,26.65
208021174,VIC,24896,49.14,47.0
117031331,NSW,20262,48.99,25.01
