SA2_Code,Population,High_Value_Professionals,Professional_Density_per_1000,Professional_Industry_Workers,Professional_Industry_Concentration,Commercial_Density_Proxy,Median_Weekly_Income,Opportunity_Score,Demand_Gap_Index,Is_Established_Cluster,Is_Emerging_Cluster
801051125,1974,2418,1224.3,2587,1309.87,0.0,962,63.83,50.4,False,False
117031330,19126,18113,946.99,3359,175.62,10439.2,1669,60.43,31.89,True,False
206071517,17671,15911,900.35,2292,129.7,5980.5,1509,58.73,49.08,True,False
118011345,14793,12594,851.29,1593,107.68,4878.3,1651,53.44,46.3,True,True
801061131,6579,6222,945.59,4269,648.78,5253.5,1777,52.89,35.06,True,True
121031408,24599,15629,635.33,1715,69.72,4835.8,1200,52.68,46.94,True,False
121041414,17916,15144,845.23,2191,122.29,10537.0,1593,52.57,26.98,True,False
801051051,6383,6205,971.96,4061,636.12,4990.3,1512,52.56,36.49,True,False
122011419,22438,17080,761.17,1990,88.68,11841.2,1568,52.52,22.1,True,False
117021327,19898,14446,725.97,2900,145.74,6573.1,1247,52.1,40.14,True,False
118021651,19521,15361,786.86,2261,115.82,10750.7,1571,51.53,25.52,True,False
120021675,17532,12423,708.55,2313,131.92,3681.4,1377,51.2,46.58,True,False
118011340,20705,16033,774.32,1909,92.2,11788.4,1551,51.07,21.61,True,False
117031640,14667,11842,807.34,2396,163.35,5132.4,1310,50.99,42.78,True,False
206061136,19119,15278,799.06,2071,108.32,10627.0,1343,50.9,26.12,True,False
120021387,15579,11815,758.34,1576,101.16,4161.4,1592,50.85,44.96,True,False
208011169,22758,13829,607.63,1314,57.74,3025.4,1265,50.84,49.13,True,False
122011418,20732,12954,624.8,1403,67.67,2472.5,1282,50.39,49.55,True,False
207011149,21232,13022,613.29,1396,65.75,2299.5,1051,49.71,49.96,True,False
117031336,15828,13362,844.15,2102,132.79,10100.5,1442,49.68,26.85,True,False
121041413,18905,14383,760.76,1853,98.01,10136.0,1553,49.66,26.65,True,False
208021174,24896,13803,554.4,1986,79.77,3173.2,970,49.14,47.0,True,False
117031331,20262,14922,736.42,2365,116.72,10606.1,1230,48.99,25.01,True,False
208041195,21923,13230,603.45,1456,66.41,3332.3,1057,48.99,46.59,True,False
207011150,16829,11127,661.14,1235,73.38,1097.8,1165,48.96,50.79,True,False
126011496,21737,12402,570.52,1704,78.39,1447.7,1045,48.85,49.92,True,False
206071143,12781,10213,799.01,1797,140.59,3753.5,1241,48.81,44.09,True,False
206021499,15068,10801,716.77,1988,131.93,2698.5,1130,48.78,46.54,True,False
801061129,1946,1763,905.5,1335,685.67,1504.3,1775,48.68,33.88,False,False
120021389,13824,10184,736.64,1702,123.11,3352.6,1542,48.66,43.59,True,False
118011339,19055,14015,735.46,1785,93.67,9721.4,1472,48.65,27.48,True,False
213021344,18753,11052,589.31,2174,115.92,869.7,1240,48.64,48.89,True,False
206021112,18919,12118,640.49,2401,126.9,3620.8,1041,48.43,44.22,True,False
208041194,20239,13353,659.73,1423,70.31,6209.4,1264,48.33,38.16,True,False
206011106,12738,10449,820.24,2022,158.73,5512.0,1244,48.3,39.12,True,False
121031409,17221,11087,643.77,1225,71.13,1719.1,1188,48.07,48.13,True,False
206011496,12983,10300,793.28,1875,144.41,4501.0,1154,47.97,41.6,True,False
208021177,22362,13780,616.2,1458,65.2,6128.4,1110,47.78,38.21,True,False
213031352,15463,9915,641.17,2054,132.82,1254.3,1247,47.62,46.53,True,False
209031209,23444,11990,511.41,2018,86.07,876.9,984,47.55,48.69,True,False
121011399,21294,13962,655.65,2064,96.92,8523.9,1229,47.51,30.62,True,False
115011291,21683,11785,543.49,1693,78.08,1241.1,1013,47.43,48.12,True,False
801051060,4470,3904,873.18,2429,543.28,2869.3,1448,47.26,34.82,False,False
121031411,20251,11873,586.26,1373,67.8,2518.5,1074,47.23,45.69,True,False
314011386,24313,11352,466.89,3099,127.46,37.1,1023,47.2,47.91,True,False
121011401,11903,10153,852.91,1351,113.49,7392.9,1607,47.14,32.83,True,False
121031407,22433,13395,597.08,1419,63.25,5587.0,1070,47.13,38.97,True,False
203031053,24607,11667,474.11,2070,84.12,97.6,1001,47.07,48.85,True,False
122031429,21828,13482,617.62,1898,86.95,7482.5,1295,47.01,32.95,True,False
503021042,17527,11852,676.18,1156,65.95,5015.0,1203,46.95,39.94,True,False
121021406,19158,10824,564.96,1675,87.43,577.4,1003,46.92,48.34,True,False
116021632,25130,12348,491.35,2156,85.79,2509.1,1166,46.89,43.95,True,False
504011045,24523,11647,474.92,2466,100.55,448.5,964,46.87,47.81,True,False
121031410,21665,12139,560.28,1240,57.23,2720.2,1070,46.86,44.88,True,False
121011685,12928,9260,716.22,1028,79.51,2532.7,1489,46.67,43.45,True,False
121041416,17183,13428,781.42,1842,107.19,12315.5,1551,46.64,17.49,True,False
505021089,22602,11330,501.26,1586,70.17,330.0,977,46.5,48.21,True,False
121041417,12441,10604,852.27,1416,113.81,9287.4,1683,46.43,26.8,True,False
121031412,18191,10927,600.65,1134,62.34,2012.5,1108,46.39,45.45,True,False
401021004,18208,10252,563.02,1626,89.3,66.7,993,46.39,48.22,True,False
401071024,20998,11840,563.84,1791,85.29,2895.5,968,46.38,43.74,True,False
117031333,18187,14716,809.1,2989,164.34,16578.3,1534,46.29,1.13,True,False
115011558,19082,10513,550.91,1549,81.17,123.0,940,46.27,48.34,True,False
115011290,24726,12187,492.86,1877,75.91,2179.8,974,46.2,44.62,True,False
207031161,22106,11465,518.61,1741,78.75,1306.2,900,46.06,46.28,True,False
305041135,12197,9236,757.17,1323,108.46,3688.6,1248,46.03,41.04,True,False
801061064,5328,4147,778.19,2576,483.39,2226.0,1572,46.0,34.06,False,False
207011155,15944,9899,620.82,1052,65.98,1088.9,1088,45.87,46.3,True,False
206071145,9855,7723,783.58,1154,117.09,2080.0,1340,45.84,43.22,True,False
304041103,17099,9694,566.9,1712,100.12,79.1,1036,45.83,46.79,True,False
208021178,18075,10703,592.11,1271,70.31,1984.2,1044,45.82,44.72,True,False
207011148,21123,11028,522.06,1267,59.98,426.6,852,45.75,47.84,True,False
120011385,18366,11576,630.26,1706,92.88,5718.1,1296,45.74,35.98,True,False
121011686,15888,11015,693.25,1474,92.77,6180.3,1361,45.73,34.93,True,False
128021536,22063,10945,496.06,2046,92.73,1076.4,1063,45.71,44.87,True,False
117031329,10615,9305,876.51,1327,125.0,7854.3,1535,45.7,30.43,True,False
503011035,18936,11142,588.37,840,44.36,2075.5,920,45.62,45.39,True,False
116021628,21058,10477,497.51,2000,94.97,683.2,1147,45.61,44.8,True,False
206021500,10299,7772,754.56,1393,135.24,1768.4,1216,45.58,43.32,True,False
208011172,18200,10636,584.36,1267,69.61,1985.9,1033,45.52,44.31,True,False
206011495,12890,9215,714.84,1753,135.99,3168.8,1032,45.46,41.38,True,False
503021038,11872,8184,689.3,1167,98.29,951.7,1280,45.46,44.54,True,False
801051124,4588,3444,750.49,2286,498.15,1321.6,1592,45.43,33.46,False,False
206051128,15825,11153,704.73,1428,90.23,7002.9,1352,45.36,32.7,True,False
207011152,15684,10957,698.57,1305,83.2,5998.8,1228,45.33,35.55,True,False
503021039,16934,10505,620.31,1673,98.79,3497.8,1118,45.31,40.53,True,False
305031128,18016,14789,820.84,2039,113.17,16800.7,1405,45.25,0.21,True,False
401031011,19066,10498,550.58,1488,78.04,1256.2,957,45.24,45.02,True,False
101021012,12744,6661,522.64,4846,380.23,183.5,1357,45.18,36.65,True,False
101021611,16539,8037,485.91,4724,285.61,43.5,1243,45.14,39.44,True,False
118011341,17720,11728,661.81,1582,89.27,7565.5,1354,45.04,30.86,True,False
505021088,18468,9856,533.65,1417,76.72,513.1,1126,45.03,44.86,True,False
120031394,17948,11875,661.6,2482,138.28,8159.3,1197,45.01,29.1,True,False
121041689,14565,9985,685.5,1207,82.86,5268.5,1510,45.0,35.77,True,False
505021092,17552,10069,573.63,1434,81.7,2231.6,1232,44.97,41.89,True,False
121021403,22057,11311,512.78,1949,88.36,2701.5,1012,44.95,41.6,True,False
206041121,10745,7942,739.07,1414,131.58,2547.7,1246,44.93,41.01,True,False
203021042,24034,10871,452.3,1741,72.44,28.7,859,44.81,46.08,True,False
506071147,17226,10393,603.3,1281,74.36,3165.9,1131,44.78,40.8,True,False
206051130,16192,10792,666.46,1572,97.08,6431.2,1372,44.75,33.14,True,False
120021674,9464,7089,748.97,1150,121.5,2051.0,1441,44.58,40.68,True,False
801051061,6727,4595,682.97,2684,398.93,598.5,1354,44.53,35.76,False,False
208011170,16540,9358,565.75,1092,66.02,411.0,1064,44.52,44.91,True,False
208031193,21199,10704,504.91,1815,85.61,1746.2,977,44.5,42.65,True,False
118011649,14429,10109,700.55,1015,70.34,6445.2,1594,44.49,32.68,True,False
305041132,13716,8792,640.96,1351,98.49,1757.8,1153,44.49,42.24,True,False
206071140,8186,6529,797.48,1120,136.8,1516.9,1197,44.48,42.32,True,False
206071139,9088,7666,843.44,1263,138.96,5179.5,1354,44.44,35.52,True,False
303011047,12145,7738,637.08,1259,103.66,395.2,1298,44.42,43.08,True,False
121011683,13440,8398,624.8,762,56.69,792.8,1355,44.4,43.36,True,False
118021569,16206,11379,702.1,1548,95.51,8786.5,1402,44.34,27.03,True,False
305041134,10343,7167,692.87,980,94.74,629.6,1334,44.23,42.87,True,False
208011173,17358,9960,573.77,1214,69.93,2321.4,1082,44.07,41.38,True,False
206031116,16224,10199,628.6,1894,116.73,4940.9,1113,43.93,35.77,True,False
507021165,16720,10018,599.13,1367,81.75,3303.9,1059,43.86,39.43,True,False
115041625,17581,9225,524.68,1592,90.55,492.1,1059,43.85,42.91,True,False
206051129,14818,10946,738.65,1592,107.43,9373.7,1363,43.81,25.11,True,False
206061515,11192,9930,887.16,1275,113.91,10915.8,1412,43.66,20.81,True,False
213021346,15912,9000,565.58,1635,102.75,1492.3,1089,43.6,41.05,True,False
303021053,17810,11156,626.35,1761,98.87,6813.4,1129,43.58,31.67,True,False
403031069,16506,9399,569.39,1368,82.87,1639.8,986,43.57,41.78,True,False
401071023,17650,10206,578.21,1684,95.41,3650.4,999,43.51,38.25,True,False
122031696,17175,9006,524.34,1357,79.01,205.1,1041,43.51,43.06,True,False
206071142,10431,8081,774.64,1297,124.33,5078.8,1265,43.49,34.91,True,False
206071141,9179,7643,832.57,1149,125.16,5774.7,1338,43.41,33.41,True,False
115041624,17401,9173,527.12,1394,80.11,1313.2,1212,43.39,40.71,True,False
120011386,20933,11806,563.96,1867,89.19,6961.8,1148,43.32,30.95,True,False
120011383,23113,12212,528.34,1732,74.93,6496.4,1056,43.27,32.31,True,False
801051054,3292,2532,768.9,1582,480.41,1248.1,1303,43.16,31.9,False,False
115011621,17709,9025,509.6,1350,76.23,135.1,995,43.15,42.77,True,False
206051134,15813,11229,710.07,1737,109.84,9581.0,1210,43.15,24.31,True,False
120031395,13520,8717,644.7,1642,121.44,3774.1,1190,43.11,36.54,True,False
305021117,14308,8647,604.3,1473,102.94,2613.1,1194,43.03,38.4,True,False
211031267,21132,9660,457.11,1826,86.41,223.2,879,42.99,42.42,True,False
208021176,18534,11016,594.34,1685,90.91,6093.2,1011,42.93,32.96,True,False
209011198,16039,9145,570.14,1525,95.07,2347.3,1030,42.86,39.25,True,False
801061063,1827,1470,804.16,721,394.42,628.6,1816,42.85,31.56,False,False
208031188,24085,11155,463.13,1973,81.91,3444.3,925,42.78,37.66,True,False
124011450,18993,8898,468.46,2109,111.04,60.9,971,42.73,41.14,True,False
801101136,2759,2079,753.26,1093,396.01,377.3,1655,42.7,31.91,False,False
801051058,5917,4090,691.11,2054,347.08,768.6,1261,42.61,34.33,False,False
503021043,19102,10835,567.19,1317,68.94,5372.2,1055,42.59,34.17,True,False
209011203,18733,8717,465.3,2557,136.49,68.0,900,42.54,40.52,True,False
212051326,22928,10754,469.01,1538,67.08,2549.8,841,42.53,39.41,True,False
209021428,20711,10522,508.01,2296,110.85,3738.8,863,42.52,36.72,True,False
126021500,23818,13367,561.19,1854,77.84,9728.2,900,42.46,24.07,True,False
211041270,16795,8709,518.52,1574,93.71,550.2,911,42.43,41.17,True,False
128021535,20927,9291,443.95,1774,84.77,260.7,989,42.42,40.86,True,False
126021498,15456,9425,609.76,1412,91.35,4683.0,1198,42.41,34.51,True,False
209011197,20807,9295,446.7,2063,99.14,303.8,907,42.41,40.86,True,False
101021610,6224,3493,561.12,2674,429.56,30.1,1629,42.35,29.63,False,False
401031013,16635,9102,547.13,1192,71.65,1806.7,977,42.34,39.88,True,False
206031113,15191,8937,588.27,1699,111.84,3421.8,1080,42.29,36.4,True,False
505021096,15044,8514,565.9,950,63.14,1086.4,990,42.25,40.9,True,False
507041181,17452,8769,502.44,1147,65.72,356.0,995,42.24,41.26,True,False
213031350,9247,6243,675.06,1307,141.33,1339.8,1240,42.18,38.06,True,False
209011200,12458,7861,630.95,1091,87.57,2007.0,1080,42.16,38.97,True,False
117031638,8332,6363,763.59,1033,123.96,2388.2,1023,42.09,38.48,True,False
207011522,13039,8224,630.67,896,68.71,2690.4,1133,42.02,38.01,True,False
115011296,12683,7474,589.25,912,71.9,191.1,1038,42.02,41.2,True,False
303041071,10944,6729,614.8,1022,93.38,140.7,1167,42.01,40.19,True,False
206071518,13867,9923,715.53,1404,101.24,8306.6,1183,42.0,26.85,True,False
111031228,14506,8378,577.51,1165,80.31,2008.3,1091,41.98,38.54,True,False
213051466,19091,8713,456.37,1412,73.96,35.0,1070,41.97,40.27,True,False
206061516,9939,7765,781.19,922,92.76,6018.9,1329,41.96,31.71,True,False
126021501,15622,8913,570.51,1303,83.4,2836.0,1054,41.94,37.41,True,False
206061138,12953,8536,658.95,740,57.13,4756.5,1428,41.94,33.8,True,False
121041688,13763,8820,640.8,971,70.55,5354.3,1464,41.87,32.23,True,False
117021636,12317,7901,641.42,1596,129.57,3622.2,1160,41.86,35.11,True,False
801041038,4435,2782,627.14,1834,413.44,43.4,1548,41.84,30.0,False,False
214021381,18734,8961,478.3,1073,57.27,448.0,966,41.83,40.71,True,False
118011650,9958,7545,757.61,882,88.56,6514.9,1690,41.78,29.37,True,True
115021297,22479,9621,427.98,1087,48.35,422.8,906,41.73,40.79,False,False
122031430,17550,9329,531.54,1383,78.8,3245.9,1112,41.68,36.12,True,False
305011112,14953,10481,700.88,1429,95.56,9143.0,1128,41.67,24.68,True,False
207011521,11601,7354,633.86,769,66.28,1417.3,1104,41.65,39.33,True,False
101061542,12713,6439,506.45,2889,227.23,14.5,1129,41.64,35.83,True,False
303011051,16504,8393,508.51,1226,74.28,317.8,910,41.63,40.55,True,False
207031164,18126,9012,497.16,1237,68.24,724.7,788,41.63,40.8,True,False
506071145,14575,8304,569.7,1040,71.35,1701.7,1010,41.61,38.9,True,False
401041016,23968,10239,427.18,2012,83.94,1841.7,772,41.6,38.76,False,False
118011347,7454,5593,750.23,620,83.17,2655.4,1635,41.6,35.58,True,True
208011168,14021,7753,552.92,932,66.47,441.9,1043,41.55,40.07,True,False
116021563,24670,9627,390.22,2103,85.24,747.6,968,41.53,38.71,False,False
801101139,3808,2697,708.06,1519,398.79,1260.7,1446,41.53,30.28,False,False
117031642,13670,9467,692.49,1718,125.67,7952.5,1178,41.51,26.86,True,False
124011454,21964,9097,414.16,2255,102.66,353.2,899,41.48,39.07,False,False
126011721,18690,10361,554.33,1433,76.67,5148.5,919,41.47,33.61,True,False
801091109,5197,3687,709.31,2146,412.85,3070.2,1342,41.47,29.04,False,False
304021088,10731,6612,616.1,823,76.69,14.7,1084,41.45,40.22,True,False
206041119,4896,4273,872.58,611,124.77,3212.1,1532,41.42,34.77,False,False
206051512,11693,8276,707.71,1200,102.62,6212.9,1310,41.41,30.38,True,False
212051321,21603,9472,438.44,1293,59.85,241.5,701,41.37,41.21,True,False
126011720,14404,8794,610.48,1156,80.25,3948.7,1025,41.33,35.28,True,False
207011520,11957,8571,716.76,1095,91.57,6531.6,1207,41.29,30.17,True,False
121011687,12996,7798,599.98,907,69.79,2225.9,1160,41.28,37.28,True,False
212051319,19507,9833,504.05,1245,63.82,2993.5,871,41.28,37.13,True,False
206011107,14318,8923,623.16,1621,113.21,5020.5,1002,41.25,32.92,True,False
208021179,11904,7815,656.45,1038,87.19,3862.1,1193,41.23,34.7,True,False
801041044,8244,4723,572.83,3123,378.78,1485.4,1207,41.23,30.54,False,False
506021119,17245,8593,498.26,1506,87.32,1523.9,1014,41.23,37.76,True,False
507011148,21746,8907,409.57,1685,77.48,250.8,1035,41.21,38.63,False,False
210031538,17214,8172,474.7,1765,102.53,402.2,971,41.21,38.57,True,False
401061021,15785,8283,524.71,1724,109.21,1696.6,962,41.21,37.42,True,False
503021040,9707,6360,655.13,901,92.81,1158.0,1149,41.15,38.14,True,False
