SA2_Code,Population,Professionals,Prof_Density,Opp_Score,Demand_Gap,Is_Cluster,Is_Emerging
801051125,1974,2418,1224.3,63.83,50.4,False,False
801061131,6579,6222,945.59,52.89,35.06,True,True
801051051,6383,6205,971.96,52.56,36.49,True,False
801061129,1946,1763,905.5,48.68,33.88,False,False
801051060,4470,3904,873.18,47.26,34.82,False,False
801061064,5328,4147,778.19,46.0,34.06,False,False
801051124,4588,3444,750.49,45.43,33.46,False,False
801051061,6727,4595,682.97,44.53,35.76,False,False
801051054,3292,2532,768.9,43.16,31.9,False,False
801061063,1827,1470,804.16,42.85,31.56,False,False
