SAL_CODE_2021,Suburb,Median_age_persons,Median_tot_prsnl_inc_weekly,Median_tot_hhd_inc_weekly,Median_mortgage_repay_monthly,Median_rent_weekly,Average_household_size,owned_outright,owned_mortgage,renting_total,renting_private,renting_social,total_dwellings,pct_owned_outright,pct_owned_mortgage,pct_renting,pct_renting_social,mortgage_stress_ratio,mortgage_stress_level,high_mortgage_count,rent_stress_ratio,rent_stress_level,high_rent_count,pct_apartments,pct_houses,pct_small_dwellings,Average_num_psns_per_bedroom,pct_low_income,pct_high_income,single_parent_families,total_households,pct_young_adults,pct_families_age,pct_retirees,total_population,homeownership_lockout_score,family_lockout_score,first_buyer_lockout_score,crisis_score,affordability_score
SAL50808,SAL50808,26,316,936,5541,80,3.5,8,0,130,0,123,170,4.7,0.0,76.5,72.4,136.6,,0,8.5,Manageable (<30%),0,0.0,90.6,1.8,1.2,77.1,7.1,127,170,36.8,25.7,12.0,634,50.0,20.9,95.0,64.9,
SAL11186,SAL11186,56,450,651,3033,130,1.8,52,39,393,17,368,520,10.0,7.5,75.6,70.8,107.5,,37,20.0,Manageable (<30%),91,11.7,15.4,29.8,0.9,108.3,14.0,160,520,18.0,19.2,52.1,1146,48.8,38.4,78.5,64.6,
SAL11568,SAL11568,39,450,619,2709,220,2.2,5,6,27,0,0,52,9.6,11.5,51.9,0.0,101.0,,0,35.5,Moderate (30-40%),0,0.0,51.9,44.2,1.2,63.5,26.9,8,52,24.2,33.3,20.0,120,45.3,39.0,69.7,55.8,
SAL20289,SAL20289,53,593,1278,1300,2077,2.4,29,22,0,0,0,55,52.7,40.0,0.0,0.0,23.5,Manageable (<30%),0,162.5,,0,0.0,94.5,5.5,0.8,40.0,18.2,4,55,17.0,18.4,49.7,147,56.9,60.0,18.8,53.7,
SAL13117,SAL13117,73,602,961,4000,660,2.1,54,14,7,6,5,119,45.4,11.8,5.9,4.2,96.1,Extreme (>50%),20,68.7,Extreme (>50%),5,0.0,28.6,0.0,0.7,59.7,16.8,5,119,12.8,13.2,69.4,265,31.0,33.9,51.6,52.4,
SAL13762,SAL13762,49,608,697,1950,248,1.7,20,4,46,32,0,90,22.2,4.4,51.1,0.0,64.6,Extreme (>50%),0,35.6,Moderate (30-40%),0,3.3,55.6,38.9,1.0,103.3,0.0,15,90,16.4,16.4,48.1,189,42.2,45.0,54.0,52.3,
SAL20131,SAL20131,71,505,644,2880,176,1.6,327,31,36,3,0,431,75.9,7.2,8.4,0.0,103.2,,32,27.3,Manageable (<30%),3,0.0,98.4,10.9,0.7,112.3,7.9,55,431,7.5,11.5,76.5,749,15.5,35.3,54.6,52.2,
SAL14333,SAL14333,37,462,775,1478,186,2.3,99,146,1033,141,825,1321,7.5,11.1,78.2,62.5,44.0,Severe (40-50%),18,24.0,Manageable (<30%),24,8.2,74.7,11.5,0.9,94.5,4.2,725,1321,25.1,23.4,29.4,3421,52.8,31.4,55.0,48.2,
SAL10797,SAL10797,61,526,710,1781,300,1.8,315,66,189,96,31,629,50.1,10.5,30.0,4.9,57.9,Extreme (>50%),0,42.3,Severe (40-50%),6,7.0,72.8,11.8,0.8,101.0,4.1,97,629,14.1,16.8,58.0,1202,32.5,38.0,43.9,47.4,
SAL32260,SAL32260,27,384,973,2167,125,3.7,8,0,454,0,433,494,1.6,0.0,91.9,87.7,51.4,Extreme (>50%),0,12.8,Manageable (<30%),0,8.1,86.4,4.3,1.2,73.3,6.5,362,494,31.4,22.6,14.9,2138,56.7,22.2,64.4,47.2,
SAL41086,SAL41086,44,838,1260,498,150,2.2,47,26,16,0,0,113,41.6,23.0,14.2,0.0,9.1,Manageable (<30%),0,11.9,Manageable (<30%),0,0.0,100.9,0.0,0.7,55.8,7.1,10,113,22.4,29.6,33.3,321,19.6,16.1,20.1,17.5,93.9
SAL20631,SAL20631,42,853,1662,1000,180,2.4,40,38,21,0,0,116,34.5,32.8,18.1,0.0,13.9,Manageable (<30%),8,10.8,Manageable (<30%),0,0.0,102.6,0.0,0.7,30.2,20.7,11,116,28.9,25.4,35.4,311,22.8,10.7,23.5,15.4,93.1
SAL21084,SAL21084,47,870,2092,1400,160,2.8,102,98,20,5,0,233,43.8,42.1,8.6,0.0,15.4,Manageable (<30%),26,7.6,Manageable (<30%),0,0.0,100.0,0.0,0.7,29.2,31.8,34,233,19.6,25.7,38.0,685,15.3,9.5,18.4,12.9,93.1
SAL50564,SAL50564,39,697,1458,680,200,2.6,75,60,53,4,10,197,38.1,30.5,26.9,5.1,10.8,Manageable (<30%),0,13.7,Manageable (<30%),0,0.0,102.0,0.0,0.7,56.3,16.2,14,197,22.0,24.8,32.7,568,25.5,16.8,23.7,21.0,93.0
SAL30276,SAL30276,42,863,1963,1192,190,2.6,62,34,13,3,0,115,53.9,29.6,11.3,0.0,14.0,Manageable (<30%),0,9.7,Manageable (<30%),0,0.0,100.0,0.0,0.7,33.9,18.3,15,115,25.4,22.6,35.1,319,17.1,11.1,21.1,14.3,92.9
SAL21589,SAL21589,53,634,1233,529,130,2.2,64,31,19,0,4,118,54.2,26.3,16.1,3.4,9.9,Manageable (<30%),0,10.5,Manageable (<30%),0,0.0,96.6,2.5,0.7,55.1,0.0,17,118,16.4,20.4,49.6,274,17.5,16.3,19.4,17.6,92.7
SAL20718,SAL20718,55,578,1163,620,153,2.1,76,41,7,0,0,130,58.5,31.5,5.4,0.0,12.3,Manageable (<30%),0,13.2,Manageable (<30%),0,0.0,100.8,0.0,0.7,52.3,9.2,7,130,16.1,22.1,53.8,299,13.5,15.8,16.6,16.3,92.5
SAL21668,SAL21668,39,938,2441,1950,100,3.3,36,63,6,0,0,111,32.4,56.8,5.4,0.0,18.4,Manageable (<30%),6,4.1,Manageable (<30%),0,0.0,100.0,3.6,0.9,14.4,41.4,4,111,20.7,28.7,24.2,397,14.3,7.0,17.4,10.2,92.5
SAL21175,SAL21175,38,768,1894,1725,100,2.9,56,54,4,0,0,111,50.5,48.6,3.6,0.0,21.0,Manageable (<30%),18,5.3,Manageable (<30%),0,0.0,104.5,2.7,0.8,29.7,23.4,16,111,24.4,26.8,27.7,365,12.9,9.9,19.5,13.0,92.5
SAL30281,SAL30281,31,1268,2358,1083,220,2.6,158,336,907,439,79,1492,10.6,22.5,60.8,5.3,10.6,Manageable (<30%),22,9.3,Manageable (<30%),75,4.9,93.0,0.9,0.8,21.0,35.1,349,1492,32.0,30.8,13.7,4702,42.4,8.9,36.6,21.5,92.4
