,lifestyle_premium_index,lifestyle_premium_index,lifestyle_premium_index,beach_avg_km,parks_within_5km,school_avg_km,Median_tot_prsnl_inc_weekly
,mean,median,max,mean,mean,mean,median
state,,,,,,,
1,13.28,12.94,24.98,318.76,0.0,137.96,811.0
2,13.33,13.11,25.0,375.18,0.0,93.53,804.0
3,13.14,12.91,25.14,294.03,0.0,152.74,795.0
4,12.47,12.46,22.34,216.96,0.0,133.04,756.0
5,13.34,13.2,24.87,272.06,0.0,296.27,846.0
6,11.48,11.21,20.78,497.11,0.0,430.05,705.0
7,12.48,13.45,22.62,1978.68,0.0,120.9,1044.0
8,16.34,16.24,24.98,260.9,0.0,110.89,1199.0
9,12.45,11.93,16.42,311.19,0.0,141.27,802.0
