SA1_CODE_2021,Tot_P_P,Median_age_persons,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_mortgage_repay_monthly,Median_tot_hhd_inc_weekly,Year12_Total,High_Income_Total,Families_with_children,latitude,longitude,beach_min_km,beach_avg_km,beachs_within_5km,beachs_within_10km,park_min_km,park_avg_km,parks_within_5km,parks_within_10km,school_min_km,school_avg_km,schools_within_5km,schools_within_10km,hospital_min_km,hospital_avg_km,hospitals_within_5km,hospitals_within_10km,beach_score,park_score,school_score,hospital_score,education_score,income_score,age_score,lifestyle_premium_index,school_demand_index,lifestyle_preference_index,value_score
30905124513,1171,37,1056,658,2600,3169,519.0,289,0,-31.229799999999997,153.1491,23.747590483998952,39.58299141369727,0,0,101.64925300259463,147.99285859180932,0,0,132.55431566329673,176.79900815608934,0,0,95.742982507,180.86449774367196,0,0,0.20834017172605457,0.0,0.0,0.0,1.0,0.629695885509839,0.9349874032704532,25.138699305971745,60.0,79.53441637360554,2.380558646398839
20604150816,834,43,1694,701,2488,2482,520.0,235,0,-41.3136,144.1131,226.67859666118122,287.62636564435235,0,0,83.99028537152644,105.9323458749387,0,0,8.626606242809114,57.34276544143214,0,0,171.50910467221837,218.97213176528206,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.9994445987368581,24.997222993684293,60.0,99.98333796210575,1.4756329984465344
11703164222,676,44,1700,625,2600,2833,636.0,271,0,-37.2288,149.3733,331.34849729528077,403.8505073903102,0,0,28.795790322845384,84.32857390784454,0,0,114.78944275285461,124.78555570996816,0,0,149.5317494985343,165.0929054268865,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.9950124791926823,24.975062395963413,60.0,99.85037437578046,1.4691213174096125
80106106301,931,44,1791,560,2167,2650,681.0,459,0,-39.2209,150.236,369.2304857400113,387.0629692655537,0,0,46.02899923846868,93.10644967597811,0,0,15.650637942306723,86.042506822096,0,0,91.33612454087041,111.99107178506236,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.9950124791926823,24.975062395963413,60.0,99.85037437578046,1.3944758456707655
11703133613,579,45,1914,700,3044,4100,539.0,161,0,-37.5388,149.34230000000002,325.3917559245329,401.8228739176083,0,0,56.42901006420714,85.18932478476918,0,0,146.16197566664064,155.55661677644375,0,0,181.97860547974437,197.13538819268314,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.9862071167439163,24.93103558371958,60.0,99.58621350231749,1.302561942723071
51002126705,1663,39,2488,323,681,1100,801.0,850,0,-35.6905,112.9865,209.07021754075726,277.13721265275757,0,0,224.04372193093525,337.6368286564865,0,0,296.82261792889796,327.9058573212629,0,0,339.89594691222015,342.00892939627374,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.973144963058051,24.865724815290257,60.0,99.19434889174153,0.9994262385566823
80106112901,703,43,1803,550,2000,2620,485.0,342,0,-39.160900000000005,150.242,373.4056592734702,389.0474560194209,0,0,46.371772381085904,91.39041934106108,0,0,12.64342082343415,81.27711307813344,0,0,87.05457967840819,113.0641690173658,0,0,0.0,0.0,0.0,0.0,0.9837728194726166,1.0,0.9994445987368581,24.834951188410457,59.02636916835699,99.65879435155809,1.377423804127036
20605113034,918,39,1671,475,2000,2239,605.0,468,0,-41.6836,145.0761,120.39189164322309,184.34096721732126,0,0,32.05521496958868,66.5979104841922,0,0,43.46761566695343,60.14701444557122,0,0,197.17075851318532,203.64413866768626,0,0,0.0,0.0,0.0,0.0,1.0,0.9964221824686941,0.973144963058051,24.829946639977194,60.0,99.01545801517624,1.4859333716323875
80106106405,702,46,1727,618,3189,3315,489.0,302,0,-39.2209,150.236,369.2304857400113,387.0629692655537,0,0,46.02899923846868,93.10644967597811,0,0,15.650637942306723,86.042506822096,0,0,91.33612454087041,111.99107178506236,0,0,0.0,0.0,0.0,0.0,0.9918864097363083,1.0,0.973144963058051,24.784588912653337,59.51318458417849,99.0320770864677,1.435123851340668
11703132927,552,47,2006,700,3500,3266,589.0,230,0,-37.5488,149.34130000000002,325.2592223192765,401.4775054278286,0,0,55.3851729040675,85.22546741130384,0,0,147.03557476397856,156.57535933609464,0,0,183.03867670665105,198.17586791304075,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.9559974818330998,24.7799874091655,60.0,98.67992445499299,1.2352934899883101
11703164113,845,47,1856,1100,4146,4281,604.0,292,0,-37.2288,149.3733,331.34849729528077,403.8505073903102,0,0,28.795790322845384,84.32857390784454,0,0,114.78944275285461,124.78555570996816,0,0,149.5317494985343,165.0929054268865,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.9559974818330998,24.7799874091655,60.0,98.67992445499299,1.335128631959348
