LGA_CODE_2021,separate_house,semi_attached,flat_apartment,other_dwelling,total_dwellings,pct_separate,pct_semi_attached,pct_apartment,pct_other,pct_low_density,pct_medium_density,pct_high_density,median_age,pct_age_55_plus,total_population,median_personal_income,median_household_income,median_family_income,tertiary_qualified,total_qualified,pct_tertiary,urban_proximity_score,subdivision_potential_score,high_subdivision_potential,luxury_apartment_demand_score,high_luxury_demand,downsizing_wave_score,high_downsizing_potential,transform_prob_5yr,transform_prob_10yr,transform_prob_15yr,redevelopment_readiness_score,readiness_percentile,readiness_category
LGA56580,6202,917,474,0,8218,75.47,11.16,5.77,0.0,75.47,11.16,5.77,43,33.6,22132,1178,3226,4244,9681,13617,71.09,62.3,84.92,True,94.04,True,93.44,True,49.17,74.16,86.86,84.81,90.0,Very High
LGA25710,19557,726,609,9,21915,89.24,3.31,2.78,0.04,89.24,3.31,2.78,42,31.34,62895,962,2476,2772,15895,34599,45.94,79.65,91.86,True,91.64,True,90.12,True,49.57,74.57,87.17,88.93,98.0,Very High
LGA26490,12363,754,83,39,19527,63.31,3.86,0.43,0.2,63.31,3.86,0.43,42,32.93,37694,941,2088,2441,9831,21680,45.35,71.33,84.71,False,91.39,True,86.72,True,48.05,73.01,85.98,84.21,88.18,Very High
LGA18710,5594,201,86,11,6460,86.59,3.11,1.33,0.17,86.59,3.11,1.33,43,31.67,17281,1050,2289,2701,3695,9120,40.52,57.88,83.15,False,91.24,True,89.81,True,48.15,73.12,86.06,81.78,83.91,Very High
LGA40120,13939,364,178,24,15736,88.58,2.31,1.13,0.15,88.58,2.31,1.13,44,34.97,40879,892,2067,2416,10810,23073,46.85,73.81,89.52,True,90.82,True,91.36,True,49.26,74.26,86.94,87.16,95.27,Very High
LGA24130,16880,1000,56,102,19699,85.69,5.08,0.28,0.52,85.69,5.08,0.28,43,32.73,51458,865,2059,2403,10685,27195,39.29,76.81,90.72,True,89.81,True,89.07,True,49.07,74.06,86.79,87.3,95.82,Very High
LGA56930,404,54,61,0,595,67.9,9.08,10.25,0.0,67.9,9.08,10.25,42,34.44,1597,1501,4565,5012,604,881,68.56,20.18,50.07,False,89.63,True,93.54,True,43.01,67.52,81.49,64.85,45.45,High
LGA11450,34397,2192,365,153,38576,89.17,5.68,0.95,0.4,89.17,5.68,0.95,33,18.58,119325,984,2353,2487,17748,55385,32.04,87.79,95.12,True,89.32,True,77.04,False,48.3,73.27,86.18,87.68,96.36,Very High
LGA54170,50982,4900,1483,120,60810,83.84,8.06,2.44,0.2,83.84,8.06,2.44,41,31.54,160003,906,2165,2528,34003,86272,39.41,92.39,96.96,True,89.01,True,88.99,True,49.91,74.91,87.43,92.07,100.0,Very High
LGA27260,79221,8421,2045,87,95935,82.58,8.78,2.13,0.09,82.58,8.78,2.13,32,15.19,292011,839,2023,2129,62325,143573,43.41,98.23,99.29,True,88.64,True,71.21,False,48.19,73.15,86.09,89.4,98.36,Very High
LGA55320,29265,7179,2067,4,41861,69.91,17.15,4.94,0.01,69.91,17.15,4.94,42,33.58,103523,909,2096,2654,31473,59574,52.83,86.37,94.5,False,88.37,True,90.36,True,49.62,74.62,87.22,90.31,99.45,Very High
LGA17420,48537,5313,5836,13,62824,77.26,8.46,9.29,0.02,77.26,8.46,9.29,38,25.75,191876,1033,2831,2990,58235,106451,54.71,94.87,97.95,True,87.55,True,84.95,False,49.44,74.44,87.07,91.48,99.82,Very High
LGA70200,5709,2482,375,175,10065,56.72,24.66,3.73,1.74,56.72,24.66,3.73,34,21.35,25912,1131,2142,2484,5111,13353,38.28,65.13,78.46,False,87.35,True,73.0,False,44.91,69.65,83.28,76.65,72.91,Very High
LGA21610,102149,9995,1007,122,117991,86.57,8.47,0.85,0.1,86.57,8.47,0.85,34,20.75,365239,783,1918,2045,57334,167206,34.29,98.94,99.58,True,86.57,True,75.71,False,48.51,73.49,86.35,90.23,99.09,Very High
LGA24650,49974,4353,409,122,57704,86.6,7.54,0.71,0.21,86.6,7.54,0.71,33,17.51,178960,786,1887,2051,27054,78940,34.27,94.34,97.74,True,86.13,True,72.01,False,47.75,72.69,85.73,87.72,96.55,Very High
LGA23670,47854,7959,1531,47,60403,79.22,13.18,2.53,0.08,79.22,13.18,2.53,40,30.78,159103,797,1884,2194,34547,83315,41.47,92.04,96.82,True,86.01,True,85.2,True,49.12,74.11,86.83,90.26,99.27,Very High
LGA10750,98390,14480,8158,98,127688,77.06,11.34,6.39,0.08,77.06,11.34,6.39,34,20.58,396776,831,2107,2251,82709,191248,43.25,99.29,99.72,True,85.49,True,77.61,False,48.63,73.61,86.44,90.55,99.64,Very High
LGA56090,12989,502,22,22,14516,89.48,3.46,0.15,0.15,89.48,3.46,0.15,44,34.39,39166,817,1907,2270,6142,19721,31.14,72.04,88.82,True,85.48,True,89.24,True,48.29,73.26,86.18,84.73,89.82,Very High
LGA51330,26598,5434,1317,38,36082,73.72,15.06,3.65,0.11,73.72,15.06,3.65,36,25.13,95860,768,1838,2130,24811,52320,47.42,84.96,93.98,True,85.32,True,78.81,False,47.86,72.81,85.83,86.22,92.91,Very High
LGA20660,36197,7746,3636,40,51602,70.15,15.01,7.05,0.08,70.15,15.01,7.05,40,30.61,126236,915,2027,2521,36642,70544,51.94,89.03,95.61,True,85.27,True,86.68,True,49.02,74.01,86.75,89.48,98.55,Very High
LGA40700,11840,3900,1911,15,19254,61.49,20.26,9.93,0.08,61.49,20.26,9.93,44,35.85,46030,970,2069,2686,17494,27235,64.23,75.93,85.51,False,85.21,True,88.72,True,47.68,72.63,85.68,84.32,88.73,Very High
