SA1_CODE_2021,Lebanon_population,total_population,concentration_ratio,is_cluster,anchor_strength
11902136636,507,1074,0.4720670391061452,True,2.9412049291641438
11901165622,728,1679,0.433591423466349,True,2.858093196487375
11902136638,479,1068,0.448501872659176,True,2.768954628997217
11902136634,399,907,0.43991179713340683,True,2.635715936379366
11901165531,252,565,0.44601769911504424,True,2.4679896480696195
11901165610,380,933,0.40728831725616294,True,2.420432757286331
11902136635,352,902,0.3902439024390244,True,2.28935338807153
11901165611,253,614,0.41205211726384366,True,2.2816703087226218
11901165609,490,1334,0.36731634182908546,True,2.276055189369801
11901165505,428,1150,0.37217391304347824,True,2.2559161402619052
11902136648,223,545,0.4091743119266055,True,2.2143065496581174
11901136105,319,841,0.3793103448275862,True,2.187983825990741
11901165627,215,529,0.4064272211720227,True,2.18465946626105
11902136640,296,772,0.38341968911917096,True,2.1830890065875637
12503148302,419,1172,0.3575085324232082,True,2.1594425972911573
11901165528,468,1370,0.3416058394160584,True,2.101081821629824
11901165510,277,753,0.36786188579017265,True,2.070187315394829
11902136632,365,1046,0.3489483747609943,True,2.0597143085004768
12503148340,449,1339,0.33532486930545186,True,2.0485826472451087
11901136103,232,623,0.3723916532905297,True,2.0299212218735834
11901165625,208,551,0.37749546279491836,True,2.0167069408506
12503148335,368,1082,0.34011090573012936,True,2.0103264001912327
11902136639,318,912,0.34868421052631576,True,2.0102311082078734
12503148107,236,654,0.36085626911314983,True,1.9731837818163471
12503148333,437,1370,0.318978102189781,True,1.9400946451346766
12503148329,478,1526,0.3132372214941022,True,1.9332063470264857
11901165608,305,907,0.3362734288864388,True,1.9246895877568644
11901165619,324,981,0.3302752293577982,True,1.910254188659363
11901165618,350,1074,0.3258845437616387,True,1.9099396445186712
11902136629,366,1134,0.32275132275132273,True,1.9059633477848084
11901165607,393,1236,0.3179611650485437,True,1.9002474978592947
12503148304,351,1115,0.3147982062780269,True,1.845860576354199
11901165617,248,746,0.3324396782841823,True,1.8342202658488571
11902136631,266,815,0.3263803680981595,True,1.8235682737846213
12503148342,447,1535,0.29120521172638436,True,1.777747605791204
11904166805,237,733,0.32332878581173263,True,1.7693426325513502
11901165530,244,768,0.3177083333333333,True,1.747795577308481
11901165502,308,1012,0.30434782608695654,True,1.7449299538384444
11901165604,361,1228,0.2939739413680782,True,1.7319898700888465
12503148013,389,1353,0.28750923872875095,True,1.7153223071094725
12503148325,371,1295,0.2864864864864865,True,1.6956831041971716
11901165520,272,909,0.2992299229922992,True,1.67852181330067
11902136609,366,1289,0.2839410395655547,True,1.6767745821473803
11901136108,349,1224,0.28513071895424835,True,1.6702766919237966
11901165624,256,856,0.29906542056074764,True,1.659536773052776
12503148337,322,1125,0.2862222222222222,True,1.6536924871801737
11901165626,273,929,0.2938643702906351,True,1.6494983563443955
11901165507,249,837,0.2974910394265233,True,1.6425851476077649
11902136621,372,1352,0.27514792899408286,True,1.62931003854105
12503148105,256,873,0.293241695303551,True,1.6272204785030657
11902136615,255,869,0.29344073647871116,True,1.6271809532132202
11902157410,275,953,0.2885624344176285,True,1.6218365562142876
11901165518,233,785,0.2968152866242038,True,1.6192227004819675
12503148323,277,968,0.28615702479338845,True,1.6103833145581679
11901165614,233,798,0.29197994987468673,True,1.592844385812462
11901157237,335,1226,0.2732463295269168,True,1.5895042729100108
12503148338,233,809,0.2880098887515451,True,1.5711864275381267
11901165612,264,938,0.2814498933901919,True,1.570414364669896
12503148341,232,807,0.2874845105328377,True,1.5670891217190117
11901165623,326,1229,0.26525630593978844,True,1.5358234464707117
11901157207,361,1391,0.2595255212077642,True,1.5290320348447903
11902136637,372,1441,0.25815405968077726,True,1.5286795087491323
11901165511,250,908,0.2753303964757709,True,1.5213251484393675
12503148015,323,1231,0.26238830219333875,True,1.5167994765239012
12503147927,293,1102,0.2658802177858439,True,1.5111514263432246
12503148112,320,1224,0.26143790849673204,True,1.5088734962431414
12503148336,236,857,0.27537922987164526,True,1.5057901905576323
11902136623,268,998,0.2685370741482966,True,1.5023874245824578
12503147912,316,1213,0.2605111294311624,True,1.500258005395895
11901165521,374,1483,0.2521915037086986,True,1.494720386859699
12503148109,245,906,0.2704194260485651,True,1.488748594153895
12503148330,285,1084,0.2629151291512915,True,1.4870458174203487
11901165620,387,1562,0.24775928297055058,True,1.4768944087286857
11901165516,254,959,0.264859228362878,True,1.4676547867260064
12503171401,295,1146,0.25741710296684117,True,1.4647958455720747
11901136107,307,1203,0.25519534497090607,True,1.4622947908336552
11901135609,299,1171,0.2553373185311699,True,1.456388522563795
12503148339,277,1071,0.2586367880485528,True,1.4555098491991658
11901136124,289,1126,0.2566607460035524,True,1.4552358674434902
11901135628,307,1209,0.25392886683209265,True,1.4550377447252996
11901165613,271,1057,0.2563859981078524,True,1.4372491579623607
12503148104,286,1127,0.25377107364685003,True,1.4362128781785728
12503148313,278,1096,0.25364963503649635,True,1.4283548132722077
12503148110,275,1083,0.25392428439519854,True,1.4271562678413816
12503148008,330,1343,0.2457185405807893,True,1.425688059474632
12503148320,252,981,0.25688073394495414,True,1.42142115306762
12503148331,260,1020,0.2549019607843137,True,1.4184071626508825
11901135413,325,1330,0.24436090225563908,True,1.414091465371564
11702163709,210,796,0.2638190954773869,True,1.411922371896952
11901136127,293,1182,0.2478849407783418,True,1.4088738340357307
11901135625,257,1013,0.25370187561697927,True,1.408796261919897
12503148305,311,1271,0.24468922108575925,True,1.4052509767181345
11901165529,282,1146,0.24607329842931938,True,1.3891937392106397
12503148425,279,1134,0.24603174603174602,True,1.3863371245892597
11902157403,277,1125,0.24622222222222223,True,1.3856453764376058
11902136616,223,879,0.25369738339021614,True,1.3729204431896174
