SA1_CODE_2021,Vietnam_population,total_population,concentration_ratio,is_cluster,anchor_strength
12702151101,1103,1059,1.0415486307837583,True,7.297813819831214
12702151130,1122,1104,1.016304347826087,True,7.138276763783091
12702151125,701,659,1.0637329286798178,True,6.971634774236864
12702151119,708,672,1.0535714285714286,True,6.915490644024921
12702151129,677,675,1.002962962962963,True,6.538463279904664
12702151301,818,867,0.9434832756632064,True,6.328965144857913
12702151136,1252,1428,0.876750700280112,True,6.254122223760419
12702151148,864,937,0.9220917822838848,True,6.235857304150634
12702151118,917,1061,0.8642789820923656,True,5.8962818163986705
12702151113,848,972,0.8724279835390947,True,5.883705956781917
21303134730,619,684,0.9049707602339181,True,5.818708124131909
12702151146,617,688,0.8968023255813954,True,5.763289793970051
12702151120,627,704,0.890625,True,5.737887335760739
12702151147,613,689,0.8896952104499274,True,5.711838738685338
12702151127,771,900,0.8566666666666667,True,5.6959634311878915
21303134701,661,754,0.876657824933687,True,5.694125374634433
21301133703,944,1147,0.8230165649520488,True,5.638638684877152
11901157231,529,589,0.8981324278438031,True,5.633874255454877
12702151151,495,550,0.9,True,5.585918334052435
12702151150,963,1202,0.8011647254575707,True,5.504875970640562
12702151117,753,930,0.8096774193548387,True,5.364430594741926
12702151303,333,367,0.9073569482288828,True,5.272779157115099
12702151211,921,1202,0.7662229617304492,True,5.230655699580385
12702151154,764,971,0.7868177136972193,True,5.224371922804813
21301133513,549,666,0.8243243243243243,True,5.201419121240777
21301133527,887,1158,0.7659758203799655,True,5.200188200374831
21301133538,455,538,0.845724907063197,True,5.1779446623216465
12702151141,1005,1350,0.7444444444444445,True,5.146893361046654
12702151122,877,1168,0.7508561643835616,True,5.089037724844176
12702151342,1370,1957,0.7000510986203372,True,5.056676076137133
12702151134,850,1137,0.7475813544415127,True,5.043491916699533
21301133415,949,1297,0.7316885119506553,True,5.01679446675425
12702151115,706,930,0.7591397849462366,True,4.9807394087343875
40402110227,851,1159,0.734253666954271,True,4.954440150415658
12702151114,645,853,0.7561547479484173,True,4.892925767807477
12702151341,581,761,0.7634691195795007,True,4.860603587558431
20607151826,757,1044,0.725095785440613,True,4.807880577520379
12702151149,705,964,0.7313278008298755,True,4.797228985926074
12702151123,492,636,0.7735849056603774,True,4.796620304448119
12702151112,927,1321,0.7017411052233157,True,4.795019240191376
12702151338,955,1370,0.6970802919708029,True,4.7838932897548085
12702151110,709,977,0.7256908904810645,True,4.7643529823491
12702151155,859,1225,0.7012244897959183,True,4.738126467235631
21301133706,725,1008,0.7192460317460317,True,4.738069207091247
31001127428,709,983,0.7212614445574771,True,4.735272496190306
21301133723,563,754,0.746684350132626,True,4.730285866834758
12702151335,952,1381,0.6893555394641564,True,4.728713532424909
12702151131,286,344,0.8313953488372093,True,4.705267191009453
21204131720,830,1186,0.6998313659359191,True,4.704707192015197
21303134717,762,1077,0.7075208913649025,True,4.695998718513237
12702151145,437,571,0.7653239929947461,True,4.654868062757456
12702151111,798,1153,0.6921075455333912,True,4.62560454008802
11901157219,704,1000,0.704,True,4.6169712531798375
12702151124,408,535,0.7626168224299066,True,4.586160343299931
12702151307,675,968,0.6973140495867769,True,4.543832981744836
31001127429,718,1042,0.6890595009596929,True,4.532537864533313
12702151236,530,737,0.7191316146540027,True,4.512379743905329
21301133519,413,552,0.7481884057971014,True,4.50848305650336
21301133726,892,1360,0.6558823529411765,True,4.456449433927821
12702151108,741,1103,0.671804170444243,True,4.440188385482347
12702151337,862,1315,0.6555133079847909,True,4.431541797501076
21204131732,840,1282,0.6552262090483619,True,4.412680962852789
12702151308,862,1334,0.6461769115442278,True,4.368423885842515
12702151314,771,1185,0.6506329113924051,True,4.326048175585741
21204131721,489,701,0.6975748930099858,True,4.32106167796032
12702151344,600,890,0.6741573033707865,True,4.3136595064282295
12702151319,574,853,0.6729191090269636,True,4.275977026280984
12702151322,652,989,0.6592517694641051,True,4.272991191393562
12702151317,357,493,0.7241379310344828,True,4.258316990152231
