SA1_CODE_2021,China_population,total_population,concentration_ratio,is_cluster
12602150002,3525,6164,0.5718689162881246,True
12003167812,3254,3237,1.0052517763361137,True
20604111737,3118,2285,1.3645514223194748,True
12501171022,2362,4615,0.5118093174431203,True
20604150414,2124,2660,0.7984962406015037,True
20604150504,1966,5908,0.3327691266079892,True
12001167314,1965,2682,0.732662192393736,True
12501171018,1740,2872,0.6058495821727019,True
11903166404,1735,1918,0.9045881126173096,True
12001167306,1731,2337,0.7406931964056482,True
12501171002,1725,2702,0.6384159881569208,True
12003139627,1725,5899,0.29242244448211563,True
11703164513,1615,1833,0.8810692853246045,True
20703116357,1564,1524,1.026246719160105,True
20703116334,1503,1800,0.835,True
20604150408,1476,1635,0.9027522935779817,True
80101100216,1440,2933,0.49096488237299696,True
20703116351,1401,1504,0.9315159574468085,True
12003167827,1368,1781,0.768107804604155,True
11703164503,1346,1585,0.849211356466877,True
12601172032,1333,2081,0.6405574243152331,True
11903137461,1330,1644,0.8090024330900243,True
12602172315,1303,1622,0.8033292231812577,True
11904167115,1294,2462,0.5255889520714866,True
11703163916,1266,1498,0.8451268357810414,True
20604150401,1205,1263,0.9540775930324624,True
12602172332,1188,1574,0.7547649301143583,True
20703116346,1182,1389,0.8509719222462203,True
20604111743,1143,1902,0.6009463722397477,True
11703164321,1143,1610,0.7099378881987578,True
20703116312,1126,1537,0.7325959661678595,True
20604150411,1114,1337,0.8332086761406133,True
12602172303,1111,1281,0.8672911787665886,True
40101100155,1105,1382,0.7995658465991317,True
21205132253,1101,1861,0.5916174099946265,True
12003139632,1093,2252,0.48534635879218474,True
12501158202,1089,2542,0.42840283241542093,True
20604150529,1086,1953,0.5560675883256528,True
11703164816,1057,1105,0.9565610859728507,True
12003167820,1054,1362,0.7738619676945668,True
12501171020,1052,1661,0.633353401565322,True
20703116358,1048,1107,0.9467028003613369,True
20802117757,1024,1086,0.9429097605893186,True
12003167805,1022,1164,0.8780068728522337,True
20604150421,1009,1523,0.6625082074852265,True
11701132336,1005,2511,0.4002389486260454,True
21205156720,982,2154,0.4558960074280409,True
12003167824,975,1538,0.6339401820546163,True
11703164727,968,1000,0.968,True
20604151011,964,1729,0.5575477154424523,True
11904167106,962,1787,0.5383324006715166,True
11703164514,958,1289,0.743211792086889,True
30501110537,952,2444,0.3895253682487725,True
11903166417,949,1304,0.727760736196319,True
40101100147,946,1996,0.47394789579158314,True
11903166406,934,1071,0.8720821661998133,True
30302105805,929,1792,0.5184151785714286,True
12602172511,925,1623,0.5699322242760321,True
12501171010,925,1456,0.6353021978021978,True
20604150426,918,1027,0.8938656280428432,True
11703164818,908,1882,0.4824654622741764,True
20604150903,900,1735,0.5187319884726225,True
30305107501,889,2576,0.3451086956521739,True
20703116619,888,1798,0.4938820912124583,True
12601172130,887,1438,0.6168289290681502,True
11903166413,878,1378,0.637155297532656,True
20802117756,863,1476,0.5846883468834688,True
20604150420,858,1284,0.6682242990654206,True
12501158402,856,1732,0.4942263279445728,True
11701163501,855,1349,0.6338028169014085,True
12601172136,852,1643,0.5185636031649422,True
11903166412,848,945,0.8973544973544973,True
12501171017,846,1122,0.7540106951871658,True
20604150404,838,1461,0.5735797399041752,True
12003167818,836,1104,0.7572463768115942,True
12003167830,835,1285,0.6498054474708171,True
12101168411,831,1173,0.7084398976982097,True
20604150406,828,1959,0.4226646248085758,True
11701163516,816,1874,0.43543223052294555,True
11703163905,812,1802,0.4506104328523862,True
11903137429,809,1345,0.6014869888475837,True
20604111820,808,1333,0.6061515378844711,True
12001167316,806,1408,0.5724431818181818,True
11903166526,805,1374,0.5858806404657934,True
11703164520,794,1860,0.4268817204301075,True
12502171113,789,1554,0.5077220077220077,True
11903166408,788,1110,0.7099099099099099,True
12101168443,786,1220,0.6442622950819672,True
11903166410,786,1224,0.6421568627450981,True
12602150136,784,2400,0.32666666666666666,True
20703116409,778,1341,0.5801640566741237,True
40101100158,775,1267,0.611681136543015,True
11904167112,773,1519,0.5088874259381172,True
11703163908,772,1155,0.6683982683982684,True
11903166422,770,1599,0.4815509693558474,True
11703163911,765,1004,0.7619521912350598,True
12502171235,763,1325,0.5758490566037736,True
12602172309,761,1090,0.6981651376146789,True
11902165915,758,1242,0.6103059581320451,True
11703163913,756,1259,0.6004765687053217,True
40101100160,755,815,0.9263803680981595,True
11703164504,745,2405,0.3097713097713098,True
12501171028,742,1096,0.677007299270073,True
12003167814,739,1231,0.6003249390739236,True
11903166519,738,906,0.8145695364238411,True
20604150318,736,924,0.7965367965367965,True
11703164706,735,2143,0.34297713485767617,True
20604150418,734,810,0.9061728395061729,True
40101100152,734,1428,0.5140056022408963,True
12001167301,733,1095,0.6694063926940639,True
12101168429,731,1953,0.3742959549411162,True
12101168403,725,1137,0.6376429199648197,True
11701163539,721,1223,0.5895339329517579,True
11703164609,719,1228,0.5855048859934854,True
11903166411,718,1025,0.7004878048780487,True
11903137402,713,1251,0.5699440447641887,True
11701163505,711,1174,0.6056218057921635,True
12602172341,709,1099,0.6451319381255687,True
20703116303,708,901,0.7857935627081021,True
11701163534,706,1710,0.4128654970760234,True
30306108026,704,1261,0.5582870737509913,True
12501158315,702,1075,0.6530232558139535,True
12602172323,702,1252,0.560702875399361,True
11903137421,701,1097,0.6390154968094804,True
11703133048,690,2300,0.3,True
11703164815,688,1024,0.671875,True
11904137902,686,1179,0.5818490245971162,True
11903137427,686,1173,0.5848252344416027,True
11701163512,685,1873,0.36572343833422316,True
12101139931,685,1066,0.6425891181988743,True
12501171006,683,1992,0.3428714859437751,True
12601172113,682,1337,0.5100972326103216,True
30501111035,681,2881,0.2363762582436654,True
11902165924,680,1171,0.5807002561912895,True
11703164814,679,987,0.6879432624113475,True
20701114714,678,1351,0.5018504811250926,True
