SA1_CODE_2021,Iraq_population,total_population,concentration_ratio,is_cluster
12701159501,2162,6390,0.3383411580594679,True
21005154510,1132,1462,0.774281805745554,True
21005154520,1103,1581,0.6976597090449083,True
12702151517,988,1691,0.5842696629213483,True
12702151614,943,1430,0.6594405594405595,True
12702151006,912,1244,0.7331189710610932,True
21005124650,861,1672,0.5149521531100478,True
12702151912,860,1575,0.546031746031746,True
12702151919,858,1838,0.46681175190424373,True
12702151615,850,1291,0.6584043377226956,True
12702151624,843,1953,0.43164362519201227,True
12702151612,843,1205,0.6995850622406639,True
12702151635,827,1330,0.6218045112781955,True
12702151915,805,1368,0.5884502923976608,True
12703173229,787,1589,0.49528005034612965,True
12702151631,781,1154,0.6767764298093587,True
12702151613,781,1170,0.6675213675213675,True
21005154505,772,1255,0.6151394422310758,True
12702151534,767,1564,0.4904092071611253,True
21005154527,765,1190,0.6428571428571429,True
12702151709,754,1150,0.6556521739130434,True
21005154526,749,998,0.750501002004008,True
12701159602,713,4286,0.16635557629491368,True
12702151611,711,1067,0.6663542642924086,True
12702151036,710,1315,0.5399239543726235,True
12702151712,707,1997,0.3540310465698548,True
12702151019,668,1194,0.559463986599665,True
12702151034,649,1223,0.5306623058053965,True
12702151608,646,1102,0.5862068965517241,True
21005154507,641,1281,0.5003903200624512,True
12702151634,638,1187,0.5374894692502106,True
12702151416,636,1031,0.6168768186226964,True
12702151518,625,901,0.6936736958934517,True
21005154301,624,1378,0.4528301886792453,True
12702151004,614,1030,0.596116504854369,True
12701159615,609,1810,0.3364640883977901,True
12702151543,604,1103,0.5475974614687217,True
12702151520,601,1030,0.583495145631068,True
12702151623,600,1286,0.4665629860031104,True
12702151610,596,1095,0.5442922374429223,True
12702151001,593,1086,0.5460405156537753,True
12702151519,578,968,0.5971074380165289,True
21005144343,578,1352,0.4275147928994083,True
12702151528,573,846,0.6773049645390071,True
12703173116,573,1432,0.4001396648044693,True
21005154516,573,1205,0.4755186721991701,True
21005124633,572,2047,0.2794333170493405,True
12702151008,571,849,0.6725559481743227,True
12702151405,570,1189,0.479394449116905,True
12702151918,565,1232,0.4586038961038961,True
12701150522,564,2476,0.22778675282714056,True
12702151033,561,1214,0.46210873146622733,True
12702151504,561,1152,0.4869791666666667,True
12702151527,558,823,0.6780072904009721,True
21005144338,551,1274,0.4324960753532182,True
21005154521,543,912,0.5953947368421053,True
12702151407,543,1439,0.37734537873523283,True
12702151609,536,1128,0.475177304964539,True
12702151711,534,1108,0.48194945848375453,True
11603131711,528,1364,0.3870967741935484,True
12702151917,526,1087,0.48390064397424104,True
12702151526,524,684,0.7660818713450293,True
12702151410,518,1115,0.46457399103139013,True
12702151005,517,1030,0.5019417475728155,True
12702151523,515,1016,0.5068897637795275,True
12702151606,513,912,0.5625,True
12701159711,513,1307,0.3925019127773527,True
12702151531,508,792,0.6414141414141414,True
12702151616,507,996,0.5090361445783133,True
21005144345,500,1098,0.4553734061930783,True
12703173227,497,1310,0.3793893129770992,True
12702151532,496,836,0.5933014354066986,True
12702151414,495,1155,0.42857142857142855,True
12702151906,493,949,0.5194942044257113,True
12703173201,491,1344,0.36532738095238093,True
21005154506,490,1008,0.4861111111111111,True
12702151541,490,1128,0.43439716312056736,True
12702151017,488,939,0.5197018104366348,True
12702151920,484,1468,0.329700272479564,True
12702151016,483,739,0.6535859269282814,True
12702151633,483,960,0.503125,True
12702151544,481,1052,0.45722433460076045,True
21005154323,472,1747,0.2701774470520893,True
12702151607,456,1245,0.36626506024096384,True
12702151914,456,1115,0.40896860986547084,True
12703173207,456,1361,0.33504775900073475,True
12703173225,456,1132,0.4028268551236749,True
12702151030,455,993,0.45820745216515607,True
12702151533,453,831,0.5451263537906137,True
21005154519,450,1205,0.37344398340248963,True
21005144330,449,1879,0.23895689196381054,True
12702151923,449,1280,0.35078125,True
12701159603,448,1672,0.2679425837320574,True
12702151710,447,938,0.47654584221748403,True
21005154514,443,1290,0.3434108527131783,True
12702151628,442,1025,0.43121951219512195,True
12702151536,437,893,0.48936170212765956,True
12702151620,432,932,0.463519313304721,True
12702151605,432,1362,0.31718061674008813,True
12702151412,431,1154,0.3734835355285962,True
12701159621,428,1477,0.2897765741367637,True
12702151627,424,1157,0.36646499567847884,True
12702151925,421,1412,0.2981586402266289,True
12702151937,421,1333,0.3158289572393098,True
12702151542,421,872,0.4827981651376147,True
21005154504,420,1093,0.38426349496797807,True
12702151913,420,872,0.481651376146789,True
21005144347,418,1407,0.2970859985785359,True
12702151507,417,624,0.6682692307692307,True
21005154312,416,1113,0.37376460017969454,True
12702151040,415,712,0.5828651685393258,True
12702151515,413,1168,0.3535958904109589,True
21005144344,412,1183,0.34826711749788675,True
12702151603,412,1403,0.2936564504632929,True
12702151905,409,1247,0.3279871692060946,True
21005154511,408,839,0.4862932061978546,True
12701159744,407,835,0.4874251497005988,True
12702151031,405,1002,0.4041916167664671,True
12702151525,405,461,0.8785249457700651,True
12703173224,403,1010,0.39900990099009903,True
12702151704,403,1069,0.37698783910196443,True
12702151046,402,860,0.46744186046511627,True
12701150506,401,1646,0.24362089914945323,True
12702151701,401,834,0.48081534772182255,True
12702151403,400,955,0.418848167539267,True
12702151638,398,1058,0.3761814744801512,True
12702151702,394,972,0.4053497942386831,True
12702151630,394,957,0.4117032392894462,True
12702152001,393,859,0.4575087310826543,True
21005154303,393,928,0.4234913793103448,True
12702150935,392,1127,0.34782608695652173,True
12702151529,392,726,0.5399449035812672,True
21005154502,392,1011,0.3877349159248269,True
21005154402,392,1012,0.38735177865612647,True
12702152002,389,929,0.418729817007535,True
12702151708,387,976,0.39651639344262296,True
12703173204,386,1149,0.3359442993907746,True
21005154324,386,1525,0.25311475409836065,True
21005154208,384,1050,0.3657142857142857,True
12702151626,384,1234,0.31118314424635335,True
12702151706,384,730,0.5260273972602739,True
12702151417,381,1248,0.30528846153846156,True
12701159601,376,1641,0.2291285801340646,True
12702151939,376,1213,0.3099752679307502,True
12702151909,375,930,0.4032258064516129,True
12703173216,375,974,0.38501026694045176,True
12701159302,374,924,0.40476190476190477,True
12702151938,371,1159,0.3201035375323555,True
12702151622,369,1228,0.3004885993485342,True
12702151418,367,1024,0.3583984375,True
12702151037,366,1017,0.35988200589970504,True
21005144339,365,1384,0.26372832369942195,True
12702151904,362,1089,0.33241505968778695,True
