SA1_CODE_2021,Lebanon_population,total_population,concentration_ratio,is_cluster
11901165622,728,1679,0.433591423466349,True
11902136636,507,1074,0.4720670391061452,True
11901165609,490,1334,0.36731634182908546,True
11902136638,479,1068,0.448501872659176,True
12503148329,478,1526,0.3132372214941022,True
11901165528,468,1370,0.3416058394160584,True
12503148340,449,1339,0.33532486930545186,True
12503148342,447,1535,0.29120521172638436,True
12503148333,437,1370,0.318978102189781,True
11901165505,428,1150,0.37217391304347824,True
12503148302,419,1172,0.3575085324232082,True
11902136634,399,907,0.43991179713340683,True
11901165607,393,1236,0.3179611650485437,True
12503148013,389,1353,0.28750923872875095,True
11901165620,387,1562,0.24775928297055058,True
11901165610,380,933,0.40728831725616294,True
11901165521,374,1483,0.2521915037086986,True
11902136637,372,1441,0.25815405968077726,True
11902136621,372,1352,0.27514792899408286,True
12503148325,371,1295,0.2864864864864865,True
12503148335,368,1082,0.34011090573012936,True
11902136629,366,1134,0.32275132275132273,True
11902136609,366,1289,0.2839410395655547,True
11902136632,365,1046,0.3489483747609943,True
11901165604,361,1228,0.2939739413680782,True
11901157207,361,1391,0.2595255212077642,True
11902136635,352,902,0.3902439024390244,True
12503148304,351,1115,0.3147982062780269,True
11901165618,350,1074,0.3258845437616387,True
11901136108,349,1224,0.28513071895424835,True
11901165616,342,1474,0.23202170963364993,True
11901135619,336,1599,0.2101313320825516,True
11901157237,335,1226,0.2732463295269168,True
12503148008,330,1343,0.2457185405807893,True
12503148332,329,1440,0.22847222222222222,True
11901165623,326,1229,0.26525630593978844,True
11901135413,325,1330,0.24436090225563908,True
11901165619,324,981,0.3302752293577982,True
12503148015,323,1231,0.26238830219333875,True
12503148337,322,1125,0.2862222222222222,True
12503148112,320,1224,0.26143790849673204,True
12503147911,320,1353,0.23651145602365115,True
11901136105,319,841,0.3793103448275862,True
11902136639,318,912,0.34868421052631576,True
12503147912,316,1213,0.2605111294311624,True
11902136606,314,1474,0.2130257801899593,True
12503148305,311,1271,0.24468922108575925,True
11901135623,309,1348,0.22922848664688428,True
11901165502,308,1012,0.30434782608695654,True
11901136107,307,1203,0.25519534497090607,True
11901135628,307,1209,0.25392886683209265,True
11901165608,305,907,0.3362734288864388,True
11901135609,299,1171,0.2553373185311699,True
11902136640,296,772,0.38341968911917096,True
11901165526,296,1393,0.21249102656137833,True
12503171401,295,1146,0.25741710296684117,True
12503147927,293,1102,0.2658802177858439,True
11901136127,293,1182,0.2478849407783418,True
12503148317,292,1231,0.2372055239642567,True
11901136124,289,1126,0.2566607460035524,True
11901165515,288,1261,0.22839016653449642,True
11901165504,287,1232,0.23295454545454544,True
12503148104,286,1127,0.25377107364685003,True
12503148330,285,1084,0.2629151291512915,True
11901165529,282,1146,0.24607329842931938,True
11904166819,282,1191,0.2367758186397985,True
12503148113,280,1173,0.23870417732310314,True
12503148425,279,1134,0.24603174603174602,True
12503171448,279,1336,0.2088323353293413,True
12503148313,278,1096,0.25364963503649635,True
11901165510,277,753,0.36786188579017265,True
12503148323,277,968,0.28615702479338845,True
12503148339,277,1071,0.2586367880485528,True
11902157403,277,1125,0.24622222222222223,True
11901135414,277,1189,0.23296888141295205,True
11901165524,276,1388,0.1988472622478386,True
12503148110,275,1083,0.25392428439519854,True
11902157410,275,953,0.2885624344176285,True
11901135421,274,1296,0.21141975308641975,True
11901165626,273,929,0.2938643702906351,True
11901165520,272,909,0.2992299229922992,True
11901165613,271,1057,0.2563859981078524,True
11904166812,268,1413,0.18966737438075018,True
11902136623,268,998,0.2685370741482966,True
12503171421,267,1233,0.21654501216545013,True
11902136631,266,815,0.3263803680981595,True
12503148314,266,1764,0.15079365079365079,True
11901135412,264,1533,0.17221135029354206,True
11901165612,264,938,0.2814498933901919,True
12503148401,264,1829,0.1443411700382723,True
12503147930,263,1297,0.2027756360832691,True
12503148331,260,1020,0.2549019607843137,True
21005124318,258,1074,0.24022346368715083,True
11901135419,258,1378,0.18722786647314948,True
12503171607,258,1292,0.1996904024767802,True
12503171405,258,1416,0.18220338983050846,True
12503148126,257,1252,0.20527156549520767,True
11901135625,257,1013,0.25370187561697927,True
11901135410,257,1185,0.2168776371308017,True
11901165624,256,856,0.29906542056074764,True
12503148322,256,2054,0.124634858812074,True
12503148105,256,873,0.293241695303551,True
12503148405,256,1101,0.23251589464123523,True
12503148311,255,1234,0.206645056726094,True
11902136615,255,869,0.29344073647871116,True
11901157110,254,1310,0.19389312977099238,True
11901165516,254,959,0.264859228362878,True
12503147926,254,1391,0.18260244428468728,True
11901165602,254,1167,0.21765209940017138,True
