SA1_CODE_2021,Nepal_population,total_population,concentration_ratio,is_cluster
12501158202,2141,2542,0.8422501966955154,True
12501158204,1634,2033,0.8037383177570093,True
12503148154,1367,1789,0.7641140301844606,True
12003168036,1314,1403,0.9365645046329294,True
12501158307,1204,1747,0.6891814539210075,True
12003139627,1192,5899,0.20206814714358365,True
12501158239,1187,1302,0.9116743471582182,True
11903166422,1108,1599,0.6929330831769857,True
12503148149,1105,1141,0.9684487291849255,True
11904138130,1060,1563,0.6781829814459372,True
11903166421,1058,1196,0.8846153846153846,True
12501158238,1040,1605,0.6479750778816199,True
12501158234,977,1358,0.719440353460972,True
12003168004,955,1303,0.7329240214888718,True
12501158308,905,1140,0.793859649122807,True
12003168016,896,1540,0.5818181818181818,True
11904138149,878,1414,0.620933521923621,True
11903137427,865,1173,0.7374254049445865,True
12503148157,855,1408,0.6072443181818182,True
12003168035,832,1438,0.5785813630041725,True
12003168028,811,1122,0.7228163992869875,True
12501158313,811,1554,0.5218790218790219,True
12501158237,799,1106,0.7224231464737794,True
12501158301,793,1077,0.7363045496750232,True
12501158306,781,1349,0.5789473684210527,True
12501158319,773,1145,0.6751091703056769,True
21003153616,768,1664,0.46153846153846156,True
12003168032,767,934,0.8211991434689507,True
11903166402,744,1079,0.6895273401297498,True
11903137402,736,1251,0.5883293365307753,True
12501158657,735,905,0.8121546961325967,True
11903166416,729,1012,0.7203557312252964,True
11903137429,728,1345,0.5412639405204461,True
12003168017,727,827,0.879081015719468,True
11904138153,721,1201,0.6003330557868443,True
11903166411,716,1025,0.6985365853658536,True
11904167004,712,1059,0.67233238904627,True
11904167023,701,1285,0.5455252918287937,True
11903137425,695,872,0.7970183486238532,True
11903166420,692,1096,0.6313868613138686,True
11903137403,686,797,0.8607277289836889,True
11903137462,682,912,0.7478070175438597,True
21003153523,679,1366,0.4970717423133236,True
12003168018,650,1418,0.45839210155148097,True
12501158320,645,1273,0.5066771406127258,True
11903137422,630,926,0.6803455723542117,True
12501158309,626,956,0.6548117154811716,True
11904138129,621,1509,0.4115308151093439,True
11903166701,616,1775,0.3470422535211268,True
11904138154,608,1065,0.5708920187793427,True
12501158325,605,808,0.7487623762376238,True
21003153615,596,1122,0.5311942959001783,True
11903166714,591,1026,0.5760233918128655,True
11903166713,589,1270,0.4637795275590551,True
12503148131,586,1264,0.46360759493670883,True
12504171701,586,1112,0.5269784172661871,True
12003168030,585,960,0.609375,True
12003168005,583,912,0.6392543859649122,True
12503148156,580,946,0.6131078224101479,True
12003168011,574,1184,0.4847972972972973,True
11904138131,567,869,0.6524741081703107,True
11903166401,566,787,0.7191867852604829,True
11903166403,563,1098,0.5127504553734062,True
11903166709,555,1449,0.3830227743271222,True
11904138145,552,1205,0.4580912863070539,True
12302170304,549,1209,0.45409429280397023,True
11903166518,549,857,0.6406067677946324,True
11903166413,547,1378,0.3969521044992743,True
12501158240,546,908,0.6013215859030837,True
11904137934,545,967,0.5635987590486039,True
11903137461,539,1644,0.3278588807785888,True
12501158201,534,895,0.5966480446927375,True
12003167817,532,1297,0.41017733230531994,True
11904167032,527,1141,0.4618755477651183,True
11904167005,527,1274,0.41365777080062793,True
11904167026,523,893,0.5856662933930571,True
11903137401,520,912,0.5701754385964912,True
12003168025,513,528,0.9715909090909091,True
40403110733,511,1114,0.45870736086175945,True
11904138133,500,1139,0.43898156277436345,True
12501158605,497,1284,0.3870716510903427,True
12003168034,495,1169,0.4234388366124893,True
12003168013,493,473,1.0422832980972516,True
21005124212,484,1849,0.26176311519740403,True
12501158656,484,897,0.5395763656633222,True
12003168023,483,736,0.65625,True
12003167804,477,1077,0.4428969359331476,True
11903166404,477,1918,0.24869655891553702,True
12003167824,475,1538,0.3088426527958388,True
11903137428,475,712,0.6671348314606742,True
11903166526,475,1374,0.3457059679767103,True
12003168033,475,1157,0.4105445116681072,True
12003168015,465,676,0.6878698224852071,True
11904137831,462,1122,0.4117647058823529,True
70101100509,461,1191,0.38706968933669184,True
11904138124,457,755,0.6052980132450331,True
12501158311,456,952,0.4789915966386555,True
12003139618,453,1205,0.3759336099585062,True
21003153607,452,1537,0.2940793754066363,True
12003168008,449,1071,0.419234360410831,True
11903137426,448,683,0.6559297218155198,True
21003153608,447,867,0.5155709342560554,True
80109110921,446,1837,0.24278715296679368,True
70102102301,443,1273,0.3479968578161822,True
12302170308,442,978,0.45194274028629855,True
12503148114,433,731,0.5923392612859097,True
12102157706,432,976,0.4426229508196721,True
12003168022,431,736,0.5855978260869565,True
11903166704,430,1428,0.3011204481792717,True
60103101716,429,1847,0.23226854358419058,True
70101100504,426,951,0.4479495268138801,True
21003153613,422,1626,0.25953259532595324,True
12504171706,421,889,0.4735658042744657,True
21005124213,420,1303,0.32233307751343054,True
12003168021,419,1133,0.3698146513680494,True
11904167024,411,753,0.545816733067729,True
11904137825,407,946,0.43023255813953487,True
12503148152,406,1126,0.3605683836589698,True
12501158206,403,1321,0.30507191521574567,True
12504171802,402,824,0.4878640776699029,True
11904137904,402,1326,0.3031674208144796,True
11904138132,397,853,0.4654161781946073,True
12701150525,397,1312,0.30259146341463417,True
12501158649,393,570,0.6894736842105263,True
80109110605,391,1098,0.3561020036429873,True
21003123707,390,1359,0.2869757174392936,True
11903166412,390,945,0.4126984126984127,True
12503148153,390,714,0.5462184873949579,True
12003167612,389,926,0.4200863930885529,True
11903166716,388,790,0.4911392405063291,True
11904137906,386,978,0.3946830265848671,True
