SA1_CODE_2021,Philippines_population,total_population,concentration_ratio,is_cluster
50402105432,952,2179,0.43689765947682424,True
11601130604,921,6344,0.14517654476670871,True
11601130652,913,1831,0.4986346258874932,True
21203155736,868,1998,0.4344344344344344,True
50604113633,834,1090,0.7651376146788991,True
11603131931,742,1411,0.52586817859674,True
50703117429,733,1128,0.649822695035461,True
11603131506,707,1604,0.4407730673316708,True
11602162902,700,2856,0.24509803921568626,True
21203155710,652,929,0.7018299246501615,True
50701125926,628,810,0.7753086419753087,True
11603131522,622,1524,0.40813648293963256,True
11602163212,603,2562,0.23536299765807964,True
11603131956,591,1113,0.5309973045822103,True
11603131525,588,1807,0.3254012174875484,True
50703116937,577,1416,0.4074858757062147,True
31202135003,576,2361,0.24396442185514614,True
50604113448,547,1094,0.5,True
11603131937,545,1204,0.4526578073089701,True
11603131505,527,772,0.6826424870466321,True
31303137017,524,720,0.7277777777777777,True
11601156104,513,1713,0.29947460595446584,True
50701125921,504,830,0.6072289156626506,True
11601130624,502,978,0.5132924335378323,True
11601130630,502,1039,0.48315688161693937,True
50703116935,502,1204,0.4169435215946844,True
11603131945,491,1298,0.3782742681047766,True
50703116921,488,1555,0.31382636655948554,True
11603131914,481,1402,0.34308131241084167,True
11603131936,478,968,0.493801652892562,True
31303137001,476,960,0.49583333333333335,True
50703116917,470,1535,0.30618892508143325,True
11601130601,465,1042,0.44625719769673705,True
11601130638,457,1378,0.3316400580551524,True
70102101207,457,1172,0.38993174061433444,True
11603131929,450,1278,0.352112676056338,True
11603131523,430,1236,0.3478964401294498,True
11603131946,430,976,0.4405737704918033,True
50601111724,424,1588,0.26700251889168763,True
11603131514,422,1143,0.36920384951881013,True
11601130617,420,854,0.4918032786885246,True
11603131535,420,1181,0.3556308213378493,True
11601130628,418,750,0.5573333333333333,True
11603131742,417,1126,0.3703374777975133,True
11603131544,414,1193,0.347024308466052,True
11602162912,410,1616,0.2537128712871287,True
11603131542,408,844,0.4834123222748815,True
11603131643,404,1809,0.22332780541735767,True
50703116931,400,1248,0.32051282051282054,True
11603131950,400,899,0.44493882091212456,True
11603131536,399,1739,0.22944220816561242,True
21203130044,398,1970,0.2020304568527919,True
11603131952,397,1135,0.3497797356828194,True
11603131762,392,889,0.4409448818897638,True
50703116936,389,933,0.41693461950696675,True
11603131520,387,1346,0.287518573551263,True
50102125102,383,1947,0.19671289162814587,True
11004120415,379,2216,0.17102888086642598,True
30805153318,377,1929,0.19543805080352514,True
50604113631,375,1689,0.22202486678507993,True
11601130641,375,1075,0.3488372093023256,True
70104104210,372,1219,0.3051681706316653,True
31303137013,372,815,0.456441717791411,True
11603131402,365,1024,0.3564453125,True
21304157212,364,1474,0.24694708276797828,True
11603131642,364,2474,0.1471301535974131,True
11601130611,364,907,0.4013230429988975,True
70104104218,359,1116,0.3216845878136201,True
50403105750,358,1298,0.275808936825886,True
11602163113,355,1402,0.25320970042796004,True
11603131944,352,944,0.3728813559322034,True
11603131954,352,1436,0.24512534818941503,True
11603131647,352,1976,0.17813765182186234,True
11602163115,350,857,0.40840140023337224,True
70102101208,349,709,0.4922425952045134,True
11601130424,349,1398,0.24964234620886983,True
11602162930,347,1199,0.28940783986655544,True
11603131512,338,1115,0.3031390134529148,True
11603131646,334,1298,0.2573189522342065,True
11603131916,330,1036,0.3185328185328185,True
11601130616,330,626,0.5271565495207667,True
11603131504,330,1047,0.3151862464183381,True
12405158002,329,1697,0.19387153800824986,True
11601130613,327,887,0.3686583990980834,True
31403139420,326,1711,0.19053185271770895,True
11601130614,324,1403,0.23093371347113328,True
50703117407,322,1144,0.28146853146853146,True
21301157003,320,1352,0.23668639053254437,True
11602162918,317,1534,0.20664928292046936,True
11601130625,316,1213,0.2605111294311624,True
11603131537,315,1182,0.26649746192893403,True
11603131649,312,1692,0.18439716312056736,True
11603131404,311,752,0.41356382978723405,True
11603131907,310,844,0.36729857819905215,True
11603131926,309,1089,0.2837465564738292,True
11601130619,308,1042,0.29558541266794625,True
11602163026,306,1350,0.22666666666666666,True
11601130602,302,850,0.3552941176470588,True
11603131737,302,842,0.3586698337292161,True
50403106608,300,1880,0.1595744680851064,True
50403105745,300,1020,0.29411764705882354,True
11603131501,300,754,0.3978779840848806,True
11602156322,298,1975,0.1508860759493671,True
11603131948,297,1225,0.24244897959183673,True
11602162922,295,1180,0.25,True
11602162908,294,1357,0.21665438467207074,True
21304146113,288,2743,0.10499453153481589,True
11601156111,286,1364,0.20967741935483872,True
50601111049,286,1314,0.2176560121765601,True
21305158603,285,1979,0.14401212733703891,True
11603131645,281,1879,0.14954763171899946,True
40402110105,279,1297,0.2151117964533539,True
11601130332,279,1291,0.2161115414407436,True
50703116946,278,828,0.3357487922705314,True
11603131543,276,1177,0.2344944774851317,True
70104104219,276,1374,0.20087336244541484,True
11601130618,276,521,0.5297504798464492,True
21304157408,273,2164,0.12615526802218113,True
11603131739,271,1338,0.20254110612855009,True
11603131527,271,706,0.3838526912181303,True
11603131938,269,658,0.4088145896656535,True
50604113252,269,765,0.3516339869281046,True
11603131703,269,998,0.2695390781563126,True
11601156132,268,714,0.3753501400560224,True
40703116543,268,1372,0.19533527696793002,True
50102101407,268,991,0.2704339051463169,True
11603131411,268,1091,0.2456461961503208,True
50403129915,268,1127,0.2377994676131322,True
70102102116,267,1563,0.1708253358925144,True
11601130615,267,772,0.34585492227979275,True
31004129933,265,1590,0.16666666666666666,True
50605113847,264,1595,0.16551724137931034,True
11602156340,263,1240,0.2120967741935484,True
21304157208,263,1725,0.15246376811594203,True
