SA1_CODE_2021,China_population,total_population,concentration_ratio,is_cluster,Median_rent_weekly,Median_mortgage_repay_monthly,Median_tot_hhd_inc_weekly,Average_household_size,rent_to_income_ratio,mortgage_to_income_ratio,rent_affordability,mortgage_affordability
12602150002,3525,6164,0.5718689162881246,True,528,2600,1888,2.0,0.2796610169491525,0.3177966101694915,Affordable,Moderately_Affordable
12003167812,3254,3237,1.0052517763361137,True,600,2499,1353,2.3,0.4434589800443459,0.4262323042810848,Expensive,Expensive
20604111737,3118,2285,1.3645514223194748,True,413,1771,522,1.7,0.7911877394636015,0.7829354553492485,Very_Expensive,Very_Expensive
12501171022,2362,4615,0.5118093174431203,True,520,2448,1872,2.2,0.2777777777777778,0.30177514792899407,Affordable,Moderately_Affordable
20604150414,2124,2660,0.7984962406015037,True,420,1800,713,1.6,0.5890603085553997,0.5825871183514942,Very_Expensive,Very_Expensive
20604150504,1966,5908,0.3327691266079892,True,351,1710,1260,1.8,0.2785714285714286,0.3131868131868132,Affordable,Moderately_Affordable
12001167314,1965,2682,0.732662192393736,True,550,2500,2113,2.0,0.26029342167534314,0.27303505770140885,Affordable,Affordable
12501171018,1740,2872,0.6058495821727019,True,550,2500,2052,2.2,0.2680311890838207,0.2811515969410706,Affordable,Affordable
11903166404,1735,1918,0.9045881126173096,True,450,2134,1741,2.2,0.2584721424468696,0.28286130870852294,Affordable,Affordable
12001167306,1731,2337,0.7406931964056482,True,610,2727,1861,2.2,0.3277807630306287,0.33815566486173687,Moderately_Affordable,Moderately_Affordable
12501171002,1725,2702,0.6384159881569208,True,500,2200,1800,2.0,0.2777777777777778,0.28205128205128205,Affordable,Affordable
12003139627,1725,5899,0.29242244448211563,True,470,2135,2022,2.7,0.2324431256181998,0.2436658297192422,Affordable,Affordable
11703164513,1615,1833,0.8810692853246045,True,730,3600,1787,2.0,0.408505875769446,0.46489604407903234,Expensive,Expensive
20703116357,1564,1524,1.026246719160105,True,411,1538,1051,1.8,0.3910561370123692,0.3377003586328039,Moderately_Affordable,Moderately_Affordable
20703116334,1503,1800,0.835,True,391,1700,1262,2.0,0.3098256735340729,0.3108618798000731,Moderately_Affordable,Moderately_Affordable
20604150408,1476,1635,0.9027522935779817,True,400,1950,803,1.8,0.49813200498132004,0.5603985056039851,Expensive,Very_Expensive
80101100216,1440,2933,0.49096488237299696,True,460,1548,1594,1.9,0.28858218318695106,0.22410964192645497,Affordable,Affordable
20703116351,1401,1504,0.9315159574468085,True,492,1962,785,1.9,0.6267515923566879,0.5767760901518864,Very_Expensive,Very_Expensive
12003167827,1368,1781,0.768107804604155,True,500,2008,1625,2.6,0.3076923076923077,0.2851597633136095,Moderately_Affordable,Affordable
11703164503,1346,1585,0.849211356466877,True,680,3033,1822,1.9,0.3732162458836443,0.38415097525964703,Moderately_Affordable,Moderately_Affordable
12601172032,1333,2081,0.6405574243152331,True,480,2500,2072,2.3,0.23166023166023167,0.27843777843777845,Affordable,Affordable
11903137461,1330,1644,0.8090024330900243,True,520,2383,1804,2.4,0.28824833702882485,0.3048354084939451,Affordable,Moderately_Affordable
12602172315,1303,1622,0.8033292231812577,True,720,3100,2388,3.3,0.3015075376884422,0.2995747970622342,Moderately_Affordable,Affordable
11904167115,1294,2462,0.5255889520714866,True,550,2344,2131,2.2,0.2580947911778508,0.25383532469407644,Affordable,Affordable
11703163916,1266,1498,0.8451268357810414,True,590,3534,1133,1.7,0.5207413945278023,0.7198044673772829,Very_Expensive,Very_Expensive
20604150401,1205,1263,0.9540775930324624,True,371,1846,790,1.6,0.46962025316455697,0.5392405063291139,Expensive,Very_Expensive
12602172332,1188,1574,0.7547649301143583,True,530,2538,1701,2.7,0.3115814226925338,0.3443223443223443,Moderately_Affordable,Moderately_Affordable
20703116346,1182,1389,0.8509719222462203,True,381,1700,1065,1.8,0.35774647887323946,0.36836403033586135,Moderately_Affordable,Moderately_Affordable
20604111743,1143,1902,0.6009463722397477,True,340,2000,826,1.7,0.4116222760290557,0.5587632706276774,Expensive,Very_Expensive
11703164321,1143,1610,0.7099378881987578,True,670,2660,2083,2.1,0.3216514642342775,0.29469330477491784,Moderately_Affordable,Affordable
20703116312,1126,1537,0.7325959661678595,True,378,1571,1166,2.0,0.3241852487135506,0.3109249241324713,Moderately_Affordable,Moderately_Affordable
20604150411,1114,1337,0.8332086761406133,True,375,1900,877,1.7,0.427594070695553,0.4999561441978774,Expensive,Expensive
12602172303,1111,1281,0.8672911787665886,True,530,2900,1539,2.6,0.3443794671864847,0.4348478032688559,Moderately_Affordable,Expensive
