SA1_CODE_2021,England_population,total_population,concentration_ratio,is_cluster,Median_rent_weekly,Median_mortgage_repay_monthly,Median_tot_hhd_inc_weekly,Average_household_size,rent_to_income_ratio,mortgage_to_income_ratio,rent_affordability,mortgage_affordability
50503110533,1816,4067,0.446520776985493,True,400,2167,2472,2.8,0.16181229773462782,0.20229648991784915,Affordable,Affordable
50503110103,1687,4409,0.3826264459061012,True,380,2000,2138,2.5,0.17773620205799812,0.21587392962509894,Affordable,Affordable
50501107614,1530,3118,0.490699166132136,True,664,3000,3468,3.1,0.1914648212226067,0.19962736225712005,Affordable,Affordable
50503125803,1373,2787,0.49264442052386076,True,350,1894,2047,2.9,0.1709819247679531,0.21352072451241969,Affordable,Affordable
50501107617,1272,2721,0.46747519294377066,True,580,2985,3492,3.1,0.1660939289805269,0.1972640761300555,Affordable,Affordable
50501107611,1200,2568,0.4672897196261682,True,665,2998,3662,3.1,0.18159475696340796,0.18892576565979077,Affordable,Affordable
50503110547,1195,1808,0.6609513274336283,True,500,2600,3147,3.1,0.15888147442008263,0.19065776930409914,Affordable,Affordable
50503125815,1113,2923,0.3807731782415327,True,378,2060,1983,2.9,0.19062027231467474,0.2397300128011172,Affordable,Affordable
50201102429,1017,3147,0.323164918970448,True,363,1829,1311,2.2,0.2768878718535469,0.32195036085196266,Affordable,Moderately_Affordable
50501107616,898,2249,0.39928857269897733,True,700,2600,3361,3.3,0.20827134781315085,0.17851829812555786,Affordable,Affordable
50201102427,883,3246,0.2720271102895872,True,400,1974,2254,3.0,0.1774622892635315,0.20210224558050646,Affordable,Affordable
50503125809,853,1736,0.4913594470046083,True,445,2167,2405,3.1,0.18503118503118504,0.20793219254757717,Affordable,Affordable
50501107612,825,1981,0.4164563351842504,True,750,2800,3710,3.2,0.20215633423180593,0.1741654571843251,Affordable,Affordable
50503125808,811,2744,0.2955539358600583,True,305,2000,1924,3.1,0.15852390852390852,0.23988485526947065,Affordable,Affordable
50503110517,795,1185,0.6708860759493671,True,615,2600,1234,2.3,0.4983792544570502,0.4862236628849271,Expensive,Expensive
50902123607,776,2983,0.2601407978545089,True,425,2377,2650,3.2,0.16037735849056603,0.2069956458635704,Affordable,Affordable
50201102408,760,1825,0.41643835616438357,True,250,2084,786,1.8,0.31806615776081426,0.6118614210217264,Moderately_Affordable,Very_Expensive
50501107404,724,1304,0.5552147239263804,True,500,2540,2676,2.9,0.18684603886397608,0.21904104863746118,Affordable,Affordable
40205104928,713,1473,0.48404616429056346,True,145,2167,868,1.8,0.16705069124423963,0.57612548741581,Affordable,Very_Expensive
50503110020,676,1219,0.5545529122231337,True,450,2167,2885,3.2,0.1559792027729636,0.17333688841487802,Affordable,Affordable
50503110510,669,1145,0.5842794759825327,True,460,2236,3033,3.2,0.15166501813386085,0.17012858555885263,Affordable,Affordable
50503110545,668,1328,0.5030120481927711,True,435,2383,2542,2.9,0.17112509834775766,0.216334806027961,Affordable,Affordable
50503125710,657,1938,0.33900928792569657,True,475,2282,2374,3.2,0.2000842459983151,0.22182619402501458,Affordable,Affordable
50503110031,649,1892,0.3430232558139535,True,400,2226,2448,3.2,0.16339869281045752,0.20984162895927602,Affordable,Affordable
50201102109,647,1649,0.39235900545785324,True,420,2145,1779,2.5,0.23608768971332209,0.2782462057335582,Affordable,Affordable
50503110528,647,1272,0.5086477987421384,True,550,2800,2704,2.6,0.20340236686390534,0.23896222121074193,Affordable,Affordable
50703117003,638,1385,0.46064981949458483,True,175,1452,729,1.9,0.24005486968449932,0.45963912630579296,Affordable,Expensive
50501107421,637,1077,0.5914577530176416,True,380,2000,1737,2.4,0.21876799078871617,0.26571011026969577,Affordable,Affordable
40201102622,629,1027,0.6124634858812074,True,165,1517,645,1.5,0.2558139534883721,0.5427549194991056,Affordable,Very_Expensive
40304117704,623,1258,0.49523052464228934,True,330,1126,861,1.8,0.3832752613240418,0.30179576521039936,Moderately_Affordable,Moderately_Affordable
50501107608,597,1114,0.5359066427289049,True,585,2400,2843,3.1,0.20576855434400282,0.19481046565112692,Affordable,Affordable
31601141516,587,4378,0.13407948835084513,True,530,1999,2146,2.9,0.24697110904007455,0.21496164599612874,Affordable,Affordable
50503110506,580,984,0.5894308943089431,True,545,2167,2088,2.8,0.26101532567049807,0.23950044208664897,Affordable,Affordable
50503110514,579,1179,0.4910941475826972,True,350,1997,2053,2.5,0.17048222113979541,0.2244745026040691,Affordable,Affordable
50705119120,577,1705,0.33841642228739005,True,400,2000,2590,3.3,0.15444015444015444,0.1782001782001782,Affordable,Affordable
11501155412,568,3134,0.18123803446075304,True,230,585,641,1.3,0.358814352574103,0.21060842433697347,Moderately_Affordable,Affordable
50201102728,564,1914,0.2946708463949843,True,445,2167,2693,3.1,0.16524322317118456,0.18569510697249278,Affordable,Affordable
50402105108,561,2869,0.19553851516207738,True,450,2167,1600,2.5,0.28125,0.3125480769230769,Affordable,Moderately_Affordable
50503110709,556,778,0.7146529562982005,True,185,681,633,1.3,0.292259083728278,0.24826831935836674,Affordable,Affordable
40304107426,551,1350,0.40814814814814815,True,340,1500,1208,2.3,0.2814569536423841,0.28655119714722366,Affordable,Affordable
50503109910,547,1012,0.5405138339920948,True,320,1950,1971,3.0,0.16235413495687467,0.228310502283105,Affordable,Affordable
40303106715,544,2995,0.18163606010016695,True,575,2600,3170,3.1,0.18138801261829654,0.1892744479495268,Affordable,Affordable
21402138228,537,2256,0.23803191489361702,True,450,1894,1317,2.2,0.3416856492027335,0.33187313825127035,Moderately_Affordable,Moderately_Affordable
40304108305,535,1364,0.39222873900293254,True,280,1647,882,2.0,0.31746031746031744,0.43092621664050235,Moderately_Affordable,Expensive
50503110507,534,1092,0.489010989010989,True,495,2019,2579,3.0,0.19193485847227607,0.18066036328928922,Affordable,Affordable
50503125517,534,996,0.536144578313253,True,390,2000,2200,2.7,0.17727272727272728,0.2097902097902098,Affordable,Affordable
50503110017,530,907,0.5843439911797134,True,475,1881,2578,3.0,0.18425135764158262,0.16837739452169243,Affordable,Affordable
50501107402,528,1075,0.49116279069767443,True,430,2167,2329,2.7,0.18462859596393302,0.21471744228292103,Affordable,Affordable
50503110505,527,1081,0.48751156336725254,True,395,2316,2750,2.9,0.14363636363636365,0.19434965034965035,Affordable,Affordable
21402159114,527,1706,0.30890973036342323,True,270,1509,832,1.7,0.3245192307692308,0.4185465976331361,Moderately_Affordable,Expensive
50501107907,527,834,0.63189448441247,True,760,3000,3021,3.0,0.25157232704402516,0.22916507524253305,Affordable,Affordable
31901149302,525,3422,0.15341905318527177,True,375,1800,1105,2.1,0.3393665158371041,0.3759136790810999,Moderately_Affordable,Moderately_Affordable
31904151828,523,1039,0.5033686236766122,True,210,908,718,1.5,0.2924791086350975,0.291836297407328,Affordable,Affordable
50503109901,522,991,0.5267406659939455,True,228,1842,809,1.8,0.28182941903584674,0.5254350099838357,Affordable,Very_Expensive
50503110542,520,829,0.6272617611580217,True,625,3000,3326,3.2,0.187913409500902,0.20815023821638373,Affordable,Affordable
50501107403,520,990,0.5252525252525253,True,400,2167,2360,3.0,0.1694915254237288,0.21189700130378097,Affordable,Affordable
50503109934,516,1040,0.49615384615384617,True,275,493,723,1.5,0.38035961272475793,0.15735716565592084,Moderately_Affordable,Affordable
50201102416,515,1860,0.2768817204301075,True,400,2167,2205,2.8,0.18140589569160998,0.22679225536368394,Affordable,Affordable
50501107904,514,1185,0.4337552742616034,True,400,2205,1129,2.1,0.354295837023915,0.4507051849833072,Moderately_Affordable,Expensive
50403106809,513,2014,0.25471698113207547,True,623,2675,2901,3.1,0.2147535332643916,0.21279134515949408,Affordable,Affordable
40204104737,510,1136,0.448943661971831,True,328,1352,920,1.9,0.3565217391304348,0.3391304347826087,Moderately_Affordable,Moderately_Affordable
50601111520,510,1806,0.2823920265780731,True,600,2600,3329,3.4,0.18023430459597475,0.18023430459597475,Affordable,Affordable
40701114829,508,956,0.5313807531380753,True,164,709,678,1.4,0.24188790560471976,0.24132062627637849,Affordable,Affordable
50503125542,506,1075,0.47069767441860466,True,370,1928,2236,2.8,0.16547406082289803,0.1989816980872437,Affordable,Affordable
50503125537,504,1191,0.42317380352644834,True,333,1863,2010,2.7,0.16567164179104477,0.21389207807118255,Affordable,Affordable
50705118825,503,1440,0.34930555555555554,True,350,1633,1396,2.4,0.2507163323782235,0.2699471016089927,Affordable,Affordable
50503110722,501,1290,0.3883720930232558,True,450,2000,2531,3.2,0.17779533781114185,0.18235419262681216,Affordable,Affordable
40302105909,500,2160,0.23148148148148148,True,410,1733,2195,2.8,0.1867881548974943,0.18219730155948835,Affordable,Affordable
50503110518,499,1096,0.4552919708029197,True,530,2600,3318,3.1,0.15973477998794455,0.18083182640144665,Affordable,Affordable
50501108014,499,1127,0.4427684117125111,True,530,2167,2162,2.7,0.24514338575393155,0.2313029246424251,Affordable,Affordable
50501108007,498,970,0.51340206185567,True,555,2550,2440,2.7,0.22745901639344263,0.24117276166456494,Affordable,Affordable
50701116023,496,3353,0.14792722934685357,True,380,2232,2123,2.5,0.17899199246349506,0.2426174861408022,Affordable,Affordable
50503110721,496,1205,0.41161825726141077,True,425,2100,2611,2.9,0.1627728839525086,0.1856052794390596,Affordable,Affordable
50501107406,494,905,0.5458563535911602,True,400,2300,2015,2.3,0.19851116625310175,0.26340904752815425,Affordable,Affordable
50601111610,493,1101,0.4477747502270663,True,520,2600,2681,2.8,0.1939574785527788,0.22379709063782172,Affordable,Affordable
50201102322,491,1069,0.4593077642656688,True,92,0,677,1.4,0.1358936484490399,0.0,Affordable,Affordable
50503110519,490,954,0.5136268343815513,True,500,2167,2807,3.2,0.17812611328820804,0.178153517305637,Affordable,Affordable
50201102112,489,971,0.5036045314109165,True,330,1452,959,2.0,0.34410844629822734,0.34940242239512315,Moderately_Affordable,Moderately_Affordable
50501107609,488,1167,0.4181662382176521,True,725,2773,3954,3.3,0.18335862417804755,0.1618419516750321,Affordable,Affordable
50901122712,488,2339,0.20863616930312098,True,325,1700,1528,2.6,0.21269633507853403,0.256745871929118,Affordable,Affordable
50503110711,487,1515,0.3214521452145215,True,265,1900,1471,2.6,0.18014955812372535,0.2980703864456414,Affordable,Affordable
40205105203,485,1088,0.44577205882352944,True,286,1117,640,1.4,0.446875,0.40276442307692306,Expensive,Expensive
50503110002,484,893,0.541993281075028,True,490,2037,3050,3.3,0.16065573770491803,0.1541235813366961,Affordable,Affordable
50503110523,483,1058,0.45652173913043476,True,455,2200,2681,3.1,0.16971279373368145,0.18936676900123375,Affordable,Affordable
50604113442,483,1107,0.4363143631436314,True,174,672,573,1.3,0.3036649214659686,0.2706403544099879,Moderately_Affordable,Affordable
50503110530,482,1231,0.3915515840779854,True,350,2050,1829,2.6,0.1913613996719519,0.2586533204357152,Affordable,Affordable
50503125802,482,1375,0.35054545454545455,True,350,1793,1724,2.9,0.20301624129930396,0.24000535427449582,Affordable,Affordable
50201102204,480,2168,0.22140221402214022,True,355,1800,1644,2.7,0.2159367396593674,0.25266704098820886,Affordable,Affordable
50503125801,475,1399,0.33952823445318087,True,333,1733,1317,2.6,0.2528473804100228,0.3036621692658139,Affordable,Moderately_Affordable
50705119124,474,1212,0.3910891089108911,True,450,2167,3324,3.2,0.13537906137184116,0.15044432102193836,Affordable,Affordable
50503110728,473,911,0.5192096597145993,True,455,2058,2894,3.5,0.1572218382861092,0.16410610812822285,Affordable,Affordable
50605114023,472,1137,0.415127528583993,True,365,1356,1082,1.8,0.33733826247689463,0.28920801933740936,Moderately_Affordable,Affordable
50705119114,470,918,0.5119825708061002,True,385,1939,2559,3.0,0.15044939429464635,0.17485796735503653,Affordable,Affordable
50201102749,469,1114,0.42100538599640935,True,405,1625,914,2.1,0.4431072210065646,0.4102844638949672,Expensive,Expensive
50501107420,469,828,0.5664251207729468,True,540,2145,2470,3.0,0.21862348178137653,0.20040485829959515,Affordable,Affordable
12202142120,469,1488,0.31518817204301075,True,625,3500,872,1.7,0.716743119266055,0.9262526464361327,Very_Expensive,Very_Expensive
50601111517,468,1420,0.3295774647887324,True,435,2430,3009,3.1,0.14456630109670987,0.1863639849681724,Affordable,Affordable
50503110720,468,641,0.7301092043681747,True,179,849,698,1.5,0.25644699140401145,0.2806920872823452,Affordable,Affordable
50501107908,468,1109,0.4220018034265104,True,580,2610,2536,2.8,0.22870662460567823,0.23750303324435817,Affordable,Affordable
50501107104,465,975,0.47692307692307695,True,410,2002,2439,2.9,0.16810168101681017,0.18942189421894218,Affordable,Affordable
