SA1_CODE_2021,India_population,total_population,concentration_ratio,is_cluster,Median_rent_weekly,Median_mortgage_repay_monthly,Median_tot_hhd_inc_weekly,Average_household_size,rent_to_income_ratio,mortgage_to_income_ratio,rent_affordability,mortgage_affordability
11601130604,3006,6344,0.47383354350567464,True,453,2600,2928,3.9,0.15471311475409835,0.20491803278688525,Affordable,Affordable
12504149156,2612,2185,1.1954233409610984,True,470,2000,3051,2.9,0.1540478531628974,0.1512744875576734,Affordable,Affordable
12504158908,2407,2412,0.9979270315091211,True,450,2060,2482,2.8,0.18130539887187752,0.19153288291080395,Affordable,Affordable
12504158818,2164,2329,0.9291541434091884,True,530,2500,3045,3.4,0.17405582922824303,0.189465706707086,Affordable,Affordable
12504158902,2003,1659,1.2073538276069922,True,400,2072,2172,2.7,0.1841620626151013,0.22014449638759032,Affordable,Affordable
12504171708,1968,1510,1.3033112582781456,True,450,2167,2369,2.5,0.18995356690586745,0.21109198947949476,Affordable,Affordable
11602163229,1901,1944,0.977880658436214,True,570,2563,2866,3.4,0.19888346127006282,0.20637178592517044,Affordable,Affordable
11602162902,1752,2856,0.6134453781512605,True,600,2835,2859,3.3,0.2098635886673662,0.22883202841230124,Affordable,Affordable
21305158312,1740,1803,0.9650582362728786,True,381,1800,2040,4.0,0.18676470588235294,0.20361990950226244,Affordable,Affordable
21305158607,1686,2183,0.7723316536875859,True,405,2000,2224,3.4,0.1821043165467626,0.20752628666297732,Affordable,Affordable
12504171821,1662,1167,1.424164524421594,True,500,2167,3250,2.8,0.15384615384615385,0.15386982248520711,Affordable,Affordable
12504171805,1643,1477,1.112389979688558,True,550,2347,3548,3.0,0.15501691093573844,0.15265371606972508,Affordable,Affordable
12003139627,1617,5899,0.2741142566536701,True,470,2135,2022,2.7,0.2324431256181998,0.2436658297192422,Affordable,Affordable
12504158938,1585,1284,1.2344236760124612,True,470,2200,2789,2.9,0.16851918250268913,0.18203381416002426,Affordable,Affordable
12504171717,1569,1218,1.2881773399014778,True,460,1975,2511,2.6,0.18319394663480684,0.1815090524767944,Affordable,Affordable
12504171818,1546,1416,1.0918079096045197,True,490,2300,2569,2.9,0.1907356948228883,0.20660538371710033,Affordable,Affordable
21305158330,1518,1577,0.9625871908687381,True,388,2000,2345,4.0,0.16545842217484008,0.19681810726586846,Affordable,Affordable
50403106207,1513,8021,0.1886298466525371,True,400,2106,2467,3.0,0.16214025131738954,0.1970004053506283,Affordable,Affordable
11301125634,1507,1526,0.9875491480996068,True,250,975,1671,2.8,0.14961101137043686,0.13464991023339318,Affordable,Affordable
11602163106,1505,1289,1.1675717610550815,True,545,3000,3318,3.2,0.1642555756479807,0.2086521073862846,Affordable,Affordable
11602163105,1377,1470,0.936734693877551,True,580,3068,3880,3.4,0.14948453608247422,0.1824742268041237,Affordable,Affordable
21305158603,1360,1979,0.6872157655381506,True,379,2100,2214,2.9,0.17118337850045168,0.2188868042526579,Affordable,Affordable
12504158817,1348,1616,0.8341584158415841,True,460,2435,2421,3.2,0.19000413052457663,0.23210370794013915,Affordable,Affordable
12504158939,1345,1259,1.068308181096108,True,435,2000,2261,2.8,0.19239274657231314,0.2041302350899874,Affordable,Affordable
12504171725,1334,2108,0.6328273244781784,True,520,2300,2228,2.2,0.2333931777378815,0.23822676425908024,Affordable,Affordable
11601130344,1321,1340,0.985820895522388,True,385,1777,1816,2.7,0.21200440528634362,0.2258132836326669,Affordable,Affordable
12504171705,1319,1467,0.8991138377641446,True,460,2113,2409,2.8,0.19095060190950602,0.20241402433183256,Affordable,Affordable
11601162707,1317,1282,1.0273010920436818,True,455,2167,2434,3.3,0.18693508627773212,0.2054547752986537,Affordable,Affordable
12504149161,1303,1250,1.0424,True,410,1800,2125,2.6,0.19294117647058823,0.19547511312217195,Affordable,Affordable
21305158324,1284,1557,0.8246628131021194,True,381,1830,2328,3.9,0.163659793814433,0.18140364789849325,Affordable,Affordable
12504149331,1260,1685,0.7477744807121661,True,445,2400,2236,3.0,0.19901610017889088,0.24769505985963947,Affordable,Affordable
11602130924,1259,1587,0.7933207309388783,True,598,2600,3225,3.9,0.18542635658914727,0.18604651162790697,Affordable,Affordable
11602163203,1254,1448,0.8660220994475138,True,650,3250,3515,3.6,0.18492176386913228,0.21337126600284495,Affordable,Affordable
20604150504,1243,5908,0.21039268788083954,True,351,1710,1260,1.8,0.2785714285714286,0.3131868131868132,Affordable,Moderately_Affordable
11602163212,1233,2562,0.4812646370023419,True,458,2000,2064,2.3,0.22189922480620156,0.22361359570661896,Affordable,Affordable
21305158410,1225,1766,0.6936579841449604,True,381,2002,2027,3.3,0.1879625061667489,0.227923038973853,Affordable,Affordable
12504158934,1219,1519,0.8025016458196181,True,415,2211,2061,2.6,0.20135856380397865,0.24756466241182398,Affordable,Affordable
11601130333,1214,1540,0.7883116883116883,True,400,1719,1826,2.5,0.21905805038335158,0.21724660881287386,Affordable,Affordable
12504171712,1185,1278,0.9272300469483568,True,490,2041,2419,2.6,0.20256304257957833,0.19470855725506409,Affordable,Affordable
12504171909,1183,1020,1.1598039215686275,True,370,1733,2037,2.8,0.18163966617574864,0.19632944375212416,Affordable,Affordable
12504149164,1180,1191,0.9907640638119227,True,433,2128,2704,2.9,0.16013313609467456,0.18161128812016386,Affordable,Affordable
12504171901,1177,1212,0.9711221122112211,True,428,2167,2186,2.7,0.19579139981701738,0.2287634597790133,Affordable,Affordable
12504158801,1175,1154,1.0181975736568458,True,400,2184,2163,3.1,0.18492834026814609,0.23300970873786409,Affordable,Affordable
12504158924,1156,1227,0.9421352893235534,True,398,1976,1970,2.6,0.2020304568527919,0.23147208121827412,Affordable,Affordable
21305158408,1156,1186,0.9747048903878583,True,394,2014,2424,3.6,0.16254125412541254,0.19173648134044174,Affordable,Affordable
11602163206,1151,1603,0.718028696194635,True,675,3200,3343,3.6,0.20191444810050851,0.2208978577509837,Affordable,Affordable
12504158922,1142,1418,0.8053596614950634,True,440,2100,2143,2.7,0.2053196453569762,0.22613877023583043,Affordable,Affordable
12504158823,1128,1665,0.6774774774774774,True,420,2250,2018,2.9,0.20812685827552033,0.2572996874285279,Affordable,Affordable
12504158912,1120,1239,0.903954802259887,True,410,1820,2179,2.7,0.18815970628728776,0.19274896741624598,Affordable,Affordable
11601162720,1112,1187,0.93681550126369,True,363,1920,1906,2.6,0.19045120671563484,0.2324642828315441,Affordable,Affordable
12504158919,1110,972,1.1419753086419753,True,390,1972,2241,3.0,0.17402945113788487,0.20306868499639583,Affordable,Affordable
21305158406,1110,1150,0.9652173913043478,True,380,2100,2194,3.6,0.1731996353691887,0.22088212607811514,Affordable,Affordable
11602156322,1101,1975,0.5574683544303798,True,410,1918,1971,2.6,0.20801623541349568,0.22456386839948483,Affordable,Affordable
11601130328,1100,1446,0.7607192254495159,True,360,1627,1567,2.5,0.2297383535417996,0.23960532129006923,Affordable,Affordable
21305158219,1087,1369,0.7940102264426588,True,381,1971,2090,3.4,0.18229665071770335,0.21762973868237026,Affordable,Affordable
12504158931,1084,1043,1.0393096836049855,True,380,1647,2121,2.6,0.17916077322017915,0.1791970405831792,Affordable,Affordable
21305158307,1074,1095,0.9808219178082191,True,398,2000,2242,3.7,0.17752007136485282,0.20586015233651273,Affordable,Affordable
21305158331,1066,1533,0.695368558382257,True,394,1980,2330,3.9,0.16909871244635194,0.19610432485968968,Affordable,Affordable
12403146250,1057,1847,0.5722793719545208,True,605,2821,2838,3.7,0.2131782945736434,0.22938689217758984,Affordable,Affordable
21305158414,1050,1134,0.9259259259259259,True,391,2000,2250,3.4,0.17377777777777778,0.20512820512820512,Affordable,Affordable
12504158945,1046,1063,0.9840075258701787,True,448,2088,2250,2.8,0.1991111111111111,0.21415384615384617,Affordable,Affordable
12504171720,1044,915,1.140983606557377,True,510,2360,2558,2.4,0.19937451133698203,0.2129067179888134,Affordable,Affordable
21305158317,1037,1208,0.8584437086092715,True,386,1868,2293,3.6,0.16833842128216311,0.18799691368378676,Affordable,Affordable
21305158605,1036,1232,0.8409090909090909,True,415,2248,2382,3.5,0.17422334172963896,0.21778725053284248,Affordable,Affordable
12504171924,1029,847,1.2148760330578512,True,330,1500,1958,2.8,0.16853932584269662,0.17678950263219925,Affordable,Affordable
12504158920,1025,1161,0.8828596037898363,True,390,2058,2062,2.6,0.18913676042677013,0.23032156979780646,Affordable,Affordable
11601130418,1022,1727,0.5917776491024899,True,400,2167,1916,3.1,0.20876826722338204,0.26100048177292434,Affordable,Affordable
21305158313,1022,1401,0.729478943611706,True,371,1950,2267,3.4,0.16365240405822673,0.1985002205558006,Affordable,Affordable
11601162620,1018,1272,0.800314465408805,True,460,2014,2334,2.5,0.19708654670094258,0.1991299189242634,Affordable,Affordable
20904143319,1013,4065,0.24920049200492006,True,361,1844,1667,2.8,0.21655668866226754,0.2552720225185732,Affordable,Affordable
30304106903,1008,1050,0.96,True,398,1517,1625,2.9,0.2449230769230769,0.2154319526627219,Affordable,Affordable
21305158614,1006,1331,0.7558226897069872,True,411,2200,2358,3.3,0.1743002544529262,0.21530632217655118,Affordable,Affordable
21305158413,1004,1272,0.789308176100629,True,376,2152,2098,3.3,0.17921830314585319,0.23670895358216618,Affordable,Affordable
21304157209,997,1472,0.6773097826086957,True,380,1989,2131,3.5,0.17832003754106054,0.21539183481933363,Affordable,Affordable
12504149155,994,1037,0.9585342333654774,True,420,1925,2250,2.7,0.18666666666666668,0.19743589743589743,Affordable,Affordable
12504171715,992,1262,0.786053882725832,True,373,1411,1823,2.2,0.20460778935820076,0.17861513144014515,Affordable,Affordable
11601156104,990,1713,0.5779334500875657,True,430,1970,1907,2.8,0.22548505506030414,0.23839296518897987,Affordable,Affordable
21305158814,985,1476,0.6673441734417345,True,363,1700,1882,3.4,0.19287991498405951,0.20845254639090982,Affordable,Affordable
11602163232,979,1808,0.5414823008849557,True,600,3000,2845,3.3,0.210896309314587,0.243341895362985,Affordable,Affordable
11602156334,978,1495,0.6541806020066889,True,425,2000,2166,3.0,0.19621421975992612,0.21308331557639038,Affordable,Affordable
50601130717,976,2165,0.45080831408775984,True,450,2000,2587,3.4,0.17394665635871667,0.1784068270345812,Affordable,Affordable
21305158615,974,1578,0.6172370088719898,True,401,2233,2365,3.2,0.16955602536997885,0.2178890876565295,Affordable,Affordable
12504158946,974,842,1.156769596199525,True,480,2300,2866,2.9,0.1674808094905792,0.18519512587900586,Affordable,Affordable
21305158801,974,1391,0.700215672178289,True,392,1865,2014,3.6,0.19463753723932473,0.21369643266366206,Affordable,Affordable
21305158407,970,1388,0.6988472622478387,True,394,2000,2081,3.6,0.1893320518981259,0.22178686282482535,Affordable,Affordable
11301125616,968,2884,0.3356449375866852,True,380,1733,2151,3.1,0.17666201766620176,0.18592425705396418,Affordable,Affordable
12504171810,967,1411,0.6853295535081503,True,400,1950,1860,2.5,0.21505376344086022,0.24193548387096775,Affordable,Affordable
20904143726,961,1479,0.649763353617309,True,428,2150,1987,3.3,0.21540010065425264,0.24969997290077814,Affordable,Affordable
11301125633,955,813,1.1746617466174663,True,280,1083,1916,3.1,0.14613778705636743,0.13044001927091697,Affordable,Affordable
21305158402,950,1035,0.9178743961352657,True,397,2100,2220,3.7,0.17882882882882883,0.2182952182952183,Affordable,Affordable
21603141645,946,3790,0.24960422163588392,True,360,1700,2328,3.5,0.15463917525773196,0.16851704996034894,Affordable,Affordable
12504158941,944,1337,0.706058339566193,True,515,2500,2852,3.4,0.1805750350631136,0.2022871938720466,Affordable,Affordable
21305157906,941,1268,0.7421135646687698,True,361,2016,2478,3.2,0.145682001614205,0.1877444589308996,Affordable,Affordable
12504171803,939,1114,0.8429084380610413,True,410,1990,2008,2.7,0.20418326693227093,0.22870058228623966,Affordable,Affordable
11602163213,937,1470,0.6374149659863946,True,630,3033,3042,3.5,0.20710059171597633,0.2300864815657715,Affordable,Affordable
31701144609,937,879,1.0659840728100114,True,120,0,850,1.5,0.1411764705882353,0.0,Affordable,Affordable
21305158512,935,1562,0.5985915492957746,True,370,1842,1976,3.6,0.18724696356275303,0.21511990034257242,Affordable,Affordable
11602163228,933,1126,0.8285968028419183,True,580,3000,3190,3.5,0.18181818181818182,0.21702435495538944,Affordable,Affordable
12504171906,928,1010,0.9188118811881189,True,320,1300,1533,2.3,0.20874103065883887,0.19569471624266144,Affordable,Affordable
11602130922,927,1497,0.6192384769539078,True,621,2809,3394,3.6,0.18296994696523278,0.19099315534200625,Affordable,Affordable
21203155704,918,1821,0.5041186161449753,True,421,2000,2342,4.1,0.1797608881298036,0.19707022268935165,Affordable,Affordable
21305157902,918,1177,0.7799490229396772,True,376,2000,2452,3.2,0.1533442088091354,0.18822938888191743,Affordable,Affordable
21305158824,917,1766,0.5192525481313703,True,395,2000,2250,3.5,0.17555555555555555,0.20512820512820512,Affordable,Affordable
21305158306,915,1195,0.7656903765690377,True,391,1950,2370,3.7,0.1649789029535865,0.189873417721519,Affordable,Affordable
11602163211,912,1409,0.6472675656493967,True,600,3000,3138,3.5,0.19120458891013384,0.2206206795116929,Affordable,Affordable
12504158932,911,899,1.0133481646273637,True,390,1788,2208,2.8,0.1766304347826087,0.18687290969899664,Affordable,Affordable
12504171709,908,1097,0.8277119416590701,True,400,2015,2160,2.3,0.18518518518518517,0.2152777777777778,Affordable,Affordable
21305157919,907,1413,0.6418966737438075,True,350,2000,2381,3.5,0.1469970600587988,0.19384227700061382,Affordable,Affordable
12504158917,898,870,1.032183908045977,True,370,1733,1697,2.9,0.21803182086034179,0.23566474774488916,Affordable,Affordable
21305158411,897,887,1.0112739571589628,True,391,2049,2362,3.5,0.1655376799322608,0.20018888816517943,Affordable,Affordable
11603131642,890,2474,0.3597413096200485,True,490,2297,2291,3.5,0.2138804015713662,0.23137360239062552,Affordable,Affordable
21305158332,880,1331,0.6611570247933884,True,376,2000,2144,3.5,0.17537313432835822,0.21526980482204364,Affordable,Affordable
21304157208,879,1725,0.5095652173913043,True,390,1952,2224,3.1,0.17535971223021582,0.20254565578306585,Affordable,Affordable
21203155742,878,1991,0.44098442993470616,True,385,2000,2010,3.2,0.19154228855721392,0.2296211251435132,Affordable,Affordable
12504158802,877,916,0.9574235807860262,True,370,1733,1562,2.5,0.23687580025608196,0.2560326996946715,Affordable,Affordable
21305146618,875,1393,0.628140703517588,True,434,2125,3064,3.5,0.141644908616188,0.16004719823257682,Affordable,Affordable
12504158813,872,907,0.9614112458654906,True,445,1993,2368,3.2,0.18792229729729729,0.19422427234927234,Affordable,Affordable
12504158815,872,1495,0.5832775919732441,True,450,2600,2446,3.3,0.1839738348323794,0.24529844644317253,Affordable,Affordable
40203103625,866,1846,0.46912242686890576,True,330,1650,1681,2.9,0.19631171921475313,0.22651352217086898,Affordable,Affordable
21305158218,864,1436,0.6016713091922006,True,400,2000,2133,3.2,0.1875293014533521,0.21637996321540626,Affordable,Affordable
21305158610,864,1463,0.5905673274094326,True,381,1950,2036,3.0,0.18713163064833005,0.22102161100196463,Affordable,Affordable
21305158718,862,1260,0.6841269841269841,True,376,1800,2240,3.5,0.16785714285714284,0.18543956043956045,Affordable,Affordable
12504148955,861,977,0.8812691914022518,True,400,1820,2075,2.2,0.1927710843373494,0.20240963855421687,Affordable,Affordable
12504158943,857,741,1.156545209176788,True,450,2400,2833,2.9,0.15884221673138016,0.1954981129001602,Affordable,Affordable
11602163202,857,1289,0.664856477889837,True,650,3033,3487,3.7,0.18640665328362488,0.20072356665416602,Affordable,Affordable
12504149332,855,1169,0.7313943541488451,True,470,2475,2761,3.2,0.17022817819630567,0.20686484829911125,Affordable,Affordable
21204131011,855,2319,0.36869340232858994,True,369,1600,1717,2.6,0.21490972626674432,0.21504412884727386,Affordable,Affordable
21005144554,852,1232,0.6915584415584416,True,400,2000,2048,3.4,0.1953125,0.22536057692307693,Affordable,Affordable
21305158342,852,1150,0.7408695652173913,True,381,1900,2336,3.6,0.16309931506849315,0.18769757639620654,Affordable,Affordable
40203103817,849,1537,0.5523747560182173,True,282,1744,1694,2.7,0.16646989374262103,0.23758060121696487,Affordable,Affordable
21203130421,849,1639,0.5179987797437462,True,411,1939,2175,3.5,0.1889655172413793,0.20572944297082227,Affordable,Affordable
21305158616,847,1344,0.6302083333333334,True,411,2167,2336,3.5,0.1759417808219178,0.2140740252897787,Affordable,Affordable
21305146614,847,1409,0.6011355571327183,True,450,2140,3202,3.8,0.1405371642723298,0.15423052899630038,Affordable,Affordable
20904143719,840,1622,0.5178791615289766,True,431,2200,2158,3.1,0.19972196478220575,0.23526056890283026,Affordable,Affordable
21203130640,839,1432,0.5858938547486033,True,445,2383,2396,3.6,0.18572621035058431,0.2295171439578785,Affordable,Affordable
21203130617,837,1340,0.6246268656716418,True,400,2100,2235,3.6,0.1789709172259508,0.21683014971605577,Affordable,Affordable
21203155714,836,1430,0.5846153846153846,True,401,1977,1947,3.8,0.20595788392398562,0.23432499703686144,Affordable,Affordable
11602162917,836,1113,0.7511230907457322,True,600,2897,3052,3.7,0.1965923984272608,0.21904929932452868,Affordable,Affordable
21305158715,834,1043,0.7996164908916586,True,392,1900,2303,3.4,0.1702127659574468,0.1903871204783059,Affordable,Affordable
12504158907,834,1412,0.5906515580736544,True,430,2029,2148,2.7,0.20018621973929238,0.2179845294370434,Affordable,Affordable
21305158409,833,1031,0.8079534432589719,True,401,2159,2274,3.2,0.17634124890061564,0.2190988431093972,Affordable,Affordable
21305158315,831,1022,0.8131115459882583,True,401,1900,2146,3.8,0.18685927306616962,0.20431572155710087,Affordable,Affordable
50302104340,829,934,0.8875802997858673,True,260,1127,1471,2.4,0.17675050985723997,0.1768028029074936,Affordable,Affordable
12003139631,824,1341,0.6144668158090977,True,500,2000,2148,2.7,0.23277467411545624,0.21486892995272883,Affordable,Affordable
21603159310,821,2544,0.32272012578616355,True,460,1733,2188,3.5,0.21023765996343693,0.18278019969062018,Affordable,Affordable
12504158923,821,1389,0.5910727141828653,True,430,2140,1940,2.6,0.22164948453608246,0.25455987311657413,Affordable,Affordable
21304135949,819,1369,0.5982468955441929,True,421,2383,2422,3.5,0.17382328654004955,0.22705329352728196,Affordable,Affordable
21305158804,819,1402,0.5841654778887304,True,380,2000,2077,3.4,0.182956186807896,0.22221399207436762,Affordable,Affordable
