SA1_CODE_2021,Iraq_population,total_population,concentration_ratio,is_cluster,Median_rent_weekly,Median_mortgage_repay_monthly,Median_tot_hhd_inc_weekly,Average_household_size,rent_to_income_ratio,mortgage_to_income_ratio,rent_affordability,mortgage_affordability
12701159501,2162,6390,0.3383411580594679,True,560,2513,2413,3.8,0.23207625362619147,0.24033281264943096,Affordable,Affordable
21005154510,1132,1462,0.774281805745554,True,412,1855,1625,4.3,0.25353846153846155,0.2634319526627219,Affordable,Affordable
21005154520,1103,1581,0.6976597090449083,True,392,1950,1586,4.3,0.2471626733921816,0.2837326607818411,Affordable,Affordable
12702151517,988,1691,0.5842696629213483,True,400,1600,1051,2.4,0.38058991436726924,0.3513137671082486,Moderately_Affordable,Moderately_Affordable
12702151614,943,1430,0.6594405594405595,True,500,2134,1402,3.6,0.3566333808844508,0.35125644683419294,Moderately_Affordable,Moderately_Affordable
12702151006,912,1244,0.7331189710610932,True,500,2167,1644,3.4,0.30413625304136255,0.30418304323413814,Moderately_Affordable,Moderately_Affordable
21005124650,861,1672,0.5149521531100478,True,438,2300,2291,4.0,0.1911828895678743,0.2316757882013229,Affordable,Affordable
12702151912,860,1575,0.546031746031746,True,460,2416,1296,3.5,0.3549382716049383,0.4301994301994302,Moderately_Affordable,Expensive
12702151919,858,1838,0.46681175190424373,True,300,2100,1013,2.8,0.29615004935834155,0.47839623357885946,Affordable,Expensive
12702151615,850,1291,0.6584043377226956,True,415,1865,1106,3.0,0.3752260397830018,0.3891361802754208,Moderately_Affordable,Moderately_Affordable
12702151624,843,1953,0.43164362519201227,True,428,2000,1266,3.1,0.3380726698262243,0.36456434560699963,Moderately_Affordable,Moderately_Affordable
12702151612,843,1205,0.6995850622406639,True,500,2300,1536,3.8,0.3255208333333333,0.34555288461538464,Moderately_Affordable,Moderately_Affordable
12702151635,827,1330,0.6218045112781955,True,450,1998,1261,3.4,0.3568596352101507,0.36564387238455437,Moderately_Affordable,Moderately_Affordable
12702151915,805,1368,0.5884502923976608,True,250,2067,674,2.3,0.37091988130563797,0.7077151335311572,Moderately_Affordable,Very_Expensive
12703173229,787,1589,0.49528005034612965,True,420,2000,1267,3.2,0.3314917127071823,0.36427660737053,Moderately_Affordable,Moderately_Affordable
12702151631,781,1154,0.6767764298093587,True,445,2167,1219,3.5,0.36505332239540605,0.4102353757809049,Moderately_Affordable,Expensive
12702151613,781,1170,0.6675213675213675,True,525,2184,1444,3.7,0.3635734072022161,0.3490304709141274,Moderately_Affordable,Moderately_Affordable
21005154505,772,1255,0.6151394422310758,True,415,1893,1760,4.3,0.23579545454545456,0.24820804195804197,Affordable,Affordable
12702151534,767,1564,0.4904092071611253,True,470,1625,1637,3.6,0.2871105681124007,0.22907758094074526,Affordable,Affordable
21005154527,765,1190,0.6428571428571429,True,431,2025,1598,4.1,0.26971214017521905,0.29243284875324926,Affordable,Affordable
12702151709,754,1150,0.6556521739130434,True,450,2167,1509,3.6,0.2982107355864811,0.3313962379568741,Affordable,Moderately_Affordable
21005154526,749,998,0.750501002004008,True,381,2059,1687,4.0,0.22584469472436278,0.2816561032328667,Affordable,Affordable
12701159602,713,4286,0.16635557629491368,True,575,2600,2669,3.8,0.215436493068565,0.22480329711502436,Affordable,Affordable
12702151611,711,1067,0.6663542642924086,True,490,2397,1321,3.4,0.3709311127933384,0.4187387177546148,Moderately_Affordable,Expensive
12702151036,710,1315,0.5399239543726235,True,450,2080,1552,3.5,0.28994845360824745,0.30927835051546393,Affordable,Moderately_Affordable
12702151712,707,1997,0.3540310465698548,True,400,2000,1193,2.8,0.3352891869237217,0.3868721387581404,Moderately_Affordable,Moderately_Affordable
