SA1_CODE_2021,Lebanon_population,total_population,concentration_ratio,is_cluster,Median_rent_weekly,Median_mortgage_repay_monthly,Median_tot_hhd_inc_weekly,Average_household_size,rent_to_income_ratio,mortgage_to_income_ratio,rent_affordability,mortgage_affordability
11901165622,728,1679,0.433591423466349,True,600,2580,1577,3.6,0.3804692454026633,0.3775425588995659,Moderately_Affordable,Moderately_Affordable
11902136636,507,1074,0.4720670391061452,True,550,2167,1525,3.6,0.36065573770491804,0.32791929382093316,Moderately_Affordable,Moderately_Affordable
11901165609,490,1334,0.36731634182908546,True,250,2600,1416,3.1,0.1765536723163842,0.423728813559322,Affordable,Expensive
11902136638,479,1068,0.448501872659176,True,430,1775,1625,3.6,0.26461538461538464,0.25207100591715975,Affordable,Affordable
12503148329,478,1526,0.3132372214941022,True,370,2167,1191,3.4,0.31066330814441645,0.41987986824258866,Moderately_Affordable,Expensive
11901165528,468,1370,0.3416058394160584,True,197,2900,887,3.0,0.22209695603156707,0.754487902176741,Affordable,Very_Expensive
12503148340,449,1339,0.33532486930545186,True,230,2004,1009,3.4,0.22794846382556988,0.4583365098726843,Affordable,Expensive
12503148342,447,1535,0.29120521172638436,True,200,2474,1144,3.4,0.17482517482517482,0.4990586336740183,Affordable,Expensive
12503148333,437,1370,0.318978102189781,True,0,2000,1232,3.7,0.0,0.37462537462537465,Affordable,Moderately_Affordable
11901165505,428,1150,0.37217391304347824,True,500,2400,1875,3.8,0.26666666666666666,0.2953846153846154,Affordable,Affordable
12503148302,419,1172,0.3575085324232082,True,350,0,1224,3.4,0.28594771241830064,0.0,Affordable,Affordable
11902136634,399,907,0.43991179713340683,True,550,2550,1833,3.7,0.3000545553737043,0.3210373914138235,Moderately_Affordable,Moderately_Affordable
11901165607,393,1236,0.3179611650485437,True,495,2400,1508,3.7,0.3282493368700265,0.3672719853091206,Moderately_Affordable,Moderately_Affordable
12503148013,389,1353,0.28750923872875095,True,450,2300,1509,3.7,0.2982107355864811,0.35173573940969566,Affordable,Moderately_Affordable
11901165620,387,1562,0.24775928297055058,True,518,2759,1367,3.7,0.3789319678127286,0.4657588205503348,Moderately_Affordable,Expensive
11901165610,380,933,0.40728831725616294,True,455,2817,1362,3.3,0.3340675477239354,0.4772958319213826,Moderately_Affordable,Expensive
11901165521,374,1483,0.2521915037086986,True,445,2630,1244,3.4,0.35771704180064307,0.4878802869156567,Moderately_Affordable,Expensive
11902136637,372,1441,0.25815405968077726,True,450,1752,1452,3.3,0.30991735537190085,0.27844882390336934,Moderately_Affordable,Affordable
11902136621,372,1352,0.27514792899408286,True,465,2232,1597,3.6,0.29117094552285533,0.32252781657916285,Affordable,Moderately_Affordable
12503148325,371,1295,0.2864864864864865,True,433,2000,1512,3.7,0.2863756613756614,0.3052503052503053,Affordable,Moderately_Affordable
12503148335,368,1082,0.34011090573012936,True,236,1767,1075,3.4,0.21953488372093025,0.37932021466905186,Affordable,Moderately_Affordable
11902136629,366,1134,0.32275132275132273,True,531,2000,1674,3.9,0.3172043010752688,0.27570995312930796,Moderately_Affordable,Affordable
11902136609,366,1289,0.2839410395655547,True,196,2222,1125,2.9,0.17422222222222222,0.45579487179487177,Affordable,Expensive
11902136632,365,1046,0.3489483747609943,True,490,1509,1694,3.6,0.2892561983471074,0.20556716011261467,Affordable,Affordable
